T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;2.1029e-08;8.703e-08;2.163e-08;9.1976e-08;0.0016684;0.0069049;0.0017161;0.0072972
0.01;6.8326e-08;3.6681e-07;7.9939e-08;4.146e-07;0.00046611;0.0085967;0.0012461;0.011223
0.015;9.0809e-08;7.8525e-07;1.3847e-07;9.8729e-07;-0.0024589;0.0025069;-0.0012306;0.008789
0.02;5.2841e-08;1.1858e-06;1.5091e-07;1.7253e-06;-0.0023968;-0.00394;-0.0024651;0.0044492
0.025;-5.1449e-08;1.4283e-06;8.8641e-08;2.5031e-06;-0.0028912;-0.008722;-0.0035074;-0.0012628
0.03;-2.7363e-07;1.4199e-06;-1.152e-07;3.1787e-06;-0.0065258;-0.011354;-0.0077947;-0.0069157
0.035;-6.7776e-07;1.1211e-06;-6.0617e-07;3.6157e-06;-0.008057;-0.011892;-0.015165;-0.012175
0.04;-1.2562e-06;5.5796e-07;-1.5329e-06;3.6988e-06;-0.005903;-0.0092731;-0.019729;-0.016145
0.045;-1.9514e-06;-1.7319e-07;-2.931e-06;3.3719e-06;-0.003426;-0.0041763;-0.01801;-0.016685
0.05;-2.7006e-06;-9.4026e-07;-4.7165e-06;2.6619e-06;-0.00090036;0.0013052;-0.012989;-0.013968
0.055;-3.4491e-06;-1.6272e-06;-6.7687e-06;1.648e-06;0.00095845;0.0051154;-0.0083402;-0.010345
0.06;-4.1701e-06;-2.1737e-06;-9.0126e-06;4.216e-07;0.0012532;0.0061415;-0.006969;-0.0066535
0.065;-4.8565e-06;-2.582e-06;-1.1477e-05;-9.3125e-07;0.001516;0.0049175;-0.010627;-0.0034604
0.07;-5.5033e-06;-2.9015e-06;-1.43e-05;-2.3712e-06;0.0016505;0.0021975;-0.018117;-0.003485
0.075;-6.135e-06;-3.2125e-06;-1.7674e-05;-3.9697e-06;-0.00042778;-0.0015166;-0.025884;-0.0091672
0.08;-6.8329e-06;-3.6193e-06;-2.1729e-05;-5.9307e-06;-0.0048555;-0.006148;-0.02871;-0.019813
0.085;-7.6929e-06;-4.2406e-06;-2.6459e-05;-8.5411e-06;-0.008133;-0.011004;-0.025256;-0.032138
0.09;-8.738e-06;-5.1735e-06;-3.1758e-05;-1.2079e-05;-0.0066977;-0.013944;-0.02025;-0.042059
0.095;-9.8886e-06;-6.4428e-06;-3.7528e-05;-1.6722e-05;-0.0017606;-0.012989;-0.017472;-0.046437
0.1;-1.1031e-05;-7.9761e-06;-4.3716e-05;-2.2498e-05;0.0024623;-0.0081447;-0.015958;-0.044159
0.105;-1.2088e-05;-9.6225e-06;-5.026e-05;-2.9269e-05;0.0043458;-0.00091429;-0.012493;-0.035513
0.11;-1.3027e-05;-1.1197e-05;-5.7031e-05;-3.6757e-05;0.0050848;0.0066604;-0.005669;-0.021908
0.115;-1.3827e-05;-1.2532e-05;-6.3837e-05;-4.4594e-05;0.0060847;0.012566;0.0027531;-0.005988
0.12;-1.4455e-05;-1.352e-05;-7.0482e-05;-5.24e-05;0.0075962;0.015109;0.01022;0.008529
0.125;-1.4891e-05;-1.4147e-05;-7.6806e-05;-5.988e-05;0.0078074;0.013841;0.015467;0.017539
0.13;-1.5167e-05;-1.4476e-05;-8.2701e-05;-6.6904e-05;0.0050235;0.010063;0.018877;0.018949
0.135;-1.5373e-05;-1.461e-05;-8.8097e-05;-7.3511e-05;0.00060147;0.0054393;0.021058;0.014485
0.14;-1.5605e-05;-1.4664e-05;-9.2957e-05;-7.9832e-05;-0.0026918;0.0010096;0.021758;0.0084208
0.145;-1.5915e-05;-1.4743e-05;-9.7279e-05;-8.5994e-05;-0.0036443;-0.0029626;0.021333;0.0042399
0.15;-1.6313e-05;-1.494e-05;-0.00010107;-9.2062e-05;-0.0033282;-0.0065124;0.02113;0.0032297
0.155;-1.6791e-05;-1.5334e-05;-0.00010431;-9.8017e-05;-0.0030859;-0.0092934;0.022669;0.0058843
0.16;-1.7339e-05;-1.5975e-05;-0.00010694;-0.00010374;-0.0024681;-0.010493;0.027055;0.012768
0.165;-1.7918e-05;-1.6862e-05;-0.0001088;-0.000109;-0.00012834;-0.0091176;0.033318;0.024054
0.17;-1.8444e-05;-1.7919e-05;-0.00010977;-0.00011348;0.0044397;-0.0045391;0.038683;0.038487
0.175;-1.8794e-05;-1.8994e-05;-0.00010974;-0.00011682;0.0096591;0.0030975;0.041317;0.052614
0.18;-1.8856e-05;-1.9873e-05;-0.00010865;-0.00011872;0.013351;0.012536;0.042816;0.062212
0.185;-1.8563e-05;-2.0331e-05;-0.00010645;-0.00011903;0.015046;0.021211;0.04621;0.06527
0.19;-1.7893e-05;-2.0204e-05;-0.00010305;-0.00011775;0.015098;0.02558;0.050495;0.062303
0.195;-1.6864e-05;-1.9473e-05;-9.8378e-05;-0.00011501;0.013703;0.022758;0.050721;0.054441
0.2;-1.5526e-05;-1.8293e-05;-9.2525e-05;-0.00011104;0.010984;0.013228;0.04387;0.043437
0.205;-1.3962e-05;-1.6931e-05;-8.5718e-05;-0.00010613;0.0070663;0.0013396;0.032478;0.032346
0.21;-1.2273e-05;-1.5648e-05;-7.8218e-05;-0.00010051;0.0029889;-0.0076853;0.022913;0.024223
0.215;-1.054e-05;-1.4601e-05;-7.018e-05;-9.4338e-05;0.00046718;-0.01128;0.020096;0.020091
0.22;-8.7977e-06;-1.3823e-05;-6.1592e-05;-8.768e-05;0.00032006;-0.01017;0.023917;0.018655
0.225;-7.0205e-06;-1.3246e-05;-5.2314e-05;-8.056e-05;0.0024346;-0.0060138;0.031221;0.018289
0.23;-5.1424e-06;-1.2743e-05;-4.2165e-05;-7.2978e-05;0.005643;0.00012269;0.038524;0.018611
