T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;4.3722e-08;3.6854e-08;4.5473e-08;3.7967e-08;0.0034689;0.0029239;0.0036077;0.0030123
0.01;1.5383e-07;1.3388e-07;1.6851e-07;1.4437e-07;0.0019032;0.0019388;0.0026552;0.0025089
0.015;2.4372e-07;2.4082e-07;2.9724e-07;2.8285e-07;-0.0035293;-0.0011609;-0.0022054;4.2619e-05
0.02;2.3128e-07;3.2317e-07;3.5337e-07;4.3004e-07;-0.0046867;-0.00082459;-0.0036273;0.00063778
0.025;1.3474e-07;3.9261e-07;3.4119e-07;6.0115e-07;-0.0020537;-0.00019813;-0.0018476;0.0012866
0.03;1.6636e-08;4.4249e-07;2.9938e-07;7.8762e-07;0.00033882;-0.0013591;-0.00051245;-4.8385e-05
0.035;-8.2225e-08;4.5625e-07;2.4597e-07;9.6576e-07;0.0012069;-0.0015429;-0.00041183;-0.00063056
0.04;-1.3601e-07;4.4999e-07;1.9713e-07;1.1411e-06;0.002392;-6.434e-05;0.00076574;0.00040037
0.045;-1.1189e-07;4.5064e-07;1.9356e-07;1.3307e-06;0.0038436;0.00062711;0.0028562;0.00075388
0.05;5.6161e-09;4.564e-07;2.7077e-07;1.5265e-06;0.003639;-0.00021238;0.0036172;-0.00025843
0.055;1.7882e-07;4.3519e-07;4.152e-07;1.6903e-06;0.00083004;-0.0019413;0.0017738;-0.0022915
0.06;3.1876e-07;3.5634e-07;5.5546e-07;1.7781e-06;-0.0034867;-0.0026807;-0.0020992;-0.003802
0.065;3.3673e-07;2.376e-07;6.0185e-07;1.7835e-06;-0.0062868;-0.00052783;-0.0054193;-0.0028017
0.07;2.0732e-07;1.4412e-07;5.0731e-07;1.7453e-06;-0.0055231;0.0025523;-0.0058734;-0.00068435
0.075;-1.4819e-08;1.2127e-07;2.9401e-07;1.6929e-06;-0.0019053;0.0031166;-0.003638;-0.00043661
0.08;-2.4132e-07;1.4505e-07;2.2143e-08;1.6049e-06;0.0015641;0.000627;-0.0010435;-0.002408
0.085;-4.0776e-07;1.5519e-07;-2.5364e-07;1.4378e-06;0.0032506;-0.0017275;0.00073415;-0.0039261
0.09;-4.7323e-07;1.3621e-07;-4.8011e-07;1.1937e-06;0.0048212;-0.00062486;0.003203;-0.0022584
0.095;-4.0668e-07;1.3639e-07;-5.9895e-07;9.3263e-07;0.00575;0.0021585;0.0054151;0.00090986
0.1;-2.3569e-07;1.8311e-07;-6.0822e-07;6.9366e-07;0.0026325;0.0015918;0.0033808;0.00088033
0.105;-7.941e-08;2.2718e-07;-6.0849e-07;4.4348e-07;-0.0038004;-0.0017986;-0.0026476;-0.0017726
0.11;-5.6658e-08;2.1161e-07;-7.21e-07;1.4233e-07;-0.0069153;-0.0029945;-0.0063605;-0.002326
