T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;-3.1449e-09;-2.3996e-09;-3.8545e-09;-2.9648e-09;-0.00024951;-0.00019038;-0.00030581;-0.00023522
0.01;-8.4167e-09;-3.0186e-09;-1.262e-08;-5.5863e-09;7.3204e-05;0.00032589;-9.3078e-05;0.00025533
0.015;-4.6894e-09;8.5621e-09;-1.5205e-08;5.4317e-09;0.00064872;0.00065627;0.00058758;0.00083995
0.02;1.3794e-08;3.3235e-08;1.7124e-09;4.0666e-08;0.0005362;0.00039193;0.00097507;0.0010973
0.025;4.0268e-08;6.5261e-08;4.357e-08;1.0576e-07;0.00010272;0.00019519;0.0010214;0.0012923
0.03;6.4866e-08;9.473e-08;1.0733e-07;1.9701e-07;-0.00025321;-0.00039564;0.00073301;0.00080486
0.035;7.9542e-08;1.0687e-07;1.8218e-07;2.9796e-07;-0.00054082;-0.00099337;0.00015461;-2.8668e-05
0.04;7.9285e-08;9.6907e-08;2.5379e-07;3.9233e-07;-0.00065502;-0.00077989;-0.00041347;-0.00050085
0.045;6.5284e-08;7.4353e-08;3.1311e-07;4.7213e-07;-0.00044639;-0.00022688;-0.00057329;-0.00066517
0.05;4.6493e-08;5.2173e-08;3.6238e-07;5.3544e-07;6.1892e-05;0.0002571;-0.00023288;-0.00065529
0.055;3.248e-08;4.1416e-08;4.0834e-07;5.8258e-07;0.00032329;0.00065721;-2.9346e-05;-0.00063824
0.06;2.2768e-08;4.9332e-08;4.4588e-07;6.1295e-07;2.3462e-05;0.00083816;-0.00063931;-0.00070245
0.065;7.6642e-09;7.3349e-08;4.511e-07;6.2171e-07;-0.00045506;0.00045356;-0.0019439;-0.0010245
0.07;-1.7132e-08;1.0245e-07;3.971e-07;6.0438e-07;-0.0003252;-4.8654e-05;-0.0027992;-0.0010664
0.075;-3.9763e-08;1.304e-07;2.8148e-07;5.6957e-07;0.0004959;-4.6002e-05;-0.0021387;-0.0003357
0.08;-4.2683e-08;1.5678e-07;1.3383e-07;5.387e-07;0.0010845;-7.7226e-05;-0.00042685;0.00065113
0.085;-2.3256e-08;1.7582e-07;-9.1786e-09;5.2962e-07;0.00070894;-0.00050819;0.00080355;0.0010965
0.09;3.3271e-09;1.8065e-07;-1.3076e-07;5.4796e-07;-0.00013632;-0.00063314;0.00091669;0.0010975
0.095;1.9206e-08;1.7169e-07;-2.3732e-07;5.887e-07;-0.00072226;-0.00046948;0.00028697;0.00069731
0.1;1.558e-08;1.5274e-07;-3.4373e-07;6.3933e-07;-0.00084055;-0.00032932;-0.00027679;9.4186e-05
0.105;-4.5358e-09;1.3035e-07;-4.5189e-07;6.9017e-07;-0.00048102;5.1838e-05;0.00012981;-8.1023e-05
0.11;-3.3262e-08;1.1358e-07;-5.4417e-07;7.3941e-07;-0.00020547;0.00039932;0.0011403;-4.6777e-05
0.115;-6.5825e-08;1.1055e-07;-5.992e-07;7.8824e-07;-0.00010168;0.00069896;0.001843;1.3154e-05
0.12;-9.7034e-08;1.2999e-07;-6.0909e-07;8.4079e-07;0.00020843;0.0010986;0.001772;0.0002842
