T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;2.3421e-08;9.0575e-08;2.1546e-08;9.2033e-08;0.0018582;0.0071861;0.0017095;0.0073018
0.01;8.7189e-08;3.9276e-07;7.752e-08;4.1397e-07;0.0013992;0.0098207;0.0010738;0.01116
0.015;1.4449e-07;8.8597e-07;1.1525e-07;9.8206e-07;-0.0019125;0.0054676;-0.0025283;0.0085398
0.02;1.1332e-07;1.4489e-06;4.5779e-08;1.7087e-06;-0.0051679;0.0001108;-0.0060512;0.0041554
0.025;-6.8912e-08;1.9254e-06;-1.864e-07;2.471e-06;-0.0069279;-0.0070033;-0.0069849;-0.0013075
0.03;-4.2236e-07;2.1418e-06;-5.6791e-07;3.1348e-06;-0.0067783;-0.013824;-0.0049733;-0.0065667
0.035;-9.4138e-07;1.9725e-06;-1.0665e-06;3.5728e-06;-0.0064628;-0.017052;-0.0043719;-0.011498
0.04;-1.6191e-06;1.3892e-06;-1.7238e-06;3.6698e-06;-0.0062329;-0.016088;-0.0083028;-0.015795
0.045;-2.4418e-06;4.5672e-07;-2.6555e-06;3.3497e-06;-0.0053751;-0.011865;-0.01365;-0.017578
0.05;-3.3814e-06;-6.8823e-07;-3.9662e-06;2.6055e-06;-0.0039734;-0.0051403;-0.016689;-0.016372
0.055;-4.4013e-06;-1.8643e-06;-5.7316e-06;1.4757e-06;-0.0024526;0.0026477;-0.019678;-0.014471
0.06;-5.4923e-06;-2.9004e-06;-8.066e-06;-5.3634e-09;-0.0032208;0.0085727;-0.025821;-0.013624
0.065;-6.6831e-06;-3.7e-06;-1.1093999999999999e-05;-1.8304e-06;-0.0047589;0.010364;-0.029689;-0.013888
0.07;-7.9721e-06;-4.2728e-06;-1.4799e-05;-4.012e-06;-0.0031312;0.0077994;-0.024573;-0.014637
0.075;-9.3096e-06;-4.7177e-06;-1.8988e-05;-6.5677e-06;-0.00073383;0.0024501;-0.014061;-0.015294
0.08;-1.0661e-05;-5.1876e-06;-2.3415e-05;-9.518e-06;-0.00033704;-0.0044486;-0.0050339;-0.016266
0.085;-1.2025e-05;-5.8711e-06;-2.7895e-05;-1.2897e-05;-0.00076357;-0.012631;0.00077777;-0.018027
0.09;-1.3418e-05;-6.965e-06;-3.2315e-05;-1.6745e-05;-0.0014281;-0.020216;0.0040919;-0.019516
0.095;-1.4855e-05;-8.6024e-06;-3.6645e-05;-2.1072e-05;-0.0022115;-0.023288;0.0031259;-0.01878
0.1;-1.6349e-05;-1.0777e-05;-4.0983e-05;-2.582e-05;-0.0023003;-0.019704;-0.0037313;-0.014957
0.105;-1.7892e-05;-1.3338e-05;-4.5518e-05;-3.0869e-05;-0.0015679;-0.011282;-0.011992;-0.0090982
0.11;-1.9457e-05;-1.6056e-05;-5.0389e-05;-3.6068e-05;-0.00031357;-0.0012694;-0.015025;-0.0028966
0.115;-2.1013e-05;-1.8688e-05;-5.5572e-05;-4.1263e-05;0.0011663;0.0081762;-0.0099208;0.0032142
0.12;-2.2523e-05;-2.1024e-05;-6.0838e-05;-4.6304e-05;0.0024324;0.015567;0.0032162;0.0090427
0.125;-2.395e-05;-2.2923e-05;-6.5796e-05;-5.1068e-05;0.0041743;0.019361;0.021434;0.013242
0.13;-2.5231e-05;-2.4343e-05;-7.0009e-05;-5.5472e-05;0.0075284;0.018956;0.038157;0.015454
0.135;-2.6275e-05;-2.5331e-05;-7.3161e-05;-5.9464e-05;0.011516;0.015649;0.046836;0.017598
0.14;-2.7e-05;-2.5972e-05;-7.5152e-05;-6.2964e-05;0.013939;0.012099;0.046008;0.021651
0.145;-2.7369e-05;-2.6334e-05;-7.6076e-05;-6.5852e-05;0.014514;0.010272;0.039442;0.027392
0.15;-2.7382e-05;-2.6439e-05;-7.6117e-05;-6.7977e-05;0.014048;0.010163;0.03117;0.033636
0.155;-2.7067e-05;-2.6284e-05;-7.5482e-05;-6.918e-05;0.012091;0.010737;0.022908;0.040081
0.16;-2.6502e-05;-2.5851e-05;-7.4356e-05;-6.9308e-05;0.008;0.011422;0.016385;0.045913
0.165;-2.5796e-05;-2.5126e-05;-7.2845e-05;-6.8251e-05;0.003318;0.012029;0.014379;0.048932
0.17;-2.5023e-05;-2.4105e-05;-7.092e-05;-6.5983e-05;0.0019817;0.011584;0.018622;0.04799
0.175;-2.4149e-05;-2.2826e-05;-6.8419e-05;-6.2561e-05;0.0060511;0.009131;0.027566;0.044351
0.18;-2.3034e-05;-2.1358e-05;-6.5099e-05;-5.8088e-05;0.013233;0.0059402;0.037898;0.03968
0.185;-2.1503e-05;-1.9752e-05;-6.072e-05;-5.2683e-05;0.020041;0.0050404;0.046818;0.034903
0.19;-1.942e-05;-1.7988e-05;-5.5116e-05;-4.6456e-05;0.024122;0.0076872;0.051187;0.030839
0.195;-1.6735e-05;-1.5976e-05;-4.8265e-05;-3.9497e-05;0.02406;0.012096;0.04864;0.027722
0.2;-1.3506e-05;-1.3607e-05;-4.0303e-05;-3.1883e-05;0.019509;0.016455;0.040307;0.024735
0.205;-9.8809e-06;-1.0776e-05;-3.1466e-05;-2.3692e-05;0.012191;0.020455;0.029694;0.021299
0.21;-6.0316e-06;-7.3998e-06;-2.2002e-05;-1.5012e-05;0.0057149;0.023271;0.020409;0.017972
0.215;-2.0788e-06;-3.4503e-06;-1.2089e-05;-5.9218e-06;0.0025547;0.022576;0.015493;0.014733
0.22;1.9343e-06;9.8651e-07;-1.7796e-06;3.4742e-06;0.0022576;0.016439;0.016172;0.0097828
0.225;6.0186e-06;5.6957e-06;8.9836e-06;1.3018e-05;0.0034331;0.0053752;0.020147;0.0020825
0.23;1.0198e-05;1.037e-05;2.027e-05;2.2503e-05;0.0041882;-0.0081821;0.021707;-0.0068789
0.235;1.4449e-05;1.4679e-05;3.2028e-05;3.1712e-05;0.0015106;-0.021014;0.016083;-0.015081
0.24;1.864e-05;1.8359e-05;4.4034e-05;4.0464e-05;-0.0061936;-0.029396;0.0037792;-0.02158
0.245;2.2548e-05;2.1285e-05;5.5948e-05;4.8619e-05;-0.016502;-0.030867;-0.011102;-0.026133
0.25;2.5949e-05;2.3504e-05;6.7419e-05;5.609e-05;-0.024094;-0.025811;-0.024334;-0.028658
0.255;2.8739e-05;2.5188e-05;7.8177e-05;6.2827e-05;-0.02477;-0.016955;-0.032782;-0.029991
0.26;3.1e-05;2.6559e-05;8.8088e-05;6.8787e-05;-0.017631;-0.0080995;-0.035028;-0.032222
0.265;3.2976e-05;2.7795e-05;9.7147e-05;7.3885e-05;-0.0051571;-0.0026395;-0.033152;-0.036716
0.27;3.4976e-05;2.8969e-05;0.00010538;7.7987e-05;0.0070817;-0.0023232;-0.032508;-0.042936
0.275;3.7217e-05;3.003e-05;0.00011274;8.0932e-05;0.012211;-0.0066882;-0.038231;-0.04968
0.28;3.968e-05;3.0835e-05;0.00011896;8.2553e-05;0.0056792;-0.013765;-0.052196;-0.056145
0.285;4.207e-05;3.1207e-05;0.00012363;8.271e-05;-0.011493;-0.020941;-0.071819;-0.061088
0.29;4.3901e-05;3.0997e-05;0.00012627;8.1319e-05;-0.033261;-0.025558;-0.090722;-0.062654
0.295;4.4667e-05;3.0144e-05;0.00012651;7.8397e-05;-0.051959;-0.025934;-0.10173;-0.059924
0.3;4.4025e-05;2.8689e-05;0.00012421;7.4057e-05;-0.060721;-0.022262;-0.10062;-0.053543
0.305;4.1934e-05;2.6748e-05;0.00011956;6.8483e-05;-0.055288;-0.016678;-0.088074;-0.045149
0.31;3.8697e-05;2.4447e-05;0.00011295;6.1886e-05;-0.036409;-0.011988;-0.068594;-0.036721
0.315;3.4868e-05;2.1868e-05;0.00010488;5.4451e-05;-0.011081;-0.010359;-0.048322;-0.030248
0.32;3.1028e-05;1.9004e-05;9.579e-05;4.6306e-05;0.01037;-0.012281;-0.033163;-0.026593
0.325;2.7565e-05;1.5783e-05;8.5947e-05;3.7517e-05;0.019771;-0.01642;-0.027024;-0.02495
0.33;2.4519e-05;1.2095e-05;7.5379e-05;2.8113e-05;0.013777;-0.020811;-0.030892;-0.024205
0.335;2.1581e-05;7.855e-06;6.3903e-05;1.811e-05;-0.0052189;-0.023456;-0.041776;-0.023663
0.34;1.821e-05;3.0406e-06;5.1236e-05;7.5308e-06;-0.029306;-0.022489;-0.053484;-0.022507
0.345;1.3878e-05;-2.2653e-06;3.7156e-05;-3.576e-06;-0.047679;-0.016856;-0.059601;-0.019691
0.35;8.31e-06;-7.8715e-06;2.1632e-05;-1.5114e-05;-0.051273;-0.0071849;-0.055956;-0.014852
0.355;1.633e-06;-1.3507e-05;4.8839e-06;-2.694e-05;-0.037534;0.0048293;-0.042004;-0.0081146
0.36;-5.6576e-06;-1.8866e-05;-1.2647e-05;-3.8858e-05;-0.011599;0.017339;-0.020689;0.0007139
0.365;-1.2888e-05;-2.3656e-05;-3.0398e-05;-5.0621e-05;0.016419;0.028092;0.0030915;0.011663
0.37;-1.9455e-05;-2.7659e-05;-4.7797e-05;-6.1935e-05;0.036719;0.034941;0.025072;0.024185
0.375;-2.5022e-05;-3.0768e-05;-6.4359e-05;-7.2485e-05;0.043369;0.03664;0.042002;0.037037
0.38;-2.9602e-05;-3.3005e-05;-7.9754e-05;-8.1964e-05;0.035645;0.033142;0.051298;0.048644
0.385;-3.3504e-05;-3.4509e-05;-9.3851e-05;-9.011e-05;0.018584;0.025526;0.052661;0.057909
0.39;-3.717e-05;-3.5497e-05;-0.00010668;-9.6728e-05;0.0003875;0.01567;0.048583;0.064475
0.395;-4.0965e-05;-3.6213e-05;-0.00011836;-0.00010168;-0.01082;0.006208;0.043397;0.068569
0.4;-4.5017e-05;-3.6849e-05;-0.00012899;-0.00010489;-0.0098485;9.3263e-05;0.04081;0.070802
0.405;-4.9151e-05;-3.7494e-05;-0.00013858;-0.00010633;0.0032573;-0.00083125;0.042035;0.071743
0.41;-5.2957e-05;-3.8114e-05;-0.00014707;-0.00010597;0.023022;0.002823;0.046598;0.07113
0.415;-5.5964e-05;-3.858e-05;-0.0001543;-0.00010387;0.040868;0.0094207;0.053723;0.068625
0.42;-5.7847e-05;-3.8706e-05;-0.00016008;-0.0001001;0.049142;0.017823;0.0626;0.064528
0.425;-5.8552e-05;-3.8277e-05;-0.00016416;-9.4791e-05;0.045122;0.026591;0.072625;0.058994
0.43;-5.8292e-05;-3.7089e-05;-0.0001663;-8.8088e-05;0.032151;0.034109;0.083305;0.052406
0.435;-5.7418e-05;-3.499e-05;-0.00016623;-8.0164e-05;0.016972;0.038835;0.093049;0.04533
0.44;-5.6245e-05;-3.1908e-05;-0.00016376;-7.1195e-05;0.0068366;0.039806;0.099257;0.038201
0.445;-5.4912e-05;-2.7862e-05;-0.00015882;-6.1353e-05;0.0059633;0.03731;0.098453;0.031683
0.45;-5.3331e-05;-2.2949e-05;-0.00015154;-5.0785e-05;0.013835;0.03208;0.088127;0.026379
0.455;-5.125e-05;-1.7327e-05;-0.0001423;-3.9605e-05;0.026165;0.024655;0.069594;0.022583
0.46;-4.839e-05;-1.1208e-05;-0.00013159;-2.7896e-05;0.036215;0.015061;0.047633;0.019684
0.465;-4.4594e-05;-4.8561e-06;-0.00011992;-1.5736e-05;0.038645;0.0036644;0.028994;0.01651
0.47;-3.9925e-05;1.439e-06;-0.00010766;-3.2167e-06;0.031238;-0.0082509;0.018253;0.012134
0.475;-3.4666e-05;7.3843e-06;-9.4973e-05;9.5219e-06;0.016083;-0.019735;0.016145;0.005461
0.48;-2.9196e-05;1.2707e-05;-8.1804e-05;2.2273e-05;0.00072302;-0.03011;0.022123;-0.0044239
0.485;-2.3798e-05;1.7179e-05;-6.7935e-05;3.4752e-05;-0.0065552;-0.03794;0.033926;-0.017349
0.49;-1.8501e-05;2.066e-05;-5.3051e-05;4.6615e-05;-0.0015778;-0.041327;0.047182;-0.031966
0.495;-1.3056e-05;2.3141e-05;-3.6872e-05;5.7504e-05;0.013356;-0.038724;0.056504;-0.04589
0.5;-7.063e-06;2.477e-05;-1.9271e-05;6.7117e-05;0.03053;-0.02946;0.057341;-0.056231
0.505;-1.8433e-07;2.5854e-05;-3.6416e-07;7.5269e-05;0.040369;-0.014182;0.047142;-0.060772
0.51;7.6428e-06;2.6819e-05;1.9454e-05;8.1922e-05;0.03559;0.0045666;0.025816;-0.05908
0.515;1.6112e-05;2.8113e-05;3.9566e-05;8.7173e-05;0.01588;0.021853;-0.0022665;-0.053099
0.52;2.4635e-05;3.008e-05;5.9292e-05;9.1187e-05;-0.011621;0.032088;-0.028648;-0.045866
0.525;3.256e-05;3.2844e-05;7.8102e-05;9.4132e-05;-0.03625;0.031662;-0.044734;-0.039719
0.53;3.9421e-05;3.6254e-05;9.5774e-05;9.6132e-05;-0.048917;0.020058;-0.046304;-0.035776
0.535;4.5104e-05;3.9914e-05;0.00011243;9.7264e-05;-0.045418;-2.2076e-05;-0.034924;-0.033704
0.54;4.9864e-05;4.3269e-05;0.00012844;9.7565e-05;-0.028441;-0.024267;-0.017487;-0.03275
0.545;5.4183e-05;4.5728e-05;0.00014417;9.7056e-05;-0.0069185;-0.047524;-0.0041279;-0.032059
0.55;5.8522e-05;4.6792e-05;0.0001598;9.5765e-05;0.0086012;-0.064099;-0.003795;-0.030516
0.555;6.3098e-05;4.6177e-05;0.00017513;9.3739e-05;0.010456;-0.070268;-0.020649;-0.028257
0.56;6.777e-05;4.3867e-05;0.00018955;9.1027e-05;-0.0026576;-0.065416;-0.051675;-0.026645
0.565;7.2097e-05;4.0098e-05;0.00020223;8.7645e-05;-0.024986;-0.051368;-0.08743;-0.02692
0.57;7.5531e-05;3.5293e-05;0.00021236;8.3558e-05;-0.046447;-0.031428;-0.11629;-0.029488
0.575;7.7669e-05;2.9979e-05;0.00021943;7.8679e-05;-0.057279;-0.0093975;-0.12969;-0.033855
0.58;7.843e-05;2.4681e-05;0.00022329;7.2889e-05;-0.05304;0.010722;-0.12604;-0.039073
0.585;7.8076e-05;1.9834e-05;0.00022421;6.6062e-05;-0.036126;0.025379;-0.11024;-0.043814
0.59;7.709e-05;1.5714e-05;0.00022261;5.8113e-05;-0.01452;0.032856;-0.090655;-0.04602
