T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;1.9418e-08;8.8375e-08;2.2736e-08;9.3626e-08;0.0015406;0.0070116;0.0018038;0.0074282
0.01;6.647e-08;3.8194e-07;8.7812e-08;4.2706e-07;0.00069843;0.0094806;0.0016101;0.011823
0.015;1.0228e-07;8.5867e-07;1.6249e-07;1.0332e-06;-0.0016041;0.0051777;-0.0008409;0.010002
0.02;7.6215e-08;1.3902e-06;1.8136e-07;1.8322e-06;-0.0033468;-0.00078613;-0.0036216;0.0054406
0.025;-5.7915e-08;1.7867e-06;6.9481e-08;2.6733e-06;-0.0052961;-0.0099877;-0.0068364;-0.0020603
0.03;-3.3864e-07;1.8552e-06;-2.4041e-07;3.3692e-06;-0.0064392;-0.016301;-0.0090147;-0.0095615
0.035;-7.9121e-07;1.5527e-06;-7.904e-07;3.765e-06;-0.007306;-0.013424;-0.010194;-0.014459
0.04;-1.4275e-06;9.7214e-07;-1.6294e-06;3.7636e-06;-0.0073963;-0.0088004;-0.012909;-0.017332
0.045;-2.2347e-06;1.8948e-07;-2.8347e-06;3.3233e-06;-0.0062886;-0.0073552;-0.016408;-0.017784
0.05;-3.1785e-06;-7.3107e-07;-4.468e-06;2.4875e-06;-0.0046387;-0.0037043;-0.017835;-0.013893
0.055;-4.202e-06;-1.6723e-06;-6.533e-06;1.3434e-06;-0.0017406;0.0020525;-0.016721;-0.010743
0.06;-5.2345e-06;-2.5078e-06;-8.9816e-06;-1.3121e-07;0.0010258;0.0064116;-0.013969;-0.015646
0.065;-6.2208e-06;-3.1498e-06;-1.1729e-05;-2.0961e-06;0.0026652;0.0090845;-0.0099215;-0.023588
0.07;-7.1388e-06;-3.5811e-06;-1.4666e-05;-4.651e-06;0.0028212;0.0077913;-0.0052811;-0.023666
0.075;-8.0216e-06;-3.9117e-06;-1.769e-05;-7.6915e-06;8.3576e-06;0.00030045;-0.0016871;-0.015216
0.08;-8.9583e-06;-4.3582e-06;-2.0734e-05;-1.0999e-05;-0.0043232;-0.0095709;0.00015749;-0.0060948
0.085;-1.0041e-05;-5.1224e-06;-2.3766e-05;-1.4406e-05;-0.0074018;-0.015876;0.00078471;-0.0019377
0.09;-1.1317e-05;-6.3054e-06;-2.6768e-05;-1.7883e-05;-0.0080294;-0.017646;0.0015549;-0.0035699
0.095;-1.2768e-05;-7.9199e-06;-2.9709e-05;-2.1517e-05;-0.0059724;-0.016887;0.0033955;-0.0089398
0.1;-1.4315e-05;-9.9314e-06;-3.253e-05;-2.5445e-05;-0.0017356;-0.014878;0.0061463;-0.01464
0.105;-1.5826e-05;-1.2282e-05;-3.5149e-05;-2.9773e-05;0.0046244;-0.012232;0.010032;-0.017333
0.11;-1.7124e-05;-1.487e-05;-3.7463e-05;-3.4491e-05;0.012333;-0.0068053;0.014412;-0.013981
0.115;-1.8038e-05;-1.7488e-05;-3.9372e-05;-3.9428e-05;0.018518;0.0043359;0.017915;-0.0035151
0.12;-1.8455e-05;-1.9829e-05;-4.0794e-05;-4.4292e-05;0.021197;0.01792;0.021102;0.0094072
0.125;-1.8347e-05;-2.1598e-05;-4.1636e-05;-4.8816e-05;0.020789;0.027834;0.025255;0.017754
0.13;-1.775e-05;-2.2614e-05;-4.1786e-05;-5.286e-05;0.018377;0.032352;0.030132;0.020625
0.135;-1.6742e-05;-2.2842e-05;-4.1124e-05;-5.6364e-05;0.014544;0.030849;0.034758;0.022673
0.14;-1.5435e-05;-2.241e-05;-3.9551e-05;-5.9243e-05;0.0093501;0.021907;0.038234;0.02728
0.145;-1.3967e-05;-2.1598e-05;-3.7013e-05;-6.1346e-05;0.0035143;0.0085075;0.03891;0.03472
0.15;-1.2471e-05;-2.0713e-05;-3.3551e-05;-6.2465e-05;-0.0012837;-0.0026504;0.035061;0.044033
0.155;-1.1034e-05;-1.9954e-05;-2.9303e-05;-6.2375e-05;-0.0034516;-0.0075135;0.0278;0.052694
0.16;-9.6659e-06;-1.9366e-05;-2.4455e-05;-6.0921e-05;-0.002083;-0.0061683;0.020261;0.056479
0.165;-8.2915e-06;-1.8873e-05;-1.918e-05;-5.8098e-05;0.0025884;-0.0014653;0.013815;0.053095
0.17;-6.7683e-06;-1.8365e-05;-1.3625e-05;-5.4056e-05;0.0093033;0.0026959;0.0086529;0.044433
0.175;-4.9325e-06;-1.7751e-05;-7.8989e-06;-4.9025e-05;0.015713;0.0057795;0.0049971;0.034697
0.18;-2.6584e-06;-1.6925e-05;-2.0822e-06;-4.3216e-05;0.019369;0.011147;0.0022388;0.027433
0.185;9.4102e-08;-1.5706e-05;3.7546e-06;-3.6771e-05;0.018929;0.020343;-0.00061616;0.023502
0.19;3.2528e-06;-1.3855e-05;9.5381e-06;-2.9769e-05;0.01359;0.030168;-0.0036592;0.021108
0.195;6.6332e-06;-1.1184e-05;1.5207e-05;-2.228e-05;0.0041659;0.035473;-0.0054824;0.017749
0.2;9.9898e-06;-7.6621e-06;2.0748e-05;-1.4418e-05;-0.0060841;0.032639;-0.0048473;0.012162
0.205;1.3093e-05;-3.4639e-06;2.6191e-05;-6.3362e-06;-0.01418;0.021512;-0.0029028;0.0054347
0.21;1.578e-05;1.0761e-06;3.157e-05;1.8248e-06;-0.019162;0.0058453;-0.0022696;0.00087082
0.215;1.7964e-05;5.5757e-06;3.6858e-05;1.0009e-05;-0.021116;-0.0090972;-0.0049338;0.00091685
0.22;1.9628e-05;9.7157e-06;4.1945e-05;1.8248e-05;-0.020453;-0.019694;-0.011152;0.0035692
0.225;2.0815e-05;1.3305e-05;4.6654e-05;2.658e-05;-0.0177;-0.024424;-0.019098;0.0037716
0.23;2.1607e-05;1.6288e-05;5.0785e-05;3.4937e-05;-0.013905;-0.024012;-0.027154;-0.0016937
0.235;2.2095e-05;1.8702e-05;5.4132e-05;4.3127e-05;-0.01047;-0.021631;-0.035534;-0.011643
0.24;2.2346e-05;2.059e-05;5.6481e-05;5.089e-05;-0.0084138;-0.020384;-0.044334;-0.022495
0.245;2.2389e-05;2.1962e-05;5.7623e-05;5.7964e-05;-0.0082724;-0.020871;-0.05222;-0.032623
0.25;2.2207e-05;2.2814e-05;5.7397e-05;6.4093e-05;-0.009652;-0.020751;-0.057277;-0.043024
0.255;2.1762e-05;2.3202e-05;5.5727e-05;6.9007e-05;-0.01149;-0.01636;-0.058186;-0.054116
0.26;2.1008e-05;2.3302e-05;5.265e-05;7.2441e-05;-0.013113;-0.0067283;-0.054426;-0.064324
0.265;1.9907e-05;2.3367e-05;4.8311e-05;7.4181e-05;-0.014766;0.003917;-0.046606;-0.07124
0.27;1.8409e-05;2.3593e-05;4.2928e-05;7.4123e-05;-0.01689;0.008984;-0.036807;-0.072609
0.275;1.6459e-05;2.3994e-05;3.674e-05;7.2322e-05;-0.019308;0.0051302;-0.02772;-0.066871
0.28;1.3997e-05;2.4386e-05;2.9937e-05;6.8997e-05;-0.021625;-0.0058562;-0.021381;-0.055095
0.285;1.0975e-05;2.4465e-05;2.2639e-05;6.4459e-05;-0.023248;-0.019211;-0.018195;-0.041884
0.29;7.3731e-06;2.393e-05;1.49e-05;5.8992e-05;-0.023109;-0.029897;-0.017103;-0.032479
0.295;3.2303e-06;2.2586e-05;6.7372e-06;5.2761e-05;-0.02018;-0.03489;-0.016793;-0.028591
0.3;-1.3396e-06;2.0376e-05;-1.8394e-06;4.5831e-05;-0.014017;-0.034358;-0.016317;-0.02733
0.305;-6.1478e-06;1.7352e-05;-1.0807e-05;3.8254e-05;-0.0050512;-0.0308;-0.014971;-0.024399
0.31;-1.0949e-05;1.3614e-05;-2.011e-05;3.0147e-05;0.0055844;-0.026342;-0.011834;-0.018031
0.315;-1.5476e-05;9.2832e-06;-2.9631e-05;2.1682e-05;0.016385;-0.021087;-0.0057215;-0.010641
0.32;-1.9476e-05;4.521e-06;-3.9171e-05;1.3001e-05;0.02578;-0.013428;0.0042596;-0.0065972
0.325;-2.275e-05;-4.3693e-07;-4.8431e-05;4.1318e-06;0.032307;-0.0022467;0.018154;-0.0084072
0.33;-2.5193e-05;-5.2916e-06;-5.7032e-05;-5.0289e-06;0.034218;0.010503;0.034499;-0.014916
0.335;-2.6823e-05;-9.7587e-06;-6.4561e-05;-1.4646e-05;0.030819;0.02053;0.051233;-0.021636
0.34;-2.7774e-05;-1.3663e-05;-7.0621e-05;-2.4821e-05;0.023502;0.024527;0.06637;-0.022944
0.345;-2.8248e-05;-1.698e-05;-7.488e-05;-3.5472e-05;0.014701;0.02247;0.077674;-0.015273
0.35;-2.8452e-05;-1.9801e-05;-7.7127e-05;-4.6306e-05;0.006915;0.017233;0.083401;0.00064699
0.355;-2.8542e-05;-2.2247e-05;-7.7294e-05;-5.6871e-05;0.0021019;0.012754;0.082976;0.020795
0.36;-2.8587e-05;-2.4393e-05;-7.5463e-05;-6.6673e-05;0.0015101;0.011253;0.076865;0.040371
0.365;-2.8545e-05;-2.6254e-05;-7.1844e-05;-7.5276e-05;0.0055048;0.011528;0.066217;0.055511
0.37;-2.8258e-05;-2.783e-05;-6.6731e-05;-8.2372e-05;0.013988;0.011222;0.053299;0.065071
0.375;-2.7475e-05;-2.9147e-05;-6.0445e-05;-8.7769e-05;0.025695;0.0096052;0.04059;0.070875
0.38;-2.5901e-05;-3.0245e-05;-5.328e-05;-9.1335e-05;0.037593;0.007861;0.029684;0.075591
0.385;-2.3282e-05;-3.1146e-05;-4.5473e-05;-9.2953e-05;0.046054;0.0078909;0.02166;0.080215
0.39;-1.9493e-05;-3.1811e-05;-3.7185e-05;-9.2532e-05;0.047511;0.010966;0.016773;0.082984
0.395;-1.4612e-05;-3.2127e-05;-2.8503e-05;-9.0065e-05;0.039992;0.016924;0.014717;0.080678
0.4;-8.9259e-06;-3.1929e-05;-1.9455e-05;-8.5698e-05;0.024391;0.024231;0.014669;0.071406
0.405;-2.8855e-06;-3.1046e-05;-1.0036e-05;-7.9733e-05;0.003985;0.030529;0.014878;0.056457
0.41;2.9949e-06;-2.937e-05;-2.6747e-07;-7.2569e-05;-0.016792;0.032952;0.013195;0.039413
0.415;8.2435e-06;-2.6906e-05;9.7671e-06;-6.4605e-05;-0.03377;0.030166;0.0080788;0.024573
0.42;1.252e-05;-2.3764e-05;1.9891e-05;-5.6144e-05;-0.044056;0.024063;-0.00094891;0.015214
0.425;1.5671e-05;-2.0092e-05;2.9835e-05;-4.7342e-05;-0.046032000000000003;0.018274;-0.01334;0.012009
0.43;1.775e-05;-1.5992e-05;3.9261e-05;-3.8215e-05;-0.039717;0.016032;-0.028161;0.013982
0.435;1.8988e-05;-1.1475e-05;4.7773e-05;-2.8673e-05;-0.027659;0.017252;-0.044921;0.019131
0.44;1.9708e-05;-6.5208e-06;5.4944e-05;-1.8587e-05;-0.013692;0.017733;-0.062361;0.024494
0.445;2.0232e-05;-1.1874e-06;6.0357e-05;-7.8551e-06;-0.0020395;0.012655;-0.078342;0.027139
0.45;2.0781e-05;4.309e-06;6.3663e-05;3.5274e-06;0.0040995;0.00042916;-0.090191;0.024949
0.455;2.1432e-05;9.6132e-06;6.4656e-05;1.5437e-05;0.0040574;-0.015805;-0.094865;0.017259
0.46;2.2116e-05;1.434e-05;6.3329e-05;2.7618e-05;-0.0013297;-0.030407;-0.090813;0.0044711
0.465;2.2658e-05;1.8207e-05;5.9888e-05;3.9705e-05;-0.010042;-0.038437;-0.078354;-0.012035
0.47;2.2814e-05;2.1116e-05;5.4706e-05;5.1266e-05;-0.020884;-0.038219;-0.060942;-0.029991
0.475;2.2292e-05;2.314e-05;4.8215e-05;6.1856e-05;-0.033289;-0.03261;-0.043815;-0.047677
0.48;2.0802e-05;2.4431e-05;4.0807e-05;7.1046e-05;-0.044186;-0.025992;-0.029451;-0.064352
0.485;1.8144e-05;2.5143e-05;3.2809e-05;7.8434e-05;-0.049277;-0.020335;-0.017765;-0.07977
0.49;1.4304e-05;2.5416e-05;2.4488e-05;8.3655e-05;-0.045333;-0.014825;-0.0080606;-0.09361
0.495;9.5001e-06;2.5407e-05;1.6064e-05;8.6409e-05;-0.031842;-0.0076643;-0.00019884;-0.10383
0.5;4.159e-06;2.5326e-05;7.7088e-06;8.6542e-05;-0.011161;0.0017612;0.0057775;-0.10588
0.505;-1.1672e-06;2.5406e-05;-4.4504e-07;8.416e-05;0.012349;0.011207;0.010297;-0.09538
0.51;-5.924e-06;2.5827e-05;-8.2949e-06;7.9681e-05;0.033233;0.016117;0.014022;-0.072384
0.515;-9.6735e-06;2.6601e-05;-1.5738e-05;7.3762e-05;0.047384;0.012202;0.018498;-0.042899
0.52;-1.217e-05;2.7512e-05;-2.263e-05;6.7114e-05;0.05292;-0.0012701;0.025571;-0.01537
0.525;-1.3384e-05;2.8152e-05;-2.8753e-05;6.0325e-05;0.049658;-0.020378;0.035987;0.0041458
0.53;-1.3492e-05;2.8055e-05;-3.3815e-05;5.3764e-05;0.03897;-0.038606;0.04887;0.014107
0.535;-1.281e-05;2.6852e-05;-3.7486e-05;4.7594e-05;0.02413;-0.04985;0.062398;0.017218
0.54;-1.1713e-05;2.4381e-05;-3.9452e-05;4.1853e-05;0.0091567;-0.051696;0.073983;0.017184
0.545;-1.0535e-05;2.07e-05;-3.9484e-05;3.6528e-05;-0.0027436;-0.045135;0.08079;0.015967
0.55;-9.5047e-06;1.6056e-05;-3.7489e-05;3.1565e-05;-0.0091293;-0.031928;0.081384;0.013128
0.555;-8.6997e-06;1.0833e-05;-3.3532e-05;2.6839e-05;-0.0089041;-0.014467;0.075585;0.0058171
0.56;-8.0364e-06;5.4844e-06;-2.7831e-05;2.2086e-05;-0.0024585;0.0044979;0.064066;-0.0080031
0.565;-7.2992e-06;4.7587e-07;-2.0726e-05;1.691e-05;0.008354;0.022685;0.048212;-0.025718
0.57;-6.2e-06;-3.7722e-06;-1.2642e-05;1.0911e-05;0.020604;0.038173;0.030094;-0.040246
0.575;-4.4517e-06;-6.9273e-06;-4.0266e-06;3.8602e-06;0.031333;0.049283;0.012417;-0.043941
0.58;-1.8406e-06;-8.7865e-06;4.7117e-06;-4.1509e-06;0.037718;0.054431;-0.0025924;-0.032958
0.585;1.7133e-06;-9.3152e-06;1.3252e-05;-1.2685e-05;0.037748;0.052048;-0.013281;-0.0089636
0.59;6.1196e-06;-8.6774e-06;2.1393e-05;-2.1055e-05;0.030481;0.041311;-0.018708;0.022133
0.595;1.111e-05;-7.2286e-06;2.9059e-05;-2.8486e-05;0.01625;0.023592;-0.019288;0.052949
0.6;1.6273e-05;-5.4516e-06;3.6276e-05;-3.429e-05;-0.002412;0.002684;-0.016569;0.077313
0.605;2.1134e-05;-3.8453e-06;4.3122e-05;-3.7972e-05;-0.021711;-0.016366;-0.013202;0.092431
0.61;2.5255e-05;-2.8089e-06;4.9657e-05;-3.9264e-05;-0.037561;-0.029269;-0.011623;0.09888
0.615;2.832e-05;-2.5617e-06;5.5881e-05;-3.8089e-05;-0.04694;-0.033903;-0.013328;0.098443
0.62;3.0178e-05;-3.114e-06;6.1688e-05;-3.4534e-05;-0.049588;-0.030097;-0.019892;0.091986
0.625;3.0839e-05;-4.2793e-06;6.6851e-05;-2.8846e-05;-0.046275;-0.018979;-0.031637;0.078713
0.63;3.0454e-05;-5.7089e-06;7.1035e-05;-2.145e-05;-0.037449;-0.0021896;-0.046694;0.057994
0.635;2.9298e-05;-6.9448e-06;7.386e-05;-1.294e-05;-0.024239;0.017682;-0.062042;0.031082
0.64;2.7721e-05;-7.5052e-06;7.4975e-05;-4.0304e-06;-0.0094307;0.03637;-0.074753;0.00096662
0.645;2.6066e-05;-6.9928e-06;7.4124e-05;4.5457e-06;0.0032273;0.049486;-0.082505;-0.027695
0.65;2.4585e-05;-5.1813e-06;7.1198e-05;1.2164e-05;0.010755;0.054491;-0.083587;-0.049008
0.655;2.3374e-05;-2.0522e-06;6.6251e-05;1.8448e-05;0.010814;0.05096;-0.078114;-0.057769
0.66;2.2338e-05;2.2153e-06;5.9493e-05;2.3364e-05;0.0032731;0.040139;-0.066873;-0.051754
0.665;2.1227e-05;7.2822e-06;5.1263e-05;2.7213e-05;-0.009258;0.023841;-0.050811;-0.03363
0.67;1.9703e-05;1.2688e-05;4.1988e-05;3.0504e-05;-0.023847;0.0032793;-0.032831;-0.011027
0.675;1.7423e-05;1.7889e-05;3.2105e-05;3.3754e-05;-0.03658;-0.01963;-0.015723;0.0077375
0.68;1.4146e-05;2.2325e-05;2.2013e-05;3.7325e-05;-0.043252;-0.041629;-0.0010999;0.018009
0.685;9.8004e-06;2.5492e-05;1.2018e-05;4.1356e-05;-0.042246;-0.059854;0.0089973;0.018852
0.69;4.499e-06;2.7017e-05;2.2981e-06;4.5767e-05;-0.034264;-0.071564;0.012969;0.011635
0.695;-1.4895e-06;2.6741e-05;-7.1207e-06;5.0314e-05;-0.020731;-0.072612;0.011169;-0.00079173
0.7;-7.778e-06;2.4807e-05;-1.6327e-05;5.4649e-05;-0.0032829;-0.060092;0.0058521;-0.016206
0.705;-1.3903e-05;2.1669e-05;-2.5451e-05;5.8353e-05;0.016339;-0.036234;0.00073978;-0.034185
