T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;2.2014e-08;8.6152e-08;2.2647e-08;9.1615e-08;0.0017466;0.0068352;0.0017968;0.0072686
0.01;7.6369e-08;3.6589e-07;8.7883e-08;4.1154e-07;0.00087211;0.0087307;0.0016367;0.011065
0.015;1.1684e-07;7.9085e-07;1.6416e-07;9.763e-07;-0.0019873;0.002899;-0.00075253;0.0085292
0.02;8.5113e-08;1.2032e-06;1.8445e-07;1.7047e-06;-0.0037941;-0.003906;-0.0037222;0.0045704
0.025;-6.8587e-08;1.4494e-06;6.4159e-08;2.4839e-06;-0.0059572;-0.0093985;-0.0075199;-0.00050456
0.03;-3.6849e-07;1.4263e-06;-2.7089e-07;3.1784e-06;-0.0057632;-0.012161;-0.0096774;-0.0062678
0.035;-7.7505e-07;1.0994e-06;-8.3672e-07;3.6405e-06;-0.0027762;-0.01216;-0.0087998;-0.012321
0.04;-1.264e-06;5.082e-07;-1.6334e-06;3.7329e-06;-0.0037761;-0.0089961;-0.0096407;-0.01727
0.045;-1.8855e-06;-2.393e-07;-2.7529e-06;3.3578e-06;-0.0068391;-0.0035167;-0.016157;-0.020138
0.05;-2.6455e-06;-1.0059e-06;-4.3639e-06;2.4585e-06;-0.0042784;0.0019967;-0.023186;-0.021802
0.055;-3.4505e-06;-1.6764e-06;-6.5301e-06;9.9993e-07;0.00067946;0.0056966;-0.021286;-0.02294
0.06;-4.2179e-06;-2.1908e-06;-9.1077e-06;-1.0255e-06;0.0023579;0.0068053;-0.011647;-0.022425
0.065;-4.9191e-06;-2.5488e-06;-1.1924e-05;-3.5652e-06;0.002929;0.0057179;-0.007352;-0.018728
0.07;-5.5611e-06;-2.7988e-06;-1.4982e-05;-6.4856e-06;0.0018297;0.002937;-0.012056;-0.011747
0.075;-6.2084e-06;-3.0323e-06;-1.835e-05;-9.5957e-06;-0.0022477;-0.0016151;-0.012685;-0.003427
0.08;-6.9348e-06;-3.3844e-06;-2.1919e-05;-1.2709e-05;-0.0041029;-0.0078644;-0.0034748;0.0031986
0.085;-7.7664e-06;-4.0152e-06;-2.5484e-05;-1.5713e-05;-0.0043094;-0.014433;0.0038346;0.0055294
0.09;-8.7345e-06;-5.067e-06;-2.8969e-05;-1.8614e-05;-0.0065965;-0.019264;0.0025793;0.0028136
0.095;-9.8691e-06;-6.6082e-06;-3.2415e-05;-2.1519e-05;-0.0067562;-0.019902;0.00049914;-0.0031966
0.1;-1.1117e-05;-8.5813e-06;-3.5808e-05;-2.4583e-05;-0.0023101;-0.014692;0.0038086;-0.0095141
0.105;-1.2358e-05;-1.0791e-05;-3.9026e-05;-2.7932e-05;0.002873;-0.0042421;0.010066;-0.013319
0.11;-1.3475e-05;-1.2939e-05;-4.1939e-05;-3.1608e-05;0.0070215;0.0091832;0.014438;-0.012792
0.115;-1.4358e-05;-1.4692e-05;-4.4477e-05;-3.5538e-05;0.011669;0.022345;0.015542;-0.0075929
0.12;-1.4901e-05;-1.5774e-05;-4.6608e-05;-3.9545e-05;0.015578;0.031403;0.017062;0.0014004
0.125;-1.5055e-05;-1.6049e-05;-4.8244e-05;-4.337e-05;0.015566;0.033273;0.022481;0.01309
0.13;-1.485e-05;-1.5567e-05;-4.9235e-05;-4.6699e-05;0.013153;0.02724;0.029071;0.026726
0.135;-1.4338e-05;-1.4556e-05;-4.9453e-05;-4.918e-05;0.011458;0.015142;0.032805;0.041009
0.14;-1.3571e-05;-1.3343e-05;-4.8816e-05;-5.0476e-05;0.0088698;0.00096397;0.035689;0.053839
0.145;-1.2641e-05;-1.225e-05;-4.7228e-05;-5.0313e-05;0.0042397;-0.01051;0.040258;0.062913
0.15;-1.1654e-05;-1.1484e-05;-4.4612e-05;-4.8536e-05;0.00028345;-0.015725;0.042055;0.066203
0.155;-1.0684e-05;-1.1086e-05;-4.1012e-05;-4.515e-05;-0.0016619;-0.013751;0.036689;0.062549
0.16;-9.762e-06;-1.0938e-05;-3.6604e-05;-4.0332e-05;-0.0022016;-0.0062605;0.028021;0.052095
0.165;-8.8715e-06;-1.0818e-05;-3.1564e-05;-3.4407e-05;-0.00031383;0.004024;0.022421;0.036461
0.17;-7.9161e-06;-1.0463e-05;-2.5985e-05;-2.7794e-05;0.0054862;0.014736;0.020779;0.018574
0.175;-6.7321e-06;-9.6217e-06;-1.9915e-05;-2.0922e-05;0.012804;0.024178;0.018442;0.0021653
0.18;-5.175e-06;-8.0933e-06;-1.3468e-05;-1.4138e-05;0.01707;0.030829;0.011779;-0.0092604
0.185;-3.1928e-06;-5.7681e-06;-6.8236e-06;-7.6381e-06;0.016952;0.032944;0.0039906;-0.013526
0.19;-8.2414e-07;-2.6737e-06;-1.1548e-07;-1.4415e-06;0.013978;0.028625;0.0010741;-0.010752
