T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;-3.6439e-09;-2.8386e-09;-3.8593e-09;-3.0017e-09;-0.0002891;-0.00022521;-0.00030619;-0.00023816
0.01;-1.1114e-08;-4.9691e-09;-1.2675e-08;-5.8735e-09;-2.3195e-05;0.00027455;-9.6283e-05;0.00024125
0.015;-1.0571e-08;6.1648e-09;-1.5445e-08;4.4562e-09;0.00066482;0.00079132;0.00057995;0.00081892
0.02;9.3532e-09;3.8e-08;1.2319e-09;3.899e-08;0.00088915;0.00086532;0.00097812;0.0011171
0.025;4.8271e-08;9.0012e-08;4.3313e-08;1.0465e-07;0.00063209;0.00075005;0.0010554;0.0013733
0.03;9.5296e-08;1.4951e-07;1.0824e-07;1.9788e-07;1.8234e-05;-0.0001458;0.00077426;0.00083887
0.035;1.3338e-07;1.9131e-07;1.847e-07;2.9929e-07;-0.00073315;-0.001271;0.00014984;-0.00018461
0.04;1.4712e-07;1.9685e-07;2.5658e-07;3.8806e-07;-0.001217;-0.001636;-0.00051652;-0.00082933
0.045;1.3265e-07;1.6823e-07;3.1203e-07;4.5488e-07;-0.0010442;-0.0011006;-0.00080085;-0.00092969
0.05;1.0189e-07;1.2556e-07;3.5062e-07;5.0349e-07;-0.00026088;-2.4984e-05;-0.00055061;-0.0005287
0.055;7.3241e-08;9.5972e-08;3.7982e-07;5.4863e-07;0.0004324;0.0010728;-0.00019927;0.0002484
0.06;5.4421e-08;9.9844e-08;4.0273e-07;6.0945e-07;0.0003585;0.0016076;-0.00030098;0.0010075
0.065;3.5838e-08;1.3747e-07;4.1112e-07;6.9778e-07;-0.00033766;0.001099;-0.00085875;0.0011979
0.07;4.9289e-09;1.9064e-07;3.9535e-07;8.139e-07;-0.00065284;0.00014412;-0.0010788;0.001025
0.075;-3.2936e-08;2.4143e-07;3.6271e-07;9.5548e-07;9.0534e-05;-0.00033815;-0.00027619;0.0010109
0.08;-5.5025e-08;2.8135e-07;3.3864e-07;1.1192e-06;0.0011726;-0.00053173;0.00096218;0.00076596
0.085;-4.6462e-08;3.043e-07;3.4335e-07;1.2923e-06;0.0012869;-0.00082484;0.0013469;-1.6896e-05
0.09;-1.802e-08;3.0819e-07;3.724e-07;1.4565e-06;0.0003077;-0.00070374;0.00060578;-0.00069973
0.095;3.246e-09;3.02e-07;4.0087e-07;1.5996e-06;-0.00088283;-0.00010498;-0.00065207;-0.00098734
0.1;-3.4361e-09;3.0259e-07;4.0033e-07;1.7199e-06;-0.0013583;0.00064813;-0.0016707;-0.00083962
0.105;-3.509e-08;3.2826e-07;3.5654e-07;1.8281e-06;-0.00064583;0.0013582;-0.0017956;-0.00013128
0.11;-6.9816e-08;3.8733e-07;2.7285e-07;1.9414e-06;0.00040144;0.0013204;-0.0013964;0.00054722
0.115;-8.7692e-08;4.7029e-07;1.6047e-07;2.0745e-06;0.0009498;0.00059197;-0.00089972;0.00103
0.12;-8.2012e-08;5.598e-07;3.3907e-08;2.2413e-06;0.0009373;-7.0213e-05;-0.00023547;0.0016625
0.125;-5.8871e-08;6.4419e-07;-9.2072e-08;2.455e-06;0.00046163;-0.00034097;0.00028389;0.0020982
0.13;-3.2157e-08;7.1567e-07;-2.0777e-07;2.7158e-06;-0.00017585;-0.00068909;0.00053953;0.0016704
0.135;-1.603e-08;7.6254e-07;-3.1011e-07;3.0008e-06;-0.00067216;-0.0012804;0.00053042;0.00027964
