T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;-3.5967e-09;-2.7835e-09;-3.8354e-09;-3.0199e-09;-0.00028536;-0.00022084;-0.0003043;-0.00023959
0.01;-1.0517e-08;-4.3872e-09;-1.2487e-08;-5.9807e-09;1.3048e-05;0.00030775;-8.6994e-05;0.00023702
0.015;-8.1883e-09;7.7435e-09;-1.4801e-08;4.1732e-09;0.00072766;0.00079632;0.00059412;0.00081618
0.02;1.3626e-08;3.8596e-08;2.3676e-09;3.8481e-08;0.00083572;0.00070272;0.00096694;0.0011158
0.025;5.1219e-08;8.4794e-08;4.4182e-08;1.0377e-07;0.00042786;0.00052475;0.0010059;0.0013635
0.03;9.171e-08;1.3346e-07;1.0798e-07;1.9667e-07;-0.00019508;-0.00032156;0.00075407;0.00085049
0.035;1.199e-07;1.621e-07;1.844e-07;2.9918e-07;-0.00078996;-0.0012836;0.00025723;-8.1548e-05
0.04;1.2454e-07;1.5752e-07;2.6061e-07;3.9193e-07;-0.0010958;-0.001379;-0.00027453;-0.00070179
0.045;1.0489e-07;1.2651e-07;3.266e-07;4.6276e-07;-0.00085043;-0.00073798;-0.000545;-0.0010522
0.05;7.381e-08;8.9623e-08;3.789e-07;5.048e-07;-6.6606e-05;0.00026612;-0.00055116;-0.0012519
0.055;4.8056e-08;7.0239e-08;4.1513e-07;5.1671e-07;0.00049619;0.0011363;-0.00073249;-0.0011601
0.06;3.1756e-08;8.209e-08;4.2285e-07;5.0188e-07;0.00026448;0.0013664;-0.0015446;-0.00097934
0.065;1.3544e-08;1.2048e-07;3.7931e-07;4.6312e-07;-0.00041659;0.00076135;-0.002557;-0.00093395
0.07;-1.6321e-08;1.6668e-07;2.6989e-07;4.0636e-07;-0.00052106;-0.00013782;-0.0027192;-0.00050981
0.075;-4.6932e-08;2.0543e-07;1.0891e-07;3.5136e-07;0.00045595;-0.00046197;-0.0014139;0.00064636
0.08;-5.2716e-08;2.3042e-07;-6.3221e-08;3.2375e-07;0.0015331;-0.00063722;0.00052142;0.0015504
0.085;-2.4184e-08;2.3315e-07;-2.0801e-07;3.3389e-07;0.0012219;-0.0011422;0.0016724;0.0014741
0.09;1.5655e-08;2.055e-07;-3.132e-07;3.7253e-07;-0.00031357;-0.0012917;0.0015025;0.00080785
0.095;2.792e-08;1.5162e-07;-3.9157e-07;4.1977e-07;-0.0018945;-0.00080936;0.00064466;-0.00011903
0.1;-1.2855e-08;9.0173e-08;-4.6054e-07;4.537e-07;-0.0023565;0.00020102;0.00010373;-0.00094735
0.105;-9.7596e-08;5.0457e-08;-5.2149e-07;4.6453e-07;-0.0011693;0.0015366;0.00053126;-0.00090678
0.11;-1.8997e-07;5.7187e-08;-5.6114e-07;4.5954e-07;0.00055974;0.0021854;0.0011759;-0.00035863
0.115;-2.5446e-07;1.1388e-07;-5.7152e-07;4.5331e-07;0.0016759;0.0018163;0.001169;0.00025844
0.12;-2.7335e-07;2.0564e-07;-5.5991e-07;4.6329e-07;0.0019752;0.00098895;0.00059248;0.001038
0.125;-2.494e-07;3.0906e-07;-5.43e-07;5.0862e-07;0.0014564;-5.3728e-05;-0.00016834;0.0017906
0.13;-2.0023e-07;3.9397e-07;-5.3435e-07;6.0017e-07;0.0005622;-0.0014256;-0.00049631;0.0019112
0.135;-1.4622e-07;4.2713e-07;-5.3364e-07;7.2867e-07;-0.00017747;-0.0027167;-0.0001418;0.00105
0.14;-1.0005e-07;3.9198e-07;-5.2629e-07;8.674e-07;-0.00045204;-0.0027569;0.00067133;-0.00023132
0.145;-6.3188e-08;3.0763e-07;-4.9166e-07;9.8739e-07;-0.00029427;-0.0011866;0.0015114;-0.0012695
0.15;-3.1753e-08;2.2185e-07;-4.1469e-07;1.0695e-06;-0.00013887;0.0010718;0.0018797;-0.001766
0.155;-3.4829e-09;1.836e-07;-2.9225e-07;1.1087e-06;-0.00011398;0.0027361;0.0017601;-0.0016646
0.16;1.99e-08;2.162e-07;-1.3371e-07;1.11e-06;-0.00027568;0.0029404;0.0011305;-0.0013727
0.165;3.2722e-08;3.0428e-07;4.0847e-08;1.0766e-06;-0.00056895;0.0015056;0.00015133;-0.0014003
0.17;3.1658e-08;4.0347e-07;2.0744e-07;1.0109e-06;-0.00054471;-0.00061585;-0.0007887;-0.0011879
0.175;2.5617e-08;4.7147e-07;3.5068e-07;9.2777e-07;0.00014289;-0.0018877;-0.0010845;-0.00020531
0.18;3.8356e-08;4.8802e-07;4.7335e-07;8.5597e-07;0.0013576;-0.0022303;-0.00056495;0.0011084
0.185;9.5012e-08;4.5232e-07;5.9164e-07;8.2195e-07;0.0021604;-0.0019531;0.00021461;0.001918
0.19;1.9646e-07;3.7145e-07;7.1671e-07;8.2446e-07;0.0014327;-0.0016584;0.00033415;0.0010169
0.195;3.1246e-07;2.5522e-07;8.4478e-07;8.2619e-07;-0.00026704;-0.0011734;-9.3703e-05;-0.0010781
0.2;4.0752e-07;1.2659e-07;9.6928e-07;7.8205e-07;-0.0014135;0.00017614;-0.00019583;-0.002597
0.205;4.627e-07;1.917e-08;1.0906e-06;6.6631e-07;-0.0017804;0.0015239;-5.7841e-05;-0.0031352
0.21;4.7265e-07;-4.7421e-08;1.2085e-06;4.7227e-07;-0.0018383;0.0017496;-0.00021362;-0.0031312
0.215;4.3968e-07;-8.1451e-08;1.314e-06;2.0326e-07;-0.0015966;0.00086002;-0.00077635;-0.0028667
0.22;3.7652e-07;-1.028e-07;1.3913e-06;-1.2371e-07;-0.00082277;0.00015004;-0.0014762;-0.0017762
0.225;3.0643e-07;-1.2271e-07;1.4241e-06;-4.7208e-07;0.00026863;-3.6852e-05;-0.0020874;6.2329e-05
0.23;2.5027e-07;-1.49e-07;1.3968e-06;-7.9938e-07;0.00084965;-0.00046961;-0.0027224;0.0016262
0.235;2.0934e-07;-1.9051e-07;1.2895e-06;-1.0682e-06;0.00037492;-0.00075179;-0.0036772;0.0030499
0.24;1.6433e-07;-2.4457e-07;1.0788e-06;-1.2443e-06;-0.00069944;-0.00025695;-0.0045938;0.0043707
0.245;9.9533e-08;-2.8822e-07;7.5849e-07;-1.2987e-06;-0.00089272;0.0010864;-0.0041815;0.0053699
0.25;2.812e-08;-2.8386e-07;3.6172e-07;-1.2083e-06;0.00035722;0.0027537;-0.0019461;0.0062113
0.255;-1.4541e-08;-2.0361e-07;-4.4966e-08;-9.5937e-07;0.0019445;0.0033272;0.0011512;0.0064741
0.26;-4.7295e-09;-5.2736e-08;-3.9131e-07;-5.5761e-07;0.0022628;0.0023295;0.0036819;0.0057596
0.265;3.6542e-08;1.353e-07;-6.4041e-07;-3.1644e-08;0.000267;0.00064476;0.0041115;0.00418
0.27;4.7896e-08;3.2151e-07;-8.0398e-07;5.7179e-07;-0.0026613;-0.00079426;0.0027364;0.0020197
0.275;-2.7611e-08;4.7966e-07;-9.2115e-07;1.1993e-06;-0.0042978;-0.001455;0.00097579;-9.8583e-05
0.28;-2.0442e-07;6.0024e-07;-1.0307e-06;1.8013e-06;-0.0038168;-0.0015514;-0.00037058;-0.0019328
0.285;-4.4782e-07;6.835e-07;-1.1578e-06;2.3326e-06;-0.0015194;-0.0014358;-0.0010344;-0.0037308
0.29;-6.9261e-07;7.3891e-07;-1.3179e-06;2.7497e-06;0.0014091;-0.00079569;-0.0016068;-0.0054091
0.295;-8.7723e-07;7.8456e-07;-1.5292e-06;3.0172e-06;0.0034118;1.6327e-05;-0.0024846;-0.0065581
0.3;-9.6825e-07;8.3702e-07;-1.8099e-06;3.1209e-06;0.0040826;0.00053042;-0.0030797;-0.0065525
0.305;-9.5778e-07;9.024e-07;-2.1557e-06;3.0766e-06;0.0040382;0.00050573;-0.0021255;-0.0052999
0.31;-8.4794e-07;9.6826e-07;-2.512e-06;2.9198e-06;0.003911;-0.00046164;0.0012635;-0.0036931
