T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;-3.6518e-09;-2.8143e-09;-3.8451e-09;-2.973e-09;-0.00028973;-0.00022329;-0.00030506;-0.00023587
0.01;-1.0852e-08;-4.5269e-09;-1.2558e-08;-5.6185e-09;-5.5666e-07;0.00030394;-9.0371e-05;0.00025471
0.015;-9.1178e-09;7.7804e-09;-1.502e-08;5.4901e-09;0.00071601;0.00082272;0.00059051;0.00084965
0.02;1.2412e-08;4.0103e-08;2.0382e-09;4.1307e-08;0.00087182;0.00077983;0.00097359;0.001127
0.025;5.1102e-08;8.9401e-08;4.3986e-08;1.0743e-07;0.00050262;0.00057864;0.0010187;0.0012982
0.03;9.4576e-08;1.4225e-07;1.0788e-07;1.9871e-07;-0.00011892;-0.00028946;0.00073918;0.00072072
0.035;1.2682e-07;1.7497e-07;1.8305e-07;2.9657e-07;-0.00077952;-0.0013231;0.00016376;-0.00019548
0.04;1.3528e-07;1.7276e-07;2.5452e-07;3.8386e-07;-0.0011259;-0.0014764;-0.00046044;-0.00065405
0.045;1.1857e-07;1.4224e-07;3.1082e-07;4.5454e-07;-0.00089129;-0.00079224;-0.00075543;-0.00067578
0.05;8.9067e-08;1.0439e-07;3.5085e-07;5.1233e-07;-0.00013367;0.0002058;-0.00054867;-0.00035712
0.055;6.3647e-08;8.2333e-08;3.8126e-07;5.6911e-07;0.00046293;0.0010587;-0.00022021;0.00027551
0.06;4.7136e-08;9.0213e-08;4.0564e-07;6.4103e-07;0.0002546;0.0013402;-0.00025931;0.00093549
0.065;2.8149e-08;1.2455e-07;4.1849e-07;7.3878e-07;-0.00045179;0.00078088;-0.00066196;0.0011348
0.07;-4.4517e-09;1.6863e-07;4.1334e-07;8.625e-07;-0.00064219;-2.0606e-06;-0.00078151;0.00094348
0.075;-4.209e-08;2.0959e-07;3.9688e-07;1.0059e-06;0.00023358;-0.00025162;-0.00012744;0.00062797
0.08;-6.0061e-08;2.4321e-07;3.8718e-07;1.1541e-06;0.0013416;-0.00033491;0.00067004;-0.00023101
0.085;-4.4872e-08;2.6378e-07;3.9249e-07;1.2816e-06;0.0013194;-0.00070662;0.00053739;-0.0014356
0.09;-1.1612e-08;2.6685e-07;3.9694e-07;1.3662e-06;0.00013063;-0.00069875;-0.00060203;-0.0019901
0.095;8.6422e-09;2.5966e-07;3.6957e-07;1.4063e-06;-0.001173;-0.00012306;-0.0019448;-0.0015879
0.1;-4.6132e-09;2.5857e-07;2.8625e-07;1.4211e-06;-0.0015145;0.00061095;-0.0025374;-0.00043041
0.105;-4.3439e-08;2.8157e-07;1.4828e-07;1.4461e-06;-0.00053756;0.0013161;-0.0018405;0.001243
0.11;-8.0824e-08;3.3737e-07;-1.9811e-08;1.5173e-06;0.00065525;0.0013146;-0.00057023;0.0024591
0.115;-9.5863e-08;4.1789e-07;-1.8888e-07;1.6529e-06;0.0011367;0.00066352;0.00049397;0.0026931
0.12;-8.4136e-08;5.0829e-07;-3.3674e-07;1.8493e-06;0.0010068;0.00012547;0.0012048;0.0021799
0.125;-5.3983e-08;5.9795e-07;-4.5165e-07;2.0874e-06;0.00046914;-0.00018586;0.0014334;0.0011571
0.13;-1.8959e-08;6.755e-07;-5.3185e-07;2.3368e-06;-8.0659e-05;-0.00077988;0.001345;-0.00025042
0.135;9.791e-09;7.2194e-07;-5.8175e-07;2.5629e-06;-0.00042222;-0.0017082;0.0010793;-0.0016241
0.14;2.6648e-08;7.2116e-07;-6.0958e-07;2.7426e-06;-0.00053054;-0.0020742;0.00068728;-0.0020821
0.145;3.1417e-08;6.7726e-07;-6.2548e-07;2.8794e-06;-0.00043729;-0.0013812;0.00026718;-0.0013653
0.15;2.6117e-08;6.16e-07;-6.3933e-07;2.9991e-06;-0.00036749;-9.1564e-06;-0.00010409;-2.6364e-07
0.155;1.2855e-08;5.715e-07;-6.5585e-07;3.1359e-06;-0.00027016;0.0013514;-0.00011239;0.0013732
0.16;-5.8159e-09;5.6917e-07;-6.6982e-07;3.317e-06;-0.00016223;0.0020264;0.00031543;0.0021655
0.165;-3.0418e-08;6.1024e-07;-6.7051e-07;3.5446e-06;-0.00031036;0.0014533;0.00074794;0.001575
0.17;-6.4966e-08;6.7255e-07;-6.4997e-07;3.7896e-06;-0.00048633;0.00024618;0.00095098;-0.00018522
0.175;-1.0806e-07;7.3074e-07;-6.0466e-07;4.0072e-06;-0.00020081;-0.00057928;0.0010312;-0.0020145
0.18;-1.457e-07;7.6912e-07;-5.3223e-07;4.158e-06;0.00063554;-0.0010063;0.0011382;-0.0033283
0.185;-1.5684e-07;7.8205e-07;-4.3009e-07;4.2212e-06;0.001485;-0.0010328;0.0012385;-0.0036828
0.19;-1.3046e-07;7.6888e-07;-3.0148e-07;4.1958e-06;0.0015227;-0.0010531;0.00088299;-0.0034062
0.195;-7.3925e-08;7.3107e-07;-1.5812e-07;4.0964e-06;0.0008915;-0.00091997;0.00029709;-0.0025167
0.2;-5.0703e-10;6.8118e-07;-8.2055e-09;3.9535e-06;0.00045629;-5.1307e-05;0.00022251;-0.00097216
0.205;7.8803e-08;6.4015e-07;1.4838e-07;3.7999e-06;1.6944e-05;0.00076339;0.00031291;0.00012867
0.21;1.4807e-07;6.1564e-07;3.0825e-07;3.6467e-06;-0.00081804;0.00056445;-4.7846e-05;-9.3534e-05
0.215;1.8701e-07;5.9178e-07;4.5868e-07;3.4748e-06;-0.0016105;-0.00050962;-0.00070578;-0.0014048
0.22;1.864e-07;5.4945e-07;5.8756e-07;3.2553e-06;-0.0015586;-0.00097464;-0.0010227;-0.002395
0.225;1.6064e-07;4.9023e-07;6.9548e-07;2.9744e-06;-0.00045891;-0.00038093;-0.00065651;-0.0025342
0.23;1.3833e-07;4.2726e-07;7.9444e-07;2.6316e-06;0.00073808;8.5151e-05;-6.0362e-05;-0.0024042
0.235;1.3691e-07;3.699e-07;8.9359e-07;2.2381e-06;0.00093959;0.00036208;7.9324e-05;-0.0016629
0.24;1.4811e-07;3.253e-07;9.8884e-07;1.8206e-06;7.3638e-05;0.0006594;-0.00038905;-0.00026043
0.245;1.5172e-07;3.0072e-07;1.0704e-06;1.4168e-06;-0.00068348;0.00094201;-0.00070771;0.001358
0.25;1.425e-07;3.0366e-07;1.1394e-06;1.0658e-06;-0.00034991;0.0012595;-0.00030183;0.0028584
0.255;1.3991e-07;3.3799e-07;1.2125e-06;7.9486e-07;0.00087662;0.0012548;0.00062855;0.0035635
0.26;1.7035e-07;3.973e-07;1.3091e-06;6.125e-07;0.0017716;0.00074519;0.0012483;0.0035216
0.265;2.3508e-07;4.6743e-07;1.4275e-06;5.1506e-07;0.00098171;0.00012073;0.00051779;0.0032719
0.27;3.0038e-07;5.3433e-07;1.5371e-06;4.9372e-07;-0.00093365;-0.00038051;-0.0012282;0.0028177
0.275;3.2261e-07;5.8468e-07;1.5942e-06;5.3371e-07;-0.0025167;-0.00094202;-0.0029738;0.0020903
0.28;2.7403e-07;6.0155e-07;1.5613e-06;6.1599e-07;-0.0031528;-0.0017357;-0.0042313;0.0012924
0.285;1.5392e-07;5.672e-07;1.4183e-06;7.2368e-07;-0.002576;-0.0023643;-0.0045707;0.00073883
0.29;-1.2315e-08;4.7872e-07;1.168e-06;8.5222e-07;-0.0011174;-0.0019721;-0.0040284;0.00092405
0.295;-1.8569e-07;3.5515e-07;8.3114e-07;1.0112e-06;0.00054641;-0.00083715;-0.0028947;0.0015143
0.3;-3.2485e-07;2.2902e-07;4.4316e-07;1.2137e-06;0.0021908;0.00063055;-0.0011983;0.0019642
0.305;-3.9167e-07;1.3558e-07;5.3875e-08;1.4627e-06;0.003599;0.0019865;0.0010911;0.0017614
0.31;-3.5576e-07;9.3925e-08;-2.7623e-07;1.7402e-06;0.0046212;0.0021648;0.0036434;0.00052065
0.315;-2.085e-07;9.6311e-08;-4.9403e-07;2.0068e-06;0.0042964;0.0013611;0.0053472;-0.0013824
0.32;1.9767e-08;1.1749e-07;-5.7804e-07;2.2131e-06;0.0021922;0.00014399;0.0053663;-0.0034491
0.325;2.701e-07;1.2784e-07;-5.4734e-07;2.3152e-06;-0.00042807;-0.0010123;0.0038166;-0.004894
0.33;4.7666e-07;1.0449e-07;-4.5731e-07;2.2887e-06;-0.0030723;-0.0016859;0.00093678;-0.0053902
0.335;5.8594e-07;4.0165e-08;-3.7911e-07;2.1299e-06;-0.0047189;-0.0015967;-0.0018876;-0.0052008
0.34;5.8407e-07;-4.8392e-08;-3.5974e-07;1.8518e-06;-0.0041856;-0.0003487;-0.0028317;-0.0043439
