T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;-3.5876e-09;-2.8596e-09;-3.8194e-09;-2.9921e-09;-0.00028464;-0.00022687;-0.00030302;-0.00023739
0.01;-1.0659e-08;-5.053e-09;-1.2349e-08;-5.8269e-09;-3.5627e-07;0.00027285;-7.9851e-05;0.00024267
0.015;-9.0458e-09;5.9764e-09;-1.4297e-08;4.454e-09;0.00069585;0.00078971;0.00060657;0.00081071
0.02;1.1767e-08;3.7524e-08;3.1884e-09;3.8415e-08;0.00084421;0.00085235;0.00095079;0.0010834
0.025;4.9097e-08;8.8519e-08;4.4141e-08;1.0267e-07;0.00047871;0.00070482;0.00092782;0.0013408
0.03;9.1598e-08;1.4587e-07;1.051e-07;1.9436e-07;-6.4602e-05;-0.00019088;0.00067379;0.00085887
0.035;1.2568e-07;1.8508e-07;1.7776e-07;2.9526e-07;-0.00060887;-0.0012627;0.00026289;-0.00012061
0.04;1.3984e-07;1.8925e-07;2.5084e-07;3.8485e-07;-0.00098696;-0.0015456;-0.00022908;-0.00078745
0.045;1.3e-07;1.6186e-07;3.1344e-07;4.5287e-07;-0.00093478;-0.00098292;-0.00060988;-0.00094048
0.05;1.0367e-07;1.2273e-07;3.6032e-07;5.0229e-07;-0.00038731;4.2378e-05;-0.00065031;-0.00055115
0.055;7.4653e-08;9.6856e-08;3.9269e-07;5.4853e-07;0.00017373;0.0010196;-0.00051108;0.00029556
0.06;5.0463e-08;1.0164e-07;4.1213e-07;6.1313e-07;0.000216;0.0014366;-0.00052151;0.001174
0.065;2.6543e-08;1.3569e-07;4.1692e-07;7.0942e-07;-0.00019295;0.00091027;-0.00064969;0.0013666
0.07;-4.3338e-09;1.8242e-07;4.0695e-07;8.3368e-07;-0.00036654;0.00010258;-0.00053448;0.00087338
0.075;-3.7182e-08;2.2821e-07;3.8981e-07;9.7267e-07;0.00020462;-0.0001806;-3.9792e-05;0.00030403
0.08;-5.4173e-08;2.6755e-07;3.7529e-07;1.1097e-06;0.0010643;-0.00033511;0.00025128;-0.00045692
0.085;-4.3065e-08;2.9389e-07;3.5955e-07;1.2232e-06;0.0011896;-0.00070367;-0.00034288;-0.0014293
0.09;-1.2578e-08;3.028e-07;3.218e-07;1.2962e-06;0.00036467;-0.00069387;-0.0014173;-0.0018115
0.095;1.1518e-08;3.0034e-07;2.3983e-07;1.3296e-06;-0.00087519;-0.00021818;-0.0021237;-0.0013667
0.1;4.0918e-09;3.0078e-07;1.0674e-07;1.3428e-06;-0.0016509;0.00045079;-0.0019716;-0.00024438
0.105;-3.6663e-08;3.2166e-07;-6.0789e-08;1.3704e-06;-0.0010242;0.0011835;-0.00078778;0.0013881
0.11;-8.3537e-08;3.7363e-07;-2.3007e-07;1.4468e-06;0.00053279;0.0013089;0.00064903;0.0025292
0.115;-1.0296e-07;4.5272e-07;-3.7246e-07;1.5867e-06;0.0016682;0.00086176;0.0015054;0.0025479
0.12;-8.0303e-08;5.4813e-07;-4.7391e-07;1.7819e-06;0.0017038;0.00044283;0.0017727;0.0018807
0.125;-2.8561e-08;6.4981e-07;-5.3386e-07;2.0117e-06;0.00062851;5.9961e-05;0.0015491;0.00089313
0.13;2.2552e-08;7.4302e-07;-5.6086e-07;2.2481e-06;-0.00068045;-0.00073525;0.0010882;-0.00036762
0.135;4.8386e-08;8.0324e-07;-5.6799e-07;2.4604e-06;-0.0013463;-0.0019026;0.00050169;-0.0015626
0.14;4.1235e-08;8.0906e-07;-5.7024e-07;2.6292e-06;-0.0012955;-0.0024552;-0.00011154;-0.0019221
0.145;6.0507e-09;7.6157e-07;-5.8017e-07;2.7588e-06;-0.00094764;-0.0018162;-0.0005043;-0.0012215
0.15;-4.9637e-08;6.8739e-07;-6.0188e-07;2.874e-06;-0.00069154;-0.00032103;-0.00044125;6.7174e-05
0.155;-1.1632e-07;6.2644e-07;-6.248e-07;3.0068e-06;-0.00019079;0.001379;0.00034038;0.001349
0.16;-1.7636e-07;6.1371e-07;-6.2628e-07;3.1817e-06;0.00072074;0.0024832;0.0013761;0.002018
0.165;-2.1114e-07;6.5934e-07;-5.8897e-07;3.3982e-06;0.0013034;0.0021946;0.0017319;0.0013218
0.17;-2.1675e-07;7.4298e-07;-5.1655e-07;3.6263e-06;0.0010349;0.00084947;0.0010818;-0.00039561
0.175;-2.0461e-07;8.3033e-07;-4.3097e-07;3.8237e-06;0.00038612;-0.00055457;-2.9182e-05;-0.0020586
0.18;-1.8319e-07;8.9207e-07;-3.525e-07;3.9571e-06;0.00034975;-0.0014966;-0.00054357;-0.0030693
0.185;-1.4452e-07;9.1387e-07;-2.8319e-07;4.0126e-06;0.0010286;-0.0017034;-0.00019336;-0.003167
0.19;-7.5718e-08;8.9455e-07;-2.1092e-07;3.9927e-06;0.001386;-0.0015855;0.00043002;-0.0028643
0.195;2.1172e-08;8.4216e-07;-1.1942e-07;3.9078e-06;0.00086546;-0.0010645;0.0011081;-0.0023324
0.2;1.278e-07;7.7766e-07;5.3565e-09;3.7769e-06;-8.6095e-05;9.3343e-05;0.0015559;-0.0013533
0.205;2.176e-07;7.2704e-07;1.6211e-07;3.6237e-06;-0.0012578;0.0010213;0.0010094;-0.00043445
0.21;2.661e-07;6.9964e-07;3.2584e-07;3.4621e-06;-0.0020511;0.00084205;-0.00044854;-0.00022918
0.215;2.6785e-07;6.7834e-07;4.6682e-07;3.2854e-06;-0.001696;-0.00034934;-0.0013775;-0.00097086
0.22;2.4091e-07;6.3904e-07;5.8205e-07;3.0739e-06;-0.00060047;-0.0010975;-0.00069168;-0.0018141
0.225;2.145e-07;5.7561e-07;7.0213e-07;2.8125e-06;0.0006427;-0.00083639;0.0010769;-0.0021888
0.23;2.1246e-07;4.9685e-07;8.6255e-07;2.4941e-06;0.0013117;-0.00038922;0.0021579;-0.0023615
0.235;2.3745e-07;4.1609e-07;1.0661e-06;2.1235e-06;0.00085656;0.00022733;0.0013008;-0.0018252
0.24;2.6591e-07;3.4964e-07;1.2721e-06;1.7244e-06;-0.00057438;0.00091791;-0.0010968;-0.00045804
0.245;2.6377e-07;3.1212e-07;1.4255e-06;1.3352e-06;-0.0018772;0.0013979;-0.0031129;0.0012441
0.25;2.1512e-07;3.1216e-07;1.5004e-06;9.9755e-07;-0.0018528;0.0016082;-0.0031889;0.0028902
0.255;1.4209e-07;3.4886e-07;1.5175e-06;7.4248e-07;-0.00010587;0.0013273;-0.0014367;0.0037186
0.26;9.6127e-08;4.0983e-07;1.5235e-06;5.7924e-07;0.0022713;0.00061629;0.00055675;0.0036306
0.265;1.1562e-07;4.7804e-07;1.5459e-06;5.0077e-07;0.0029791;-3.8504e-05;0.00075582;0.0031529
0.27;1.8888e-07;5.3953e-07;1.5662e-06;4.9314e-07;0.0013325;-0.00050019;-0.00090615;0.0025143
0.275;2.6077e-07;5.8439e-07;1.5378e-06;5.4049e-07;-0.0014399;-0.0008305;-0.0029975;0.0018837
0.28;2.7242e-07;6.0224e-07;1.4181e-06;6.2709e-07;-0.0033877;-0.0013287;-0.004312;0.0012571
0.285;2.0217e-07;5.7989e-07;1.1918e-06;7.3988e-07;-0.003176;-0.0018873;-0.0042202;0.00083584
0.29;7.6444e-08;5.1135e-07;8.7443e-07;8.7665e-07;-0.0012686;-0.001813;-0.0030679;0.0010785
0.295;-5.3122e-08;4.0634e-07;5.015e-07;1.0446e-06;0.00096285;-0.0011071;-0.0013821;0.0014144
0.3;-1.4325e-07;2.8801e-07;1.1406e-07;1.2468e-06;0.0021996;3.9724e-05;0.00022398;0.0013346
0.305;-1.7648e-07;1.8731e-07;-2.5304e-07;1.4754e-06;0.0023563;0.0013704;0.0014057;0.00077949
0.31;-1.532e-07;1.2876e-07;-5.7386e-07;1.7089e-06;0.0021652;0.0020074;0.0022977;-0.00038898
0.315;-8.237e-08;1.1785e-07;-8.2887e-07;1.9182e-06;0.001641;0.0018069;0.0029678;-0.0015525
0.32;1.8449e-08;1.4012e-07;-1.0004e-06;2.0774e-06;0.00075954;0.00085123;0.0037114;-0.0024514
0.325;1.2653e-07;1.6646e-07;-1.0708e-06;2.1643e-06;-0.00017902;-0.00052411;0.0043721;-0.0033273
0.33;2.1726e-07;1.6682e-07;-1.0389e-06;2.1567e-06;-0.0012075;-0.0015575;0.0038313;-0.0042368
0.335;2.675e-07;1.2467e-07;-9.3531e-07;2.0331e-06;-0.0020348;-0.0018477;0.0019049;-0.0050446
0.34;2.6731e-07;4.7144e-08;-8.0723e-07;1.7845e-06;-0.0020048;-0.00098954;5.0617e-05;-0.0049619
0.345;2.2197e-07;-3.985e-08;-6.874e-07;1.4227e-06;-0.0016068;0.00023396;-0.00071734;-0.0040979
0.35;1.3512e-07;-1.1051e-07;-5.8251e-07;9.7486e-07;-0.0017098;0.0010749;-0.00048142;-0.0027889
0.355;4.7914e-09;-1.4646e-07;-4.7994e-07;4.7878e-07;-0.0017717;0.0017022;0.00029322;-0.0010694
0.36;-1.5314e-07;-1.4135e-07;-3.5324e-07;-2.6795e-08;-0.00044599;0.0015885;0.0016343;0.00031305
0.365;-2.9433e-07;-1.0771e-07;-1.7494e-07;-5.1532e-07;0.0017835;0.00069714;0.0024998;0.0010544
0.37;-3.7465e-07;-6.9967e-08;5.2799e-08;-9.7295e-07;0.0030954;-0.00037012;0.001467;0.0014175
0.375;-3.804e-07;-5.5891e-08;2.8444e-07;-1.3985e-06;0.0028768;-0.001522;-0.0011496;0.0011519
0.38;-3.3353e-07;-9.438e-08;4.493e-07;-1.8097e-06;0.0013392;-0.0026837;-0.0041926;6.1322e-06
0.385;-2.7811e-07;-2.0326e-07;4.8627e-07;-2.2347e-06;-0.00065579;-0.0029545;-0.0060486;-0.0011141
0.39;-2.5283e-07;-3.7353e-07;3.8134e-07;-2.6886e-06;-0.0017622;-0.001963;-0.0053184;-0.0012137
0.395;-2.6845e-07;-5.7808e-07;1.7137e-07;-3.1613e-06;-0.0015161;-0.00077642;-0.0030878;-0.00028525
0.4;-3.0604e-07;-7.8907e-07;-9.0646e-08;-3.6192e-06;-0.00024618;0.00026055;-0.0010718;0.0014627
0.405;-3.3035e-07;-9.8146e-07;-3.7014e-07;-4.0181e-06;0.0013089;0.0012287;-0.00031813;0.0032638
0.41;-3.0779e-07;-1.1343e-06;-6.5782e-07;-4.3264e-06;0.0024443;0.0019346;-0.00033655;0.0039816
0.415;-2.1863e-07;-1.2407e-06;-9.4191e-07;-4.5508e-06;0.0028872;0.0017894;0.00061603;0.0027506
0.42;-6.1421e-08;-1.3192e-06;-1.1768e-06;-4.7444e-06;0.002561;0.00044468;0.0033137;-0.00028637
0.425;1.492e-07;-1.4164e-06;-1.287e-06;-4.9955e-06;0.0017135;-0.0019312;0.0066544;-0.0043054
0.43;3.8277e-07;-1.5895e-06;-1.2169e-06;-5.3983e-06;0.00012735;-0.0041484;0.0077902;-0.0078316
0.435;5.8327e-07;-1.8661e-06;-9.9024e-07;-6.0103e-06;-0.0027658;-0.0041455;0.0047623;-0.0089264
0.44;6.7558e-07;-2.2174e-06;-7.0791e-07;-6.827e-06;-0.0058916;-0.00184;-0.00030966;-0.0074612
0.445;6.0781e-07;-2.5733e-06;-4.6929e-07;-7.7899e-06;-0.0069307;0.0014756;-0.0032062;-0.0042409
0.45;3.9512e-07;-2.8486e-06;-2.9432e-07;-8.801e-06;-0.0046806;0.0049673;-0.0019088;0.00037519
0.455;1.2473e-07;-2.9685e-06;-1.1556e-07;-9.7439e-06;5.6123e-05;0.0074657;0.0022041;0.005084
0.46;-8.4501e-08;-2.8934e-06;1.6649e-07;-1.0519e-05;0.0048421;0.0081521;0.0060664;0.008343
0.465;-1.4589e-07;-2.6312e-06;6.1552e-07;-1.1073e-05;0.0070033;0.0068314;0.0073091;0.0093557
0.47;-4.853e-08;-2.2422e-06;1.2257e-06;-1.1412e-05;0.005713;0.0033113;0.0055933;0.0078751
0.475;1.5558e-07;-1.8329e-06;1.9369e-06;-1.1592e-05;0.0028292;-0.0016712;0.0024994;0.0048936
0.48;4.0918e-07;-1.5205e-06;2.6803e-06;-1.1679e-05;0.0011187;-0.0060986;6.1415e-05;0.0024796
0.485;6.9246e-07;-1.3836e-06;3.4118e-06;-1.1707e-05;0.0012485;-0.0079489;-0.0010229;0.0022343
0.49;1.0107e-06;-1.4353e-06;4.1155e-06;-1.1661e-05;0.001555;-0.0071548;-0.0011986;0.003635
0.495;1.3497e-06;-1.6395e-06;4.7877e-06;-1.1507e-05;0.00011173;-0.0050464;-0.0013176;0.0050896
0.5;1.6488e-06;-1.9347e-06;5.4158e-06;-1.121e-05;-0.0032952;-0.0022378;-0.0022053;0.0062647
0.505;1.8251e-06;-2.2471e-06;5.9708e-06;-1.0745e-05;-0.0065293;0.00085851;-0.0036497;0.0072358
0.51;1.8301e-06;-2.5078e-06;6.4226e-06;-1.0101e-05;-0.0071971;0.003287;-0.004605;0.0071392
0.515;1.6875e-06;-2.6769e-06;6.7661e-06;-9.3083e-06;-0.0046247;0.0040489;-0.0040629;0.0046878
0.52;1.4879e-06;-2.7576e-06;7.0366e-06;-8.4602e-06;5.5048e-05;0.003031;-0.0017901;-0.00021497
0.525;1.3496e-06;-2.7803e-06;7.3016e-06;-7.6823e-06;0.0048574;0.0016077;0.0013455;-0.0054067
0.53;1.3717e-06;-2.7642e-06;7.633e-06;-7.0718e-06;0.0079788;0.0014818;0.0039703;-0.0080051
0.535;1.5929e-06;-2.6919e-06;8.0738e-06;-6.6475e-06;0.0079791;0.0030144;0.0048022;-0.0069131
0.54;1.9659e-06;-2.5194e-06;8.613e-06;-6.3524e-06;0.004178;0.0049993;0.0030727;-0.0034226
0.545;2.3602e-06;-2.214e-06;9.1765e-06;-6.0996e-06;-0.0024686;0.0056427;-0.0011121;4.0833e-05
0.55;2.6144e-06;-1.7863e-06;9.6496e-06;-5.8218e-06;-0.0087428;0.0041546;-0.0061212;0.0019665
0.555;2.6231e-06;-1.2898e-06;9.9266e-06;-5.4866e-06;-0.010926;0.0013511;-0.0095753;0.0026278
0.56;2.396e-06;-7.9556e-07;9.9552e-06;-5.0848e-06;-0.0079642;-0.001531;-0.010317;0.0027077
0.565;2.0435e-06;-3.595e-07;9.7472e-06;-4.6138e-06;-0.0020714;-0.0031344;-0.0086181;0.0028197
0.57;1.7023e-06;2.2172e-09;9.3608e-06;-4.0658e-06;0.0029812;-0.0028231;-0.0056594;0.0033455
0.575;1.458e-06;3.0578e-07;8.869e-06;-3.4254e-06;0.0047997;-0.0018281;-0.0027691;0.0040442
0.58;1.3243e-06;5.6384e-07;8.336e-06;-2.6746e-06;0.004053;-0.0018048;-0.00052419;0.0047863
0.585;1.2734e-06;7.6487e-07;7.8067e-06;-1.7898e-06;0.0025651;-0.0027546;0.00082671;0.0059326
0.59;1.2686e-06;8.9151e-07;7.2968e-06;-7.3614e-07;0.0011231;-0.0032033;0.00073437;0.007571
0.595;1.2746e-06;9.4554e-07;6.7799e-06;5.1617e-07;-0.00025022;-0.0026092;-0.0012838;0.0083318
0.6;1.2602e-06;9.4961e-07;6.1852e-06;1.9577e-06;-0.0013946;-0.00139;-0.0049382;0.0068149
0.605;1.2009e-06;9.4003e-07;5.4181e-06;3.5279e-06;-0.0021926;0.00029547;-0.0088489;0.0034947
0.61;1.0782e-06;9.6147e-07;4.4057e-06;5.1425e-06;-0.0028808;0.0021861;-0.010798;4.7981e-05
0.615;8.7269e-07;1.0561e-06;3.1469e-06;6.7311e-06;-0.0037398;0.0036717;-0.0089275;-0.0021432
0.62;5.6685e-07;1.2446e-06;1.7369e-06;8.252e-06;-0.0042922;0.0038499;-0.0031937;-0.0032681
0.625;1.674e-07;1.5148e-06;3.3633e-07;9.679e-06;-0.0032079;0.0026854;0.00395;-0.0042432
0.63;-2.7146e-07;1.8306e-06;-9.1082e-07;1.0984e-05;4.3878e-05;0.00096966;0.0083481;-0.0055394
0.635;-6.6156e-07;2.1471e-06;-1.9667e-06;1.2129e-05;0.0038602;-0.00091456;0.0069847;-0.0072438
0.64;-9.3519e-07;2.4256e-06;-2.9245e-06;1.3077e-05;0.0054732;-0.0021284;0.00087942;-0.0084763
0.645;-1.0989e-06;2.6637e-06;-3.9387e-06;1.3822e-05;0.0033419;-0.0011276;-0.0054013;-0.0078241
0.65;-1.2384e-06;2.9083e-06;-5.1189e-06;1.4398e-05;-0.0013992;0.0016479;-0.0078964;-0.0056915
0.655;-1.4689e-06;3.2156e-06;-6.4791e-06;1.4853e-05;-0.0058842;0.0033843;-0.0065318;-0.003945
0.66;-1.8656e-06;3.5964e-06;-7.9679e-06;1.5225e-05;-0.0074398;0.0025017;-0.0037524;-0.0027556
0.665;-2.4173e-06;4.0018e-06;-9.518e-06;1.5546e-05;-0.0049733;-0.00051682;-0.0011443;-0.0013208
0.67;-3.0295e-06;4.3522e-06;-1.1071e-05;1.5854e-05;0.0001269;-0.0038917;0.00092321;0.00036096
0.675;-3.5766e-06;4.59e-06;-1.2584e-05;1.6192e-05;0.0050789;-0.0051292;0.0022466;0.0019588
0.68;-3.9614e-06;4.7125e-06;-1.4032e-05;1.6581e-05;0.0079229;-0.0041037;0.0029747;0.0021794
0.685;-4.1434e-06;4.7474e-06;-1.5393e-05;1.7e-05;0.0083174;-0.0029021;0.0040058;0.00013755
0.69;-4.133e-06;4.7121e-06;-1.6622e-05;1.7385e-05;0.0070794;-0.0027091;0.0064898;-0.0027538
0.695;-3.9798e-06;4.5995e-06;-1.7655e-05;1.7676e-05;0.0043504;-0.00347;0.0092565;-0.0048017
0.7;-3.7729e-06;4.3863e-06;-1.8458e-05;1.7833e-05;-5.1872e-05;-0.0045719;0.0091129;-0.0059133
0.705;-3.6221e-06;4.0524e-06;-1.9081e-05;1.7829e-05;-0.0044366;-0.0050923;0.0053728;-0.0069702
0.71;-3.6103e-06;3.5995e-06;-1.9624e-05;1.763e-05;-0.0066956;-0.0044373;0.00091798;-0.0086358
0.715;-3.7566e-06;3.0524e-06;-2.016e-05;1.7184e-05;-0.0059691;-0.0030989;-0.00032255;-0.011131
0.72;-4.0085e-06;2.4436e-06;-2.0654e-05;1.6422e-05;-0.0024899;-0.0018366;0.0037215;-0.014197
0.725;-4.2703e-06;1.8118e-06;-2.0967e-05;1.5275e-05;0.0016994;-5.7656e-06;0.010654;-0.016486
0.73;-4.4618e-06;1.221e-06;-2.0958e-05;1.3719e-05;0.0039329;0.0032781;0.015144;-0.016382
0.735;-4.5588e-06;7.5334e-07;-2.0585e-05;1.1782e-05;0.0036462;0.0065732;0.013993;-0.013993
0.74;-4.5844e-06;4.6094e-07;-1.9932e-05;9.5386e-06;0.0020686;0.0074666;0.008469;-0.010576
0.745;-4.5728e-06;3.3363e-07;-1.9136e-05;7.0797e-06;0.00089617;0.0057518;0.0029889;-0.0066567
0.75;-4.5334e-06;3.1809e-07;-1.8285e-05;4.5074e-06;0.0013233;0.0031896;0.0013351;-0.0024124
0.755;-4.4418e-06;3.6303e-07;-1.7381e-05;1.9268e-06;0.0028485;0.0016401;0.0029267;0.0017455
0.76;-4.2675e-06;4.4891e-07;-1.6393e-05;-5.6328e-07;0.0037766;0.0016283;0.0037385;0.005497
0.765;-4.0154e-06;5.8295e-07;-1.5353e-05;-2.8708e-06;0.0024572;0.0022245;0.0004575;0.0091071
0.77;-3.7461e-06;7.6789e-07;-1.438e-05;-4.9012e-06;-0.0010719;0.001855;-0.0057448;0.013062
0.775;-3.5452e-06;9.6427e-07;-1.3599e-05;-6.5595e-06;-0.0044006;-0.00092459;-0.0096857;0.016711
0.78;-3.454e-06;1.0851e-06;-1.3028e-05;-7.7677e-06;-0.004405;-0.005119;-0.0070828;0.019305
0.785;-3.4152e-06;1.0426e-06;-1.253e-05;-8.4775e-06;0.00019211;-0.0079544;0.0011606;0.020569
0.79;-3.2859e-06;7.976e-07;-1.1903e-05;-8.6812e-06;0.0070368;-0.0082658;0.0091749;0.019928
0.795;-2.9211e-06;3.6989e-07;-1.1013e-05;-8.4146e-06;0.011836;-0.0063581;0.011844;0.017707
0.8;-2.268e-06;-1.7326e-07;-9.8587e-06;-7.7399e-06;0.011253;-0.0028832;0.0094124;0.014945
0.805;-1.4121e-06;-7.3065e-07;-8.5097e-06;-6.7226e-06;0.0049956;0.0017392;0.0061272;0.012454
0.81;-5.344e-07;-1.1853e-06;-7.012e-06;-5.4222e-06;-0.0032504;0.0064856;0.0057463;0.010197
0.815;1.9318e-07;-1.4495e-06;-5.3465e-06;-3.9082e-06;-0.0087814;0.0087639;0.007673;0.0069032
0.82;6.9484e-07;-1.5136e-06;-3.4793e-06;-2.28e-06;-0.0093183;0.0072668;0.0084717;0.0022273
0.825;1.0092e-06;-1.4464e-06;-1.4225e-06;-6.6338e-07;-0.0056863;0.0032388;0.0067165;-0.0031409
0.83;1.2389e-06;-1.3467e-06;7.6761e-07;8.0592e-07;-0.0010775;-0.00064144;0.003942;-0.0086483
0.835;1.4719e-06;-1.2724e-06;3.0361e-06;2.0015e-06;0.0013529;-0.0014066;0.0023202;-0.013257
0.84;1.7341e-06;-1.2e-06;5.3678e-06;2.8296e-06;0.0010013;0.0012289;0.0027309;-0.01615
0.845;2.0047e-06;-1.0541e-06;7.7847e-06;3.2474e-06;-0.00033725;0.004667;0.004079;-0.016685
0.85;2.2586e-06;-7.7409e-07;1.0299e-05;3.2795e-06;-0.00099632;0.0060684;0.0037284;-0.014196
0.855;2.4896e-06;-3.6483e-07;1.2856e-05;3.0186e-06;-0.0008451;0.0042898;-0.00029294;-0.0092418
0.86;2.7077e-06;1.0428e-07;1.5323e-05;2.5952e-06;-0.00018737;0.00050414;-0.006871;-0.0037631
0.865;2.9346e-06;5.3513e-07;1.7545e-05;2.1191e-06;0.00089034;-0.0035656;-0.012807;-0.00043967
0.87;3.1975e-06;8.3624e-07;1.9408e-05;1.627e-06;0.0019899;-0.0068207;-0.015874;-0.00081672
0.875;3.5117e-06;9.5024e-07;2.0871e-05;1.0815e-06;0.0021237;-0.0081591;-0.01618;-0.0034454
0.88;3.8609e-06;8.7174e-07;2.1944e-05;4.2318e-07;0.00068093;-0.0072521;-0.014943;-0.0055924
0.885;4.1994e-06;6.3775e-07;2.2669e-05;-3.7778e-07;-0.0015357;-0.0051895;-0.012954;-0.0058286
0.89;4.4865e-06;3.0294e-07;2.3103e-05;-1.2978e-06;-0.0025833;-0.0028765;-0.010316;-0.0037113
0.895;4.7322e-06;-8.26e-08;2.3322e-05;-2.264e-06;-0.00074357;-0.0011762;-0.0069452;1.5151e-05
0.9;5.0092e-06;-5.0095e-07;2.3407e-05;-3.1924e-06;0.0032344;-0.0014361;-0.0037039;0.0030191
0.905;5.4026e-06;-9.8113e-07;2.3423e-05;-4.0435e-06;0.0060913;-0.0035036;-0.0018581;0.0031784
0.91;5.9279e-06;-1.5689e-06;2.3394e-05;-4.857e-06;0.0044955;-0.005111;-0.0016925;-0.00014593
0.915;6.4791e-06;-2.264e-06;2.331e-05;-5.7409e-06;-0.0024074;-0.0034952;-0.0027012;-0.0054908
0.92;6.8565e-06;-2.9849e-06;2.3141e-05;-6.8236e-06;-0.011487;0.0014089;-0.0040846;-0.01041
0.925;6.8673e-06;-3.6074e-06;2.2851e-05;-8.1968e-06;-0.017863;0.0064764;-0.0056551;-0.012855
0.93;6.4263e-06;-4.0375e-06;2.2393e-05;-9.8706e-06;-0.018322;0.0089379;-0.0077381;-0.011208
