T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;2.2356e-08;8.921e-08;2.1659e-08;9.2657e-08;0.0017737;0.0070778;0.0017184;0.0073513
0.01;7.861e-08;3.8026e-07;8.021e-08;4.1869e-07;0.00096945;0.0091505;0.0012608;0.011387
0.015;1.1974e-07;8.3035e-07;1.3737e-07;9.967e-07;-0.0021809;0.0035823;-0.0013723;0.0087816
0.02;8.232e-08;1.2946e-06;1.3474e-07;1.7314e-06;-0.0041119;-0.0024519;-0.0034158;0.0037683
0.025;-7.1164e-08;1.6249e-06;2.407e-08;2.4823e-06;-0.0051745;-0.0082659;-0.0052261;-0.0024741
0.03;-3.6002e-07;1.6906e-06;-2.4761e-07;3.1036e-06;-0.0056594;-0.012911;-0.00765;-0.0079011
0.035;-7.9608e-07;1.4132e-06;-7.5052e-07;3.4774e-06;-0.0061145;-0.014555;-0.010846;-0.011903
0.04;-1.3926e-06;8.0617e-07;-1.5669e-06;3.5315e-06;-0.0067246;-0.011837;-0.014228;-0.013689
0.045;-2.1503e-06;-1.9767e-08;-2.768e-06;3.246e-06;-0.0061781;-0.0056899;-0.016566;-0.01349
0.05;-3.038e-06;-9.0747e-07;-4.3893e-06;2.6317e-06;-0.004224;0.00075406;-0.017056;-0.012809
0.055;-3.9952e-06;-1.7237e-06;-6.4247e-06;1.7236e-06;-0.0013412;0.0049752;-0.016075;-0.01071
0.06;-4.9522e-06;-2.3915e-06;-8.8468e-06;5.8972e-07;0.0013557;0.006912;-0.014857;-0.00735
0.065;-5.8553e-06;-2.8886e-06;-1.163e-05;-7.1827e-07;0.0029681;0.0067597;-0.01405;-0.0065598
0.07;-6.6818e-06;-3.2582e-06;-1.4765e-05;-2.2251e-06;0.0031714;0.0034541;-0.014045;-0.009336
0.075;-7.4551e-06;-3.614e-06;-1.8274e-05;-4.0229e-06;0.0010892;-0.0023425;-0.015857;-0.013931
0.08;-8.2515e-06;-4.1061e-06;-2.2223e-05;-6.2499e-06;-0.0029232;-0.0085585;-0.019401;-0.02039
0.085;-9.1696e-06;-4.8707e-06;-2.6703e-05;-9.0911e-06;-0.0068215;-0.013259;-0.023071;-0.028749
0.09;-1.0277e-05;-5.9902e-06;-3.1777e-05;-1.2762e-05;-0.0083648;-0.015147;-0.024418;-0.037586
0.095;-1.1569e-05;-7.4666e-06;-3.7427e-05;-1.745e-05;-0.0063362;-0.013431;-0.021758;-0.043832
0.1;-1.2958e-05;-9.208e-06;-4.3544e-05;-2.322e-05;-0.0015579;-0.0077768;-0.015534;-0.042819
0.105;-1.4317e-05;-1.1041e-05;-4.9942e-05;-2.9935e-05;0.004032;0.00040306;-0.007021;-0.032778
0.11;-1.5522e-05;-1.2769e-05;-5.6402e-05;-3.7276e-05;0.0083376;0.0080865;0.0021193;-0.017364
