T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;2.1733e-08;8.5769e-08;2.1612e-08;9.2794e-08;0.0017243;0.0068048;0.0017147;0.0073622
0.01;7.4216e-08;3.5654e-07;7.9945e-08;4.1895e-07;0.00076765;0.0080791;0.0012508;0.011376
0.015;1.0616e-07;7.5021e-07;1.3684e-07;9.9503e-07;-0.0024136;0.00176;-0.0013664;0.008629
0.02;5.7616e-08;1.1132e-06;1.3468e-07;1.7234e-06;-0.0040364;-0.0042238;-0.0033625;0.0035643
0.025;-9.6733e-08;1.3179e-06;2.6104e-08;2.4672e-06;-0.0044309;-0.008442;-0.0051498;-0.002327
0.03;-3.6038e-07;1.2837e-06;-2.4279e-07;3.0918e-06;-0.004315;-0.010685;-0.0076702;-0.0072216
0.035;-7.3465e-07;9.8051e-07;-7.4646e-07;3.49e-06;-0.004531;-0.010847;-0.011108;-0.010891
0.04;-1.2273e-06;4.4435e-07;-1.5709e-06;3.5912e-06;-0.004942;-0.0078075;-0.014558;-0.012885
0.045;-1.8357e-06;-2.2016e-07;-2.7837e-06;3.3611e-06;-0.0043201;-0.0024663;-0.016515;-0.013615
0.05;-2.5315e-06;-8.8652e-07;-4.4128e-06;2.7878e-06;-0.0026834;0.002327;-0.016803;-0.013846
0.055;-3.2657e-06;-1.464e-06;-6.4571e-06;1.8832e-06;-0.00039014;0.0047961;-0.01642;-0.012673
0.06;-3.9828e-06;-1.9184e-06;-8.9079e-06;6.7449e-07;0.0017664;0.0050628;-0.016087;-0.011645
0.065;-4.6429e-06;-2.267e-06;-1.1754e-05;-8.5591e-07;0.0027993;0.0034063;-0.015581;-0.014066
0.07;-5.2385e-06;-2.5716e-06;-1.4979e-05;-2.7946e-06;0.002367;0.00012705;-0.014684;-0.018596
0.075;-5.8039e-06;-2.9168e-06;-1.8564e-05;-5.2423e-06;5.7189e-05;-0.0033832;-0.01413;-0.022136
0.08;-6.4124e-06;-3.3788e-06;-2.2503e-05;-8.2694e-06;-0.003498;-0.0059662;-0.014126;-0.024219
0.085;-7.143e-06;-4.007e-06;-2.6788e-05;-1.1914e-05;-0.0062796;-0.0073337;-0.013683;-0.02519
0.09;-8.0335e-06;-4.8279e-06;-3.1384e-05;-1.619e-05;-0.006532;-0.0080908;-0.011085;-0.025313
0.095;-9.053e-06;-5.8534e-06;-3.619e-05;-2.1078e-05;-0.0037984;-0.008271;-0.0057767;-0.023649
0.1;-1.0113e-05;-7.065e-06;-4.106e-05;-2.6485e-05;0.0005356;-0.0066364;0.00058719;-0.017928
0.105;-1.1112e-05;-8.3898e-06;-4.584e-05;-3.2226e-05;0.0043584;-0.0024255;0.006687;-0.0088345
0.11;-1.1981e-05;-9.705e-06;-5.0384e-05;-3.8083e-05;0.0060945;0.0031826;0.01217;-0.00032799
0.115;-1.2704e-05;-1.0884e-05;-5.4568e-05;-4.3878e-05;0.0055511;0.0077034;0.016685;0.005186
0.12;-1.3304e-05;-1.1856e-05;-5.8291e-05;-4.9514e-05;0.00431;0.0088892;0.020106;0.0076463
0.125;-1.3803e-05;-1.2641e-05;-6.1486e-05;-5.4956e-05;0.0037691;0.0061171;0.022253;0.0078029
0.13;-1.4206e-05;-1.3337e-05;-6.4108e-05;-6.0209e-05;0.0038906;0.0010339;0.023484;0.0073989
0.135;-1.4508e-05;-1.4061e-05;-6.6124e-05;-6.526e-05;0.0042416;-0.0033449;0.025103;0.0086648
0.14;-1.4696e-05;-1.4878e-05;-6.7478e-05;-7.0034e-05;0.0047804;-0.0040572;0.027717;0.01351
0.145;-1.4753e-05;-1.5743e-05;-6.81e-05;-7.436e-05;0.0057817;0.00011927;0.030914;0.022338
0.15;-1.465e-05;-1.6511e-05;-6.7912e-05;-7.7995e-05;0.0069953;0.0076953;0.033959;0.032948
0.155;-1.4362e-05;-1.6993e-05;-6.6847e-05;-8.0695e-05;0.0077744;0.015144;0.036124;0.041791
0.16;-1.3877e-05;-1.7051e-05;-6.4869e-05;-8.2289e-05;0.0079949;0.018796;0.036912;0.046756
0.165;-1.3194e-05;-1.6665e-05;-6.198e-05;-8.2698e-05;0.0079107;0.016807;0.035994;0.048069
0.17;-1.2312e-05;-1.5944e-05;-5.8216e-05;-8.1924e-05;0.0079576;0.0099597;0.033997;0.046592
0.175;-1.1233e-05;-1.5082e-05;-5.3628e-05;-8.0029e-05;0.0078103;0.0013215;0.031949;0.04309
0.18;-9.9717e-06;-1.4268e-05;-4.8263e-05;-7.7107e-05;0.0067416;-0.0051179;0.030213;0.03903
0.185;-8.5617e-06;-1.3596e-05;-4.2161e-05;-7.3243e-05;0.0051961;-0.0063526;0.028713;0.036321
0.19;-7.0339e-06;-1.303e-05;-3.5361e-05;-6.848e-05;0.0042134;-0.0021067;0.027146;0.035595
0.195;-5.3943e-06;-1.2427e-05;-2.79e-05;-6.2828e-05;0.0047218;0.0050664;0.025763;0.035585
0.2;-3.6072e-06;-1.1611e-05;-1.9801e-05;-5.6292e-05;0.0070763;0.011987;0.025247;0.035089
0.205;-1.6063e-06;-1.0437e-05;-1.1072e-05;-4.8887e-05;0.010023;0.01663;0.02515;0.034428
0.21;6.6133e-07;-8.8293e-06;-1.7255e-06;-4.0627e-05;0.011327;0.018098;0.024231;0.033995
0.215;3.1872e-06;-6.7947e-06;8.1946e-06;-3.1537e-05;0.0093482;0.016073;0.021693;0.032356
0.22;5.8781e-06;-4.423e-06;1.86e-05;-2.1705e-05;0.0038762;0.010912;0.017099;0.027095
0.225;8.5751e-06;-1.8628e-06;2.9349e-05;-1.1314e-05;-0.0033839;0.0041737;0.010472;0.017651
0.23;1.1105e-05;7.2071e-07;4.0255e-05;-6.2768e-07;-0.010017;-0.0023129;0.0020346;0.0059246
0.235;1.3332e-05;3.1789e-06;5.109e-05;1.0065e-05;-0.014206;-0.0077165;-0.007646;-0.0053693
0.24;1.5195e-05;5.3961e-06;6.1615e-05;2.052e-05;-0.014951;-0.011583;-0.017179;-0.013733
0.245;1.6712e-05;7.3028e-06;7.1607e-05;3.058e-05;-0.012687;-0.01326;-0.025512;-0.017841
0.25;1.7958e-05;8.8954e-06;8.0871e-05;4.0192e-05;-0.0090369;-0.011884;-0.032676;-0.017989
0.255;1.9021e-05;1.0253e-05;8.9239e-05;4.9381e-05;-0.0055992;-0.0069649;-0.039064;-0.015888
0.26;1.9975e-05;1.1525e-05;9.6558e-05;5.819e-05;-0.0031056;0.00016937;-0.044825;-0.014522
0.265;2.0865e-05;1.2878e-05;0.00010269;6.6606e-05;-0.0020426;0.0062511;-0.050513;-0.016898
0.27;2.1689e-05;1.4405e-05;0.00010747;7.4507e-05;-0.0031589;0.0077822;-0.05719;-0.024243
0.275;2.2391e-05;1.607e-05;0.00011072;8.1664e-05;-0.0066734;0.0032065;-0.065058;-0.035265
0.28;2.286e-05;1.7696e-05;0.00011225;8.7792e-05;-0.011857;-0.0062593;-0.072907;-0.047099
0.285;2.2967e-05;1.903e-05;0.00011188;9.2624e-05;-0.017208;-0.017062;-0.078799;-0.056569
