T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;2.5702e-08;8.9554e-08;2.2323e-08;9.0659e-08;0.0020392;0.0071051;0.0017711;0.0071928
0.01;9.4201e-08;3.8049e-07;8.5475e-08;4.0504e-07;0.0014181;0.009088;0.0015219;0.010775
0.015;1.4338e-07;8.1763e-07;1.5754e-07;9.5657e-07;-0.0029547;0.002623;-0.00080958;0.0082006
0.02;7.6833e-08;1.2307e-06;1.8322e-07;1.67e-06;-0.0063178;-0.0045497;-0.0029021;0.0047515
0.025;-1.3288e-07;1.4743e-06;1.0475e-07;2.4431e-06;-0.0051638;-0.0090296;-0.0054259;4.1655e-05
0.03;-4.3381e-07;1.4677e-06;-1.4999e-07;3.1394e-06;-0.0021303;-0.010995;-0.0086728;-0.0061861
0.035;-7.9473e-07;1.1778e-06;-6.6107e-07;3.6051e-06;-0.0026416;-0.011677;-0.011837;-0.012274
0.04;-1.2586e-06;6.2012e-07;-1.5012e-06;3.7209e-06;-0.0055953;-0.0097605;-0.014488;-0.015724
0.045;-1.8841e-06;-1.2748e-07;-2.7297e-06;3.4342e-06;-0.0073382;-0.0054413;-0.016591;-0.016497
0.05;-2.6765e-06;-9.3957e-07;-4.3833e-06;2.7478e-06;-0.0060361;0.00027626;-0.01742;-0.015478
0.055;-3.566e-06;-1.6827e-06;-6.4581e-06;1.7169e-06;-0.0017446;0.0052473;-0.01629;-0.012101
0.06;-4.4445e-06;-2.2748e-06;-8.9139e-06;4.3894e-07;0.0026284;0.0068621;-0.014187;-0.0076664
0.065;-5.2257e-06;-2.7124e-06;-1.1702e-05;-1.013e-06;0.0051663;0.0055039;-0.012412;-0.0062271
0.07;-5.8831e-06;-3.0506e-06;-1.4798e-05;-2.6613e-06;0.0047583;0.0024613;-0.01221;-0.0094553
0.075;-6.4677e-06;-3.3698e-06;-1.8235e-05;-4.6301e-06;0.0010798;-0.00094811;-0.015016;-0.016174
0.08;-7.0777e-06;-3.7558e-06;-2.2109e-05;-7.119e-06;-0.0031146;-0.0043951;-0.019968;-0.025412
0.085;-7.8073e-06;-4.3105e-06;-2.6538e-05;-1.0357e-05;-0.0064555;-0.0090904;-0.024439;-0.03453
0.09;-8.7277e-06;-5.1592e-06;-3.1593e-05;-1.4512e-05;-0.0088181;-0.014427;-0.025663;-0.038852
0.095;-9.8665e-06;-6.398e-06;-3.7246e-05;-1.9603e-05;-0.0086713;-0.01681;-0.022131;-0.03611
0.1;-1.1176e-05;-8.0064e-06;-4.3359e-05;-2.549e-05;-0.0049936;-0.012794;-0.014746;-0.027522
0.105;-1.2522e-05;-9.8056e-06;-4.972e-05;-3.1908e-05;0.0020489;-0.0024964;-0.0051261;-0.015079
0.11;-1.3722e-05;-1.1517e-05;-5.6087e-05;-3.8535e-05;0.0096038;0.0095604;0.0046914;-0.0015304
0.115;-1.4633e-05;-1.2887e-05;-6.2238e-05;-4.5067e-05;0.013577;0.017746;0.012602;0.0091363
0.12;-1.5216e-05;-1.38e-05;-6.8003e-05;-5.1306e-05;0.01268;0.018835;0.018201;0.014247
0.125;-1.5537e-05;-1.4312e-05;-7.3273e-05;-5.7192e-05;0.0083251;0.013239;0.021553;0.014088
0.13;-1.5717e-05;-1.4605e-05;-7.7996e-05;-6.2771e-05;0.0029295;0.0043513;0.022093;0.010504
0.135;-1.5881e-05;-1.4898e-05;-8.2191e-05;-6.8142e-05;-0.0016443;-0.0043819;0.02022;0.0060748
0.14;-1.6132e-05;-1.5384e-05;-8.5911e-05;-7.3381e-05;-0.0053216;-0.011038;0.017804;0.004502
0.145;-1.655e-05;-1.6186e-05;-8.9194e-05;-7.8459e-05;-0.0081028;-0.014271;0.017107;0.0083706
0.15;-1.7178e-05;-1.7318e-05;-9.2021e-05;-8.322e-05;-0.0086415;-0.012197;0.019316;0.016898
0.155;-1.7983e-05;-1.8646e-05;-9.4303e-05;-8.7422e-05;-0.0055225;-0.0034466;0.024314;0.027853
0.16;-1.8837e-05;-1.9887e-05;-9.5892e-05;-9.0782e-05;0.0015397;0.010364;0.031149;0.039521
0.165;-1.9533e-05;-2.0699e-05;-9.6616e-05;-9.3026e-05;0.011028;0.023904;0.038033;0.049772
0.17;-1.9847e-05;-2.0832e-05;-9.632e-05;-9.3949e-05;0.019659;0.030534;0.043574;0.055918
0.175;-1.9622e-05;-2.0247e-05;-9.4892e-05;-9.3465e-05;0.023473;0.02689;0.046989;0.056624
0.18;-1.884e-05;-1.9134e-05;-9.2285e-05;-9.1621e-05;0.021057;0.015451;0.047327;0.052241
0.185;-1.761e-05;-1.7795e-05;-8.8537e-05;-8.8573e-05;0.014866;0.0025843;0.043987;0.044104
0.19;-1.6095e-05;-1.6501e-05;-8.3771e-05;-8.4541e-05;0.0078663;-0.0061605;0.037498;0.03464
0.195;-1.4459e-05;-1.54e-05;-7.816e-05;-7.9742e-05;0.0018136;-0.0093899;0.030099;0.026657
0.2;-1.2824e-05;-1.4523e-05;-7.1862e-05;-7.4334e-05;-0.0018811;-0.0084641;0.024812;0.02213
0.205;-1.1244e-05;-1.3803e-05;-6.4961e-05;-6.8372e-05;-0.0025082;-0.0041378;0.023432;0.022036
0.21;-9.6947e-06;-1.3086e-05;-5.7439e-05;-6.1806e-05;-1.9889e-05;0.0038452;0.026184;0.026373
0.215;-8.0784e-06;-1.2142e-05;-4.919e-05;-5.4493e-05;0.005389;0.014294;0.032018;0.033357
0.22;-6.2432e-06;-1.0728e-05;-4.0057e-05;-4.627e-05;0.012126;0.023374;0.0387;0.039409
0.225;-4.0442e-06;-8.6877e-06;-2.989e-05;-3.704e-05;0.016987;0.026754;0.043973;0.04117
0.23;-1.4236e-06;-6.0347e-06;-1.8603e-05;-2.6835e-05;0.016779;0.022291;0.045696;0.036892
