T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;-3.4942e-09;-2.7691e-09;-3.8612e-09;-2.9724e-09;-0.00027723;-0.0002197;-0.00030634;-0.00023583
0.01;-1.0419e-08;-4.8208e-09;-1.2691e-08;-5.6654e-09;-3.3542e-06;0.00026996;-9.7159e-05;0.00025086
0.015;-9.0921e-09;5.7756e-09;-1.5567e-08;5.0977e-09;0.0006643;0.00074676;0.00057364;0.00082975
0.02;1.0884e-08;3.5045e-08;5.6752e-10;4.0036e-08;0.00083127;0.0007478;0.00094956;0.001104
0.025;4.7007e-08;8.0473e-08;4.1045e-08;1.0554e-07;0.00046247;0.00054608;0.00099901;0.0013421
0.03;8.6428e-08;1.2866e-07;1.0314e-07;1.9817e-07;-0.00019748;-0.00032074;0.0007321;0.00083303
0.035;1.1289e-07;1.5681e-07;1.7651e-07;2.9917e-07;-0.0008404;-0.0012843;0.0001718;-0.00016265
0.04;1.1556e-07;1.5169e-07;2.4664e-07;3.8802e-07;-0.0010653;-0.0013829;-0.00043241;-0.00081246
0.045;9.6703e-08;1.211e-07;3.0289e-07;4.5569e-07;-0.00066053;-0.00065784;-0.00067987;-0.00088484
0.05;7.106e-08;8.6235e-08;3.4588e-07;5.0766e-07;0.00011681;0.00031556;-0.00038464;-0.00037459
0.055;5.3458e-08;6.8523e-08;3.841e-07;5.6081e-07;0.00053014;0.0010588;4.8854e-06;0.0004686
0.06;4.3468e-08;7.9168e-08;4.2053e-07;6.3264e-07;8.3558e-05;0.0012133;-0.00014463;0.0010293
0.065;2.5131e-08;1.1209e-07;4.4353e-07;7.2488e-07;-0.00075134;0.00057323;-0.00092622;0.00060885
0.07;-1.1763e-08;1.5122e-07;4.3528e-07;8.1969e-07;-0.00074019;-7.9137e-05;-0.0015781;-0.00040201
0.075;-5.2413e-08;1.8781e-07;3.9067e-07;8.9668e-07;0.00043467;-0.00012767;-0.0013353;-0.0010271
0.08;-6.7928e-08;2.2015e-07;3.2244e-07;9.4521e-07;0.0015797;-0.00020971;-0.00055493;-0.0012512
