T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;-3.5593e-09;-2.8428e-09;-3.8279e-09;-3.0178e-09;-0.00028239;-0.00022554;-0.0003037;-0.00023943
0.01;-1.0543e-08;-4.9833e-09;-1.2418e-08;-6.0109e-09;2.1299e-06;0.00027443;-8.3332e-05;0.00023413
0.015;-8.8577e-09;6.0979e-09;-1.4544e-08;3.8942e-09;0.00069224;0.00078805;0.00060065;0.00080179
0.02;1.1919e-08;3.7641e-08;2.6895e-09;3.7562e-08;0.00083905;0.00084953;0.00095074;0.0010987
0.025;4.9186e-08;8.8608e-08;4.3412e-08;1.0208e-07;0.00048166;0.00070562;0.00092976;0.0013701
0.03;9.1525e-08;1.4574e-07;1.0397e-07;1.9426e-07;-7.5224e-05;-0.00020661;0.00065785;0.00084888
0.035;1.2495e-07;1.8437e-07;1.7562e-07;2.9489e-07;-0.00063829;-0.0012766;0.00023058;-0.00017325
0.04;1.3777e-07;1.8769e-07;2.4749e-07;3.8319e-07;-0.0010115;-0.0015528;-0.00021294;-0.00081539
0.045;1.2663e-07;1.5932e-07;3.1044e-07;4.4994e-07;-0.00090797;-0.0009859;-0.00050267;-0.00091162
0.05;1.0045e-07;1.194e-07;3.6044e-07;4.9891e-07;-0.0002981;6.0486e-05;-0.00053377;-0.00051334
0.055;7.3655e-08;9.359e-08;3.9692e-07;5.4482e-07;0.00025106;0.0010694;-0.00054756;0.00026688
0.06;5.2313e-08;9.9794e-08;4.1639e-07;6.0696e-07;0.00018907;0.0014957;-0.0008115;0.0010333
0.065;2.9254e-08;1.3676e-07;4.1185e-07;6.9696e-07;-0.0003252;0.0009707;-0.0011108;0.0011993
0.07;-3.7974e-09;1.8663e-07;3.8432e-07;8.1415e-07;-0.00047807;6.0487e-05;-0.00073254;0.00097572
0.075;-4.0015e-08;2.3323e-07;3.5305e-07;9.5534e-07;0.00022028;-0.00032551;0.00042999;0.00094286
0.08;-5.8344e-08;2.6983e-07;3.4494e-07;1.1173e-06;0.0012114;-0.00047351;0.0014255;0.00072482
0.085;-4.4923e-08;2.9096e-07;3.6897e-07;1.2876e-06;0.0013355;-0.00076359;0.0011546;-6.3742e-05
0.09;-1.0374e-08;2.9459e-07;4.0413e-07;1.4467e-06;0.00035927;-0.00064069;-0.00025997;-0.00082546
0.095;1.6239e-08;2.8946e-07;4.1267e-07;1.5803e-06;-0.00099401;-6.115e-05;-0.0018708;-0.0012232
0.1;9.0228e-09;2.916e-07;3.6312e-07;1.6846e-06;-0.0017177;0.00064304;-0.0027817;-0.0011125
0.105;-3.2034e-08;3.179e-07;2.4933e-07;1.7718e-06;-0.0009981;0.0012896;-0.0023647;-0.00026789
0.11;-7.9979e-08;3.7554e-07;9.1955e-08;1.8644e-06;0.00044674;0.0012231;-0.0011244;0.00069846
0.115;-1.0452e-07;4.5468e-07;-7.6334e-08;1.9843e-06;0.0014299;0.00049905;0.0002515;0.0014881
0.12;-9.364e-08;5.3922e-07;-2.2512e-07;2.149e-06;0.001409;-6.9306e-05;0.001311;0.0020991
0.125;-5.8365e-08;6.195e-07;-3.3722e-07;2.3679e-06;0.00054615;-0.00027308;0.0016291;0.0022384
0.13;-2.1471e-08;6.8865e-07;-4.1226e-07;2.6334e-06;-0.00041793;-0.00061567;0.0013371;0.0014968
0.135;-1.9435e-10;7.3513e-07;-4.622e-07;2.9171e-06;-0.00083516;-0.001197;0.00067279;-3.8394e-05
0.14;3.666e-09;7.5206e-07;-5.0424e-07;3.1828e-06;-0.00056145;-0.0011725;-4.153e-05;-0.0014043
0.145;-1.2544e-09;7.5032e-07;-5.5097e-07;3.4091e-06;-0.00014004;-0.00032425;-0.00033713;-0.0017525
0.15;-7.1924e-09;7.5511e-07;-6.0355e-07;3.6002e-06;5.983e-05;0.00084585;-0.00013318;-0.0010684
0.155;-8.4027e-09;7.9073e-07;-6.5111e-07;3.7812e-06;0.00031711;0.0016244;0.00053319;0.00025908
0.16;2.0982e-09;8.6468e-07;-6.7606e-07;3.9853e-06;0.00062025;0.0014478;0.0012767;0.0015875
0.165;2.3976e-08;9.56e-07;-6.6786e-07;4.2334e-06;0.00029478;-5.158e-05;0.0013789;0.0019343
0.17;4.1222e-08;1.0244e-06;-6.3203e-07;4.5201e-06;-0.00066324;-0.0017831;0.00083478;0.001166
0.175;3.2312e-08;1.0401e-06;-5.812e-07;4.8216e-06;-0.0014322;-0.0024424;0.00036249;1.5954e-05
0.18;-8.791e-09;1.0014e-06;-5.1942e-07;5.1086e-06;-0.00115;-0.0019109;0.00051039;-0.0011754
0.185;-6.2039e-08;9.332e-07;-4.3841e-07;5.3561e-06;0.00017424;-0.00045849;0.0010265;-0.0019901
0.19;-9.5884e-08;8.7041e-07;-3.3121e-07;5.5454e-06;0.0013817;0.00089764;0.001074;-0.00266
0.195;-9.237e-08;8.3753e-07;-2.0129e-07;5.6634e-06;0.0016128;0.0014985;0.00074285;-0.0030533
0.2;-5.3766e-08;8.4406e-07;-5.3112e-08;5.7111e-06;0.001196;0.0016562;0.00071577;-0.0025707
0.205;4.4635e-09;8.8364e-07;1.1187e-07;5.7051e-06;0.00037627;0.00099339;0.00063029;-0.0017263
0.21;6.1777e-08;9.2682e-07;2.847e-07;5.6604e-06;-0.00045096;-0.00070081;1.4471e-06;-0.0013667
0.215;1.0405e-07;9.285e-07;4.4855e-07;5.5764e-06;-0.00075567;-0.0026207;-0.00072194;-0.0017683
0.22;1.2909e-07;8.608e-07;5.9347e-07;5.4433e-06;-0.00062454;-0.0029417;-0.00079619;-0.00217
0.225;1.4315e-07;7.3988e-07;7.2632e-07;5.2555e-06;-0.00025473;-0.001324;-0.00017311;-0.0022011
0.23;1.5355e-07;6.1172e-07;8.5976e-07;5.0103e-06;-3.5818e-05;0.00074594;0.00022431;-0.0023922
0.235;1.5942e-07;5.2463e-07;9.8963e-07;4.7068e-06;-0.00032436;0.0025416;-0.00050251;-0.0022818
0.24;1.4897e-07;5.1345e-07;1.0852e-06;4.3561e-06;-0.00097975;0.0035366;-0.0022359;-0.0014862
0.245;1.1271e-07;5.8907e-07;1.1106e-06;3.985e-06;-0.0010902;0.0034135;-0.0033891;-0.00015385
0.25;6.2774e-08;7.3733e-07;1.0642e-06;3.6311e-06;-9.959e-06;0.0024003;-0.0023649;0.0015258
0.255;3.6486e-08;9.2197e-07;9.9878e-07;3.3321e-06;0.0018988;0.0005163;0.0008305;0.0028793
0.26;7.5318e-08;1.0922e-06;9.9632e-07;3.1134e-06;0.0033166;-0.0016723;0.0042136;0.0035393
0.265;1.865e-07;1.2022e-06;1.107e-06;2.9828e-06;0.002486;-0.0031472;0.0048598;0.003518
0.27;3.2351e-07;1.2297e-06;1.3044e-06;2.9288e-06;-0.00041228;-0.0034629;0.0020846;0.0026095
0.275;4.1113e-07;1.1802e-06;1.4982e-06;2.9193e-06;-0.0035415;-0.0027032;-0.0023587;0.00095792
0.28;3.9059e-07;1.0786e-06;1.5856e-06;2.9115e-06;-0.0051225;-0.0014614;-0.0061659;-0.00083165
0.285;2.5449e-07;9.553e-07;1.5011e-06;2.8707e-06;-0.0041367;-0.00027295;-0.007605;-0.0018067
0.29;4.9751e-08;8.3936e-07;1.2393e-06;2.7939e-06;-0.0013596;0.00085958;-0.0065843;-0.0010843
0.295;-1.5293e-07;7.5221e-07;8.4804e-07;2.7134e-06;0.0015272;0.0014477;-0.0037805;0.00078501
0.3;-2.9655e-07;6.9895e-07;4.0899e-07;2.6781e-06;0.0032056;0.0012675;-4.6119e-05;0.0028348
0.305;-3.5566e-07;6.6861e-07;1.3371e-08;2.7327e-06;0.0035605;0.00056794;0.0035242;0.0043607
0.31;-3.2785e-07;6.3793e-07;-2.6605e-07;2.8973e-06;0.0033942;-0.00059267;0.0057799;0.0044427
0.315;-2.2184e-07;5.8219e-07;-4.011e-07;3.1552e-06;0.0028637;-0.0014159;0.0057835;0.0030316
0.32;-5.5792e-08;4.9033e-07;-4.1159e-07;3.454e-06;0.0019415;-0.0014783;0.0041858;0.00024946
0.325;1.4415e-07;3.6767e-07;-3.3726e-07;3.7112e-06;0.00077081;-0.0009869;0.0025958;-0.0035789
0.33;3.4284e-07;2.2875e-07;-2.1263e-07;3.8314e-06;-0.00086766;-0.00031471;0.0014274;-0.0073824
0.335;4.9955e-07;8.7082e-08;-6.6109e-08;3.7371e-06;-0.0024927;9.7184e-05;0.00032462;-0.0097853
0.34;5.8473e-07;-4.9418e-08;7.0048e-08;3.4001e-06;-0.0032358;0.00031647;-0.0011512;-0.009645
0.345;5.8727e-07;-1.8265e-07;1.4944e-07;2.8467e-06;-0.003377;-5.0455e-05;-0.0033859;-0.0076721
0.35;5.0337e-07;-3.2421e-07;1.1845e-07;2.1355e-06;-0.0035365;-0.00061715;-0.0054487;-0.0049574
0.355;3.353e-07;-4.7746e-07;-4.2597e-08;1.3372e-06;-0.0032025;-0.00032411;-0.0049738;-0.0020094
0.36;1.1141e-07;-6.2553e-07;-2.7245e-07;5.1725e-07;-0.0012726;0.00073676;-0.0005517;0.00028469
0.365;-1.0748e-07;-7.354e-07;-4.4002e-07;-2.774e-07;0.0016704;0.0023154;0.0055345;0.0017412
0.37;-2.5896e-07;-7.6596e-07;-4.2568e-07;-1.0174e-06;0.0037308;0.0040308;0.0090396;0.0026305
0.375;-3.129e-07;-6.8824e-07;-1.9908e-07;-1.6939e-06;0.0040814;0.0046406;0.0079643;0.002463
0.38;-2.815e-07;-5.1284e-07;1.6683e-07;-2.3293e-06;0.0027539;0.0031847;0.0031962;0.00082491
0.385;-2.0658e-07;-2.9196e-07;5.4533e-07;-2.9691e-06;0.00072832;0.00045722;-0.0021939;-0.0011701
0.39;-1.2715e-07;-9.5092e-08;8.3364e-07;-3.6515e-06;-0.00037617;-0.0023797;-0.0050396;-0.0022543
0.395;-5.6308e-08;1.197e-08;9.961e-07;-4.3892e-06;-0.00031476;-0.0048074;-0.0050396;-0.0021689
0.4;7.5173e-09;-1.8079e-08;1.044e-06;-5.1661e-06;-0.00024384;-0.0061686;-0.0041217;-0.00097146
0.405;5.018e-08;-1.9954e-07;9.8815e-07;-5.9432e-06;-0.0014405;-0.0059523;-0.004178;0.00095036
0.41;2.9443e-08;-5.0839e-07;8.1327e-07;-6.6727e-06;-0.0036288;-0.0042462;-0.0053364;0.0028633
0.415;-9.6507e-08;-8.9496e-07;4.9631e-07;-7.3193e-06;-0.0047985;-0.0019716;-0.0060362;0.0037719
0.42;-3.2144e-07;-1.3079e-06;4.5601e-08;-7.8794e-06;-0.003137;-0.00013267;-0.0046767;0.0031581
0.425;-5.6557e-07;-1.7154e-06;-4.7135e-07;-8.3862e-06;0.0015869;0.00057635;-0.0006363;0.0011063
