T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;-3.5782e-09;-2.7563e-09;-3.8735e-09;-2.9872e-09;-0.00028389;-0.00021868;-0.00030732;-0.000237
0.01;-1.0944e-08;-4.6634e-09;-1.2743e-08;-5.7016e-09;-2.5187e-05;0.00027943;-9.8399e-05;0.00025145
0.015;-1.0634e-08;6.6471e-09;-1.5589e-08;5.2269e-09;0.0006399;0.00078272;0.00058042;0.00084402
0.02;8.31e-09;3.8181e-08;1.0178e-09;4.0801e-08;0.00085412;0.00083574;0.00097806;0.0011275
0.025;4.4809e-08;8.8292e-08;4.3129e-08;1.0719e-07;0.00055238;0.000652;0.0010634;0.0013385
0.03;8.7755e-08;1.4375e-07;1.0898e-07;2.0053e-07;-3.5584e-05;-0.00021951;0.00083752;0.00082322
0.035;1.2181e-07;1.8098e-07;1.8901e-07;3.0252e-07;-0.00067638;-0.0012408;0.00029878;-0.00013146
0.04;1.3367e-07;1.8374e-07;2.6853e-07;3.9252e-07;-0.0010998;-0.0015214;-0.00034074;-0.00082952
0.045;1.2006e-07;1.5565e-07;3.3475e-07;4.5699e-07;-0.00094221;-0.00095077;-0.00072445;-0.0012144
0.05;9.2256e-08;1.1662e-07;3.8345e-07;4.9053e-07;-0.00019594;7.5089e-05;-0.00067922;-0.0012618
0.055;6.7909e-08;9.1625e-08;4.1603e-07;4.9618e-07;0.00047499;0.0010483;-0.00061027;-0.00097153
0.06;5.4291e-08;9.8204e-08;4.2805e-07;4.8259e-07;0.00038813;0.0014816;-0.0010304;-0.00056718
0.065;4.1311e-08;1.3622e-07;4.0447e-07;4.5736e-07;-0.00033495;0.0010381;-0.0018161;-0.00036253
0.07;1.5563e-08;1.8971e-07;3.322e-07;4.2643e-07;-0.00069103;0.00020026;-0.0020852;-9.4476e-05
0.075;-1.8049e-08;2.4124e-07;2.1898e-07;4.0135e-07;5.5793e-05;-0.00036034;-0.0011964;0.00055952
0.08;-3.5904e-08;2.7815e-07;9.3353e-08;3.9451e-07;0.0012055;-0.00080777;0.00020375;0.00090432
0.085;-2.1811e-08;2.8741e-07;-1.8278e-08;4.066e-07;0.0013581;-0.0014034;0.00092164;0.00061201
0.09;1.2806e-08;2.5984e-07;-1.0969e-07;4.2962e-07;0.00028889;-0.0015477;0.00069959;0.0002619
0.095;3.6815e-08;2.0052e-07;-1.9168e-07;4.5511e-07;-0.0011379;-0.0009952;5.5276e-05;-6.4332e-05
0.1;2.2677e-08;1.3034e-07;-2.7703e-07;4.7551e-07;-0.0019191;0.00012293;-0.00032652;-0.00034333
0.105;-3.3405e-08;8.1493e-08;-3.6498e-07;4.892e-07;-0.0014435;0.0015838;0.00011284;-0.00019673
0.11;-1.1195e-07;8.21e-08;-4.4145e-07;5.0095e-07;-0.00035386;0.0023785;0.00080759;4.3115e-05
0.115;-1.875e-07;1.3924e-07;-4.9398e-07;5.1637e-07;0.00059518;0.0021481;0.0011094;0.00024977
0.12;-2.4129e-07;2.404e-07;-5.1956e-07;5.4366e-07;0.001147;0.0013755;0.001048;0.00069808
0.125;-2.6734e-07;3.6183e-07;-5.2392e-07;5.9517e-07;0.0010766;0.00024852;0.0006519;0.00124
0.13;-2.7167e-07;4.6877e-07;-5.1875e-07;6.7791e-07;0.0006611;-0.0014057;0.00011077;0.0012622
0.135;-2.6308e-07;5.1954e-07;-5.1717e-07;7.8253e-07;0.00037152;-0.0030888;-0.00039919;0.00049243
0.14;-2.4377e-07;4.8928e-07;-5.2794e-07;8.8838e-07;0.00048356;-0.0034045;-0.00059027;-0.00039577
0.145;-2.0844e-07;3.9333e-07;-5.4857e-07;9.7876e-07;0.00079803;-0.0018593;-0.00020223;-0.0008447
0.15;-1.5374e-07;2.8249e-07;-5.6534e-07;1.0471e-06;0.00075441;0.00066529;0.00050982;-0.00091571
0.155;-8.6501e-08;2.1603e-07;-5.605e-07;1.0936e-06;0.00025052;0.0028898;0.0012207;-0.00084302
0.16;-2.2606e-08;2.3257e-07;-5.1967e-07;1.1195e-06;-0.00051706;0.0037579;0.00166;-0.00079223
0.165;1.7482e-08;3.278e-07;-4.3843e-07;1.1217e-06;-0.0013872;0.0025502;0.0015758;-0.0011107
0.17;1.7674e-08;4.561e-07;-3.2309e-07;1.0923e-06;-0.0018083;9.6721e-05;0.0011529;-0.0014087
0.175;-1.8882e-08;5.6113e-07;-1.8312e-07;1.033e-06;-0.001138;-0.0019623;0.00081646;-0.0009987
0.18;-6.232e-08;6.0399e-07;-2.3013e-08;9.592e-07;0.00058304;-0.0030167;0.00079224;-0.00015526
0.185;-6.9199e-08;5.7236e-07;1.5788e-07;8.9248e-07;0.0023443;-0.0029486;0.00087168;0.00072019
0.19;-1.2532e-08;4.7497e-07;3.5524e-07;8.4503e-07;0.0027489;-0.0023132;0.00044885;0.00082743
0.195;1.0017e-07;3.3279e-07;5.5403e-07;8.0851e-07;0.0017397;-0.0012725;-0.00033374;5.0491e-05
0.2;2.3968e-07;1.7839e-07;7.3956e-07;7.616e-07;0.00040319;0.00029254;-0.00073002;-0.00088258
0.205;3.7412e-07;4.7122e-08;9.0589e-07;6.7971e-07;-0.0008081;0.0015619;-0.0008073;-0.0019143
0.21;4.7662e-07;-4.1817e-08;1.0511e-06;5.3668e-07;-0.0017501;0.00183;-0.00088221;-0.0029783
0.215;5.3184e-07;-9.3564e-08;1.1747e-06;3.1105e-07;-0.0020358;0.0011495;-0.00084902;-0.0036321
0.22;5.4354e-07;-1.2375e-07;1.2812e-06;3.1969e-09;-0.0014504;0.00057164;-0.0005173;-0.0029547
