T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;1.9482e-08;7.2568e-08;2.271e-08;8.977e-08;0.0015456;0.0057574;0.0018018;0.0071223
0.01;5.9124e-08;2.8275e-07;8.6931e-08;3.9938e-07;0.00010074;0.0053355;0.0015462;0.010535
0.015;6.8376e-08;5.4914e-07;1.5624e-07;9.4327e-07;-0.0025443;-0.00084728;-0.0011374;0.0082079
0.02;1.5388e-08;7.5172e-07;1.6448e-07;1.6643e-06;-0.0024495;-0.0042742;-0.0037499;0.0059591
0.025;-9.7176e-08;8.3011e-07;5.2011e-08;2.4832e-06;-0.0023072;-0.0056671;-0.0059088;0.0018933
0.03;-2.7303e-07;7.5381e-07;-2.3371e-07;3.2492e-06;-0.0027572;-0.0067073;-0.007951;-0.0061048
0.035;-5.2068e-07;5.0501e-07;-7.5192e-07;3.759e-06;-0.0029875;-0.0070987;-0.010643;-0.014407
0.04;-8.4593e-07;1.0055e-07;-1.576e-06;3.8598e-06;-0.0032203;-0.0053674;-0.013824;-0.018341
0.045;-1.2425e-06;-3.7969e-07;-2.7802e-06;3.4681e-06;-0.0024896;-0.00070989;-0.016588;-0.021045
0.05;-1.6797e-06;-8.2233e-07;-4.4249e-06;2.4871e-06;-0.00076761;0.0037292;-0.018657;-0.026095
0.055;-2.1173e-06;-1.1646e-06;-6.544e-06;8.1481e-07;0.00073306;0.0043248;-0.019308;-0.029226
0.06;-2.529e-06;-1.3999e-06;-9.1195e-06;-1.5444e-06;0.0013556;0.0042209;-0.017218;-0.025771
0.065;-2.9065e-06;-1.5323e-06;-1.2066e-05;-4.4308e-06;0.0013732;0.0040186;-0.012456;-0.01642
0.07;-3.2558e-06;-1.5933e-06;-1.5261e-05;-7.5787e-06;0.00089465;0.0017125;-0.0074441;-0.0045096
0.075;-3.6013e-06;-1.6508e-06;-1.8602e-05;-1.0713e-05;-0.00059179;-0.0014432;-0.0042213;0.0056473
0.08;-3.984e-06;-1.8002e-06;-2.2022e-05;-1.3636e-05;-0.0023827;-0.0058941;-0.0020628;0.011176
0.085;-4.443e-06;-2.1708e-06;-2.5467e-05;-1.6283e-05;-0.0037296;-0.01179;-4.3956e-06;0.011081
0.09;-5.0033e-06;-2.8929e-06;-2.8883e-05;-1.8734e-05;-0.0043695;-0.01635;0.0023805;0.0045295
0.095;-5.6636e-06;-4.0125e-06;-3.2202e-05;-2.1203e-05;-0.0036478;-0.015487;0.0053147;-0.0059096
0.1;-6.3854e-06;-5.4128e-06;-3.5355e-05;-2.3918e-05;-0.0012762;-0.0070096;0.0080634;-0.013816
0.105;-7.0907e-06;-6.8242e-06;-3.8279e-05;-2.7002e-05;0.0025937;0.0061082;0.010209;-0.015787
0.11;-7.6821e-06;-7.9381e-06;-4.0925e-05;-3.0459e-05;0.0065204;0.017723;0.011993;-0.013964
0.115;-8.085e-06;-8.5434e-06;-4.3246e-05;-3.421e-05;0.0085657;0.022995;0.014062;-0.0096129
0.12;-8.271e-06;-8.5962e-06;-4.517e-05;-3.8085e-05;0.0087962;0.02124;0.017632;-0.0003474
0.125;-8.2408e-06;-8.1922e-06;-4.6582e-05;-4.1775e-05;0.008505;0.015313;0.023341;0.015104
0.13;-8.0039e-06;-7.497e-06;-4.7323e-05;-4.4836e-05;0.0080275;0.0079913;0.030327;0.035188
0.135;-7.5827e-06;-6.6979e-06;-4.7228e-05;-4.6752e-05;0.0067226;0.00031627;0.036618;0.056409
0.14;-7.0261e-06;-5.9796e-06;-4.6169e-05;-4.7047e-05;0.0041216;-0.006778;0.040443;0.073364
0.145;-6.4075e-06;-5.487e-06;-4.4086e-05;-4.542e-05;0.00083276;-0.011304;0.041595;0.080425
0.15;-5.8038e-06;-5.2815e-06;-4.0977e-05;-4.1859e-05;-0.0020297;-0.011685;0.040357;0.074346
0.155;-5.269e-06;-5.3238e-06;-3.6911e-05;-3.6665e-05;-0.0034838;-0.0081532;0.036298;0.056388
0.16;-4.8118e-06;-5.4874e-06;-3.2023e-05;-3.0362e-05;-0.0027408;-0.0015652;0.029462;0.032339
0.165;-4.3845e-06;-5.5756e-06;-2.6501e-05;-2.3543e-05;0.00033591;0.007587;0.021255;0.0088819
0.17;-3.8879e-06;-5.3473e-06;-2.0541e-05;-1.6735e-05;0.0051988;0.017729;0.013842;-0.0097392
0.175;-3.2035e-06;-4.5801e-06;-1.4305e-05;-1.0311e-05;0.0098417;0.025402;0.0081739;-0.021074
0.18;-2.2488e-06;-3.1575e-06;-7.9178e-06;-4.4419e-06;0.011787;0.027067;0.0038748;-0.023326
0.185;-1.0145e-06;-1.1314e-06;-1.4732e-06;9.2889e-07;0.010607;0.021258;0.00075248;-0.016589
0.19;4.4455e-07;1.2704e-06;4.9641e-06;6.0409e-06;0.0073744;0.0088217;-0.0013485;-0.0041327
0.195;2.0361e-06;3.6879e-06;1.1356e-05;1.1209e-05;0.0032294;-0.0075487;-0.0022715;0.0086536
0.2;3.6555e-06;5.7253e-06;1.7704e-05;1.6697e-05;-0.00099978;-0.02288;-0.0013029;0.016946
0.205;5.2001e-06;7.0856e-06;2.4051e-05;2.2626e-05;-0.0049915;-0.031337;0.0012857;0.018296
0.21;6.5797e-06;7.6794e-06;3.0461e-05;2.8932e-05;-0.0082147;-0.03003;0.0037151;0.012035
0.215;7.733e-06;7.633e-06;3.6961e-05;3.5361e-05;-0.0098897;-0.02122;0.0035435;-0.0022405
0.22;8.6377e-06;7.1955e-06;4.3489e-05;4.1457e-05;-0.010015;-0.010067;-0.0013656;-0.024335
0.225;9.3036e-06;6.6274e-06;4.9859e-05;4.6606e-05;-0.0090877;-0.00036336;-0.011179;-0.051441
0.23;9.7577e-06;6.1387e-06;5.5788e-05;5.0139e-05;-0.0078542;0.0067255;-0.024058;-0.0778
0.235;1.0029e-05;5.872e-06;6.0948e-05;5.1499e-05;-0.0067958;0.011046;-0.037489;-0.096131
0.24;1.0147e-05;5.8978e-06;6.5025e-05;5.0412e-05;-0.0053949;0.012372;-0.049217;-0.099714
0.245;1.0158e-05;6.2023e-06;6.776e-05;4.6999e-05;-0.0032453;0.0099439;-0.058104;-0.086396
0.25;1.0116e-05;6.6708e-06;6.8972e-05;4.1747e-05;-0.00098665;0.0032021;-0.063774;-0.060844
0.255;1.0063e-05;7.0909e-06;6.8565e-05;3.5336e-05;0.00017737;-0.0070625;-0.0658;-0.031839
0.26;1.0005e-05;7.1882e-06;6.6538e-05;2.8432e-05;-0.00063631;-0.018757;-0.063768;-0.0075654
