T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;-3.532e-09;-2.7426e-09;-3.8296e-09;-3.0643e-09;-0.00028022;-0.00021759;-0.00030383;-0.00024312
0.01;-1.0455e-08;-4.4618e-09;-1.2443e-08;-6.2938e-09;2.7233e-06;0.00029219;-8.4919e-05;0.00022265
0.015;-8.6788e-09;7.0174e-09;-1.4652e-08;3.2122e-09;0.0006939;0.00076881;0.0005974;0.0008001
0.02;1.2656e-08;3.7472e-08;2.6272e-09;3.6986e-08;0.00087457;0.00074997;0.00096424;0.0011407
0.025;5.1286e-08;8.4651e-08;4.4269e-08;1.0288e-07;0.00051112;0.00058865;0.00098594;0.0014298
0.03;9.4543e-08;1.3587e-07;1.0712e-07;1.9735e-07;-0.00013995;-0.00026024;0.00071236;0.00086294
0.035;1.2608e-07;1.6818e-07;1.8123e-07;2.9988e-07;-0.00079806;-0.0012549;0.00018955;-0.00021808
0.04;1.3384e-07;1.6743e-07;2.5337e-07;3.8907e-07;-0.0011072;-0.0013954;-0.0003481;-0.0008531
0.045;1.1691e-07;1.391e-07;3.1391e-07;4.5711e-07;-0.00087067;-0.00081243;-0.00058152;-0.00084147
0.05;8.72e-08;1.0262e-07;3.6219e-07;5.1068e-07;-0.0001535;0.00015782;-0.00040138;-0.00031901
0.055;6.0836e-08;8.1756e-08;4.0183e-07;5.6416e-07;0.00042356;0.0010928;-0.00028841;0.00031239
0.06;4.2906e-08;9.193e-08;4.2804e-07;6.2747e-07;0.00025566;0.0013947;-0.00078202;0.00047786
0.065;2.2821e-08;1.2975e-07;4.2254e-07;6.9537e-07;-0.00042683;0.00082131;-0.0017527;-0.00010665
0.07;-1.0438e-08;1.7688e-07;3.6585e-07;7.5096e-07;-0.00063197;-7.6999e-05;-0.0023473;-0.00087881
0.075;-4.7952e-08;2.1741e-07;2.5761e-07;7.8364e-07;0.0002855;-0.00045456;-0.0017834;-0.00096005
0.08;-6.3488e-08;2.4649e-07;1.217e-07;7.9675e-07;0.0014746;-0.00046196;-0.00043276;-0.00060522
0.085;-4.1841e-08;2.6342e-07;-1.2984e-08;7.9849e-07;0.0015084;-0.00050932;0.00053592;-0.00030341
0.09;2.0679e-09;2.714e-07;-1.3256e-07;7.9889e-07;0.00027751;-0.0002105;0.00067656;0.00019365
0.095;3.4374e-08;2.8048e-07;-2.3968e-07;8.1135e-07;-0.001207;0.0002993;0.00032136;0.00077159
0.1;2.9248e-08;3.0023e-07;-3.4287e-07;8.4774e-07;-0.0017942;0.00055597;-8.121e-06;0.0011443
0.105;-1.1655e-08;3.3359e-07;-4.4216e-07;9.1497e-07;-0.0010745;0.00053375;0.00031527;0.0013236
0.11;-6.7284e-08;3.723e-07;-5.2559e-07;1.01e-06;-0.00010142;-0.00010079;0.00095412;0.00090707
0.115;-1.1996e-07;3.9893e-07;-5.7997e-07;1.1189e-06;0.00034083;-0.00086784;0.0013718;0.00019808
0.12;-1.6281e-07;4.0449e-07;-5.9915e-07;1.2303e-06;0.00044546;-0.00082333;0.0014458;-2.7709e-06
0.125;-1.9505e-07;3.9961e-07;-5.8814e-07;1.3454e-06;0.00040507;-1.4532e-05;0.00097249;0.0003029
0.13;-2.1678e-07;4.0207e-07;-5.6272e-07;1.4684e-06;0.00043379;0.00060558;0.00018156;0.00032631
0.135;-2.269e-07;4.1713e-07;-5.4121e-07;1.5909e-06;0.00049594;0.00040683;-0.00049613;-0.00035985
0.14;-2.2441e-07;4.3684e-07;-5.3452e-07;1.6957e-06;0.00051249;-3.6686e-05;-0.00069291;-0.0010565
0.145;-2.0917e-07;4.5465e-07;-5.4015e-07;1.7727e-06;0.00050772;-0.00011695;-0.00029544;-0.0011729
0.15;-1.8174e-07;4.7261e-07;-5.448e-07;1.8243e-06;0.00046829;0.00012775;0.00037388;-0.00085605
0.155;-1.4175e-07;4.9702e-07;-5.3157e-07;1.8598e-06;0.00053489;0.00038926;0.0010558;-0.00044006
0.16;-8.8262e-08;5.3073e-07;-4.87e-07;1.8881e-06;0.00054617;0.00035587;0.0014545;-0.00013001
0.165;-2.7178e-08;5.6531e-07;-4.0899e-07;1.9111e-06;6.4859e-05;-0.00028161;0.0012244;-0.00028871
0.17;2.5315e-08;5.852e-07;-3.0774e-07;1.9231e-06;-0.00075148;-0.00089675;0.00063528;-0.00059371
0.175;5.3721e-08;5.8471e-07;-1.9409e-07;1.9217e-06;-0.0011791;-0.00073849;0.00035337;-0.0004883
0.18;5.8573e-08;5.7144e-07;-6.7084e-08;1.91e-06;-0.00071034;-0.00028359;0.00071199;-0.00032342
0.185;5.9317e-08;5.5584e-07;8.6141e-08;1.8916e-06;0.00037994;9.82e-05;0.0013852;-0.00022043
0.19;7.8442e-08;5.3909e-07;2.7551e-07;1.8631e-06;0.0010949;-0.00018553;0.0015115;-0.00058409
0.195;1.2495e-07;5.0887e-07;4.9571e-07;1.8114e-06;0.0010986;-0.00089105;0.00095652;-0.0012641
0.2;1.9507e-07;4.5624e-07;7.3213e-07;1.7265e-06;0.00079126;-0.00090871;0.00034078;-0.0014005
0.205;2.7633e-07;3.8622e-07;9.6783e-07;1.6072e-06;0.00010195;-0.00048124;-0.00039668;-0.001356
0.21;3.4672e-07;3.052e-07;1.1812e-06;1.4475e-06;-0.00096945;-0.00039682;-0.0013912;-0.0018617
0.215;3.837e-07;2.1006e-07;1.35e-06;1.229e-06;-0.0017068;-0.0007314;-0.0021755;-0.0028523
0.22;3.8317e-07;1.0051e-07;1.4643e-06;9.3626e-07;-0.0013014;-0.00042731;-0.0021815;-0.0030846
0.225;3.6726e-07;-6.4494e-09;1.5333e-06;5.7866e-07;6.7252e-05;0.00063294;-0.0014555;-0.0021132
0.23;3.6546e-07;-8.8735e-08;1.5734e-06;1.8357e-07;0.0010673;0.0013449;-0.00085445;-0.00088439
0.235;3.8481e-07;-1.3327e-07;1.5876e-06;-2.1663e-07;0.00063358;0.0016752;-0.0012021;0.00047333
0.24;3.9907e-07;-1.3523e-07;1.5556e-06;-5.8692e-07;-0.0010367;0.0017331;-0.0024983;0.0019197
0.245;3.7256e-07;-9.6784e-08;1.4483e-06;-8.9141e-07;-0.0022317;0.0015006;-0.0035285;0.0033447
0.25;2.9935e-07;-2.666e-08;1.2579e-06;-1.0949e-06;-0.0015156;0.0010346;-0.0031238;0.0047327
0.255;2.1515e-07;5.9173e-08;1.0128e-06;-1.1714e-06;0.00063137;0.00022423;-0.00126;0.005434
0.26;1.6961e-07;1.3771e-07;7.6447e-07;-1.1128e-06;0.0024676;-0.00080768;0.00099806;0.0053826
0.265;1.8148e-07;1.8963e-07;5.5282e-07;-9.2214e-07;0.0021397;-0.001326;0.001949;0.0051747
0.27;2.1908e-07;2.1233e-07;3.8101e-07;-6.0513e-07;-7.5448e-05;-0.0010155;0.0012456;0.0049362
0.275;2.2429e-07;2.1916e-07;2.1996e-07;-1.7275e-07;-0.0025184;-0.00025523;-0.00038197;0.0042962
0.28;1.491e-07;2.2401e-07;2.7184e-08;3.4577e-07;-0.0039205;0.00010137;-0.0021572;0.0026015
0.285;-2.0061e-08;2.2592e-07;-2.315e-07;8.9539e-07;-0.0036063;-0.00033335;-0.003121;-0.00010995
0.29;-2.5898e-07;2.1457e-07;-5.6661e-07;1.4103e-06;-0.001979;-0.00072934;-0.0029989;-0.0026692
0.295;-5.1956e-07;1.8774e-07;-9.649e-07;1.8367e-06;0.00024344;-0.00051329;-0.0020585;-0.004421
0.3;-7.4646e-07;1.6263e-07;-1.399e-06;2.1448e-06;0.0024533;0.00064568;-0.00080306;-0.005039
0.305;-8.9001e-07;1.7589e-07;-1.8365e-06;2.3371e-06;0.0042171;0.0024222;0.00052524;-0.0042402
0.31;-9.1544e-07;2.64e-07;-2.2428e-06;2.4415e-06;0.0052364;0.0035724;0.0019704;-0.0027943
0.315;-8.171e-07;4.3994e-07;-2.5823e-06;2.4967e-06;0.0046766;0.0034607;0.0033728;-0.0011396
0.32;-6.234e-07;6.8221e-07;-2.818e-06;2.5344e-06;0.0029542;0.0018536;0.0049332;-0.00024716
