T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;-3.6662e-09;-2.9017e-09;-3.8547e-09;-3.0575e-09;-0.00029087;-0.00023022;-0.00030583;-0.00024258
0.01;-1.1209e-08;-5.2098e-09;-1.2639e-08;-6.3543e-09;-2.5495e-05;0.00027034;-9.4578e-05;0.00021625
0.015;-1.0637e-08;5.7592e-09;-1.538e-08;2.4107e-09;0.00067519;0.00079652;0.00057828;0.00075283
0.02;1.0018e-08;3.7996e-08;1.0997e-09;3.3463e-08;0.00093483;0.00090524;0.00096161;0.0010296
0.025;5.152e-08;9.3425e-08;4.2593e-08;9.4337e-08;0.00073444;0.00095048;0.0010405;0.0013561
0.03;1.0465e-07;1.6327e-07;1.0708e-07;1.841e-07;0.00019728;0.00020941;0.00080084;0.0009608
0.035;1.5333e-07;2.2257e-07;1.8427e-07;2.8639e-07;-0.00055206;-0.0010538;0.00021736;4.2381e-05
0.04;1.8023e-07;2.4626e-07;2.5851e-07;3.8166e-07;-0.0011921;-0.0017986;-0.00045405;-0.0006067
0.045;1.7623e-07;2.2735e-07;3.1732e-07;4.5897e-07;-0.0012834;-0.0016143;-0.00078295;-0.00083252
0.05;1.4775e-07;1.8111e-07;3.587e-07;5.1706e-07;-0.00067841;-0.00057538;-0.0006135;-0.00070625
0.055;1.1143e-07;1.3812e-07;3.872e-07;5.6253e-07;5.2329e-05;0.00083409;-0.00041619;-0.00030482
0.06;7.8653e-08;1.2806e-07;4.0076e-07;6.0681e-07;0.00023461;0.001804;-0.00077496;0.00020958
0.065;4.6287e-08;1.6011e-07;3.8441e-07;6.5862e-07;-0.00019889;0.001573;-0.001616;0.00039606
0.07;6.0326e-09;2.1871e-07;3.2144e-07;7.1804e-07;-0.00043557;0.00055246;-0.0021182;0.00021353
0.075;-3.6758e-08;2.8265e-07;2.1302e-07;7.8016e-07;0.00022746;-0.00012966;-0.0015237;1.6867e-06
0.08;-6.1044e-08;3.4045e-07;8.2851e-08;8.3673e-07;0.0012533;-0.00036246;-0.0002176;-0.00044269
0.085;-5.2e-08;3.862e-07;-4.2622e-08;8.736e-07;0.00142;-0.0006008;0.0005982;-0.0011337
0.09;-1.9487e-08;4.1577e-07;-1.5385e-07;8.8135e-07;0.00046224;-0.00069525;0.00054516;-0.0012007
0.095;7.141e-09;4.2913e-07;-2.5685e-07;8.696e-07;-0.00093254;-0.00060184;0.00011374;-0.00036351
0.1;-6.6864e-10;4.3319e-07;-3.5871e-07;8.655e-07;-0.0018269;-0.00014538;-2.5681e-05;0.00097418
0.105;-4.9752e-08;4.4582e-07;-4.5449e-07;8.9987e-07;-0.0014823;0.0008293;0.00050872;0.0021058
0.11;-1.2374e-07;4.8375e-07;-5.3051e-07;9.8653e-07;-0.00051017;0.0012006;0.0010742;0.0020854
0.115;-2.0013e-07;5.4285e-07;-5.78e-07;1.1138e-06;0.00031859;0.00049765;0.0012106;0.0011684
0.12;-2.615e-07;6.0321e-07;-5.962e-07;1.2603e-06;0.00088548;-0.00039805;0.0011325;0.00036416
0.125;-2.9863e-07;6.4887e-07;-5.8978e-07;1.4106e-06;0.0010556;-0.00078134;0.00083889;-6.0753e-05
0.13;-3.1092e-07;6.7438e-07;-5.6777e-07;1.5531e-06;0.00093233;-0.00083139;0.00040878;-0.00056587
0.135;-3.0358e-07;6.7812e-07;-5.4138e-07;1.6732e-06;0.00063915;-0.00090912;-5.8235e-05;-0.0012206
0.14;-2.841e-07;6.6199e-07;-5.2034e-07;1.7616e-06;0.00033121;-0.00068404;-0.00037152;-0.0013183
0.145;-2.5777e-07;6.3804e-07;-5.074e-07;1.8246e-06;0.00021535;5.6196e-05;-0.0002791;-0.00072299
0.15;-2.248e-07;6.2787e-07;-4.9566e-07;1.8779e-06;0.00031533;0.0010458;0.00018204;-4.5255e-05
0.155;-1.8019e-07;6.5325e-07;-4.7065e-07;1.934e-06;0.00061532;0.0018012;0.00087841;0.00026609
0.16;-1.1839e-07;7.2176e-07;-4.1711e-07;1.9951e-06;0.00076082;0.001654;0.0014058;0.00013983
0.165;-4.3961e-08;8.1273e-07;-3.3003e-07;2.0506e-06;0.00025452;0.00015079;0.0012823;-0.00058898
0.17;2.5544e-08;8.8595e-07;-2.1789e-07;2.0815e-06;-0.0006483;-0.0015735;0.00072237;-0.0013775
0.175;7.3028e-08;9.1398e-07;-9.2304e-08;2.0771e-06;-0.0011173;-0.0020512;0.00035195;-0.0014504
0.18;9.8148e-08;8.9774e-07;4.4322e-08;2.0421e-06;-0.00067669;-0.0014925;0.00052784;-0.0010008
0.185;1.1902e-07;8.5724e-07;2.0015e-07;1.9932e-06;0.00033546;-0.00045013;0.001008;-0.00011612
0.19;1.5621e-07;8.1124e-07;3.8143e-07;1.9484e-06;0.000974;1.5785e-05;0.0010318;0.00045388
0.195;2.1823e-07;7.6115e-07;5.8237e-07;1.9115e-06;0.0010146;-0.00034014;0.00054282;0.00018165
0.2;3.042e-07;7.0034e-07;7.9249e-07;1.8704e-06;0.00090158;-0.00052116;0.00018955;-0.00052109
0.205;4.0683e-07;6.2786e-07;1.0027e-06;1.8035e-06;0.00043345;-0.00041223;-0.00017942;-0.0015417
0.21;5.0705e-07;5.4222e-07;1.1984e-06;1.6829e-06;-0.00062224;-0.00063766;-0.0009783;-0.002744
0.215;5.7836e-07;4.2924e-07;1.3572e-06;1.482e-06;-0.0016934;-0.0015456;-0.0019778;-0.0036956
0.22;6.0484e-07;2.7422e-07;1.4607e-06;1.1933e-06;-0.0018982;-0.0018251;-0.0024529;-0.0033279
0.225;5.9482e-07;8.9825e-08;1.5079e-06;8.4111e-07;-0.0010275;-0.00053339;-0.0020474;-0.0017587
0.23;5.721e-07;-8.4868e-08;1.5118e-06;4.595e-07;1.3981e-05;0.0013104;-0.0014237;-0.00058834
0.235;5.5177e-07;-2.0481e-07;1.4794e-06;7.0539e-08;0.00018329;0.0030697;-0.0014679;7.304e-07
0.24;5.2432e-07;-2.3713e-07;1.3997e-06;-3.1041e-07;-0.00074848;0.0039478;-0.0023146;0.00063881
0.245;4.673e-07;-1.7682e-07;1.2548e-06;-6.5853e-07;-0.0016201;0.0034688;-0.0029057;0.0019828
