T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;3.9679e-08;3.2308e-08;4.5479e-08;3.7964e-08;3.7964e-08;0.0025633;0.0036082;0.003012
0.01;1.3078e-07;1.0788e-07;1.6857e-07;1.4436e-07;1.4436e-07;0.00094693;0.0026589;0.0025086
0.015;1.8086e-07;1.7015e-07;2.9757e-07;2.8285e-07;2.8285e-07;-0.0020324;-0.0021922;4.4693e-05
0.02;1.2392e-07;1.9673e-07;3.5462e-07;4.3022e-07;4.3022e-07;-0.00084303;-0.0035886;0.00064941
0.025;1.6031e-08;2.1927e-07;3.45e-07;6.022e-07;6.022e-07;0.00053163;-0.0017556;0.0013294
0.03;-5.6459e-08;2.4179e-07;3.0822e-07;7.9135e-07;7.9135e-07;-0.0005212;-0.00040671;5.3977e-05
0.035;-7.8919e-08;2.4506e-07;2.5974e-07;9.7474e-07;9.7474e-07;-0.0010316;-0.00052329;-0.00052753
0.04;-7.6305e-08;2.375e-07;2.0563e-07;1.1546e-06;1.1546e-06;0.0001597;6.2661e-05;0.00023883
0.045;-4.1756e-08;2.4001e-07;1.6895e-07;1.3367e-06;1.3367e-06;0.00065578;0.0013326;-4.1947e-05
0.05;4.5332e-08;2.4659e-07;1.689e-07;1.4953e-06;1.4953e-06;-0.00032432;0.0016062;-0.0018366
0.055;1.5959e-07;2.2584e-07;1.9351e-07;1.5762e-06;1.5762e-06;-0.0018611;0.00037294;-0.0043729
0.06;2.2573e-07;1.5848e-07;2.0304e-07;1.5307e-06;1.5307e-06;-0.0018816;-0.0015776;-0.005755
0.065;1.8302e-07;7.6058e-08;1.6003e-07;1.3638e-06;1.3638e-06;0.00066469;-0.0026337;-0.0039759
0.07;4.7543e-08;4.0932e-08;6.3809e-08;1.1373e-06;1.1373e-06;0.0031279;-0.0016352;-0.0007881
0.075;-1.0055e-07;7.2553e-08;-5.0302e-08;9.0581e-07;9.0581e-07;0.0022336;0.00020492;0.00040303
0.08;-1.9872e-07;1.1761e-07;-1.5887e-07;6.6628e-07;6.6628e-07;-0.0011522;0.00025291;-0.0010345
0.085;-2.5187e-07;1.1556e-07;-2.8018e-07;3.8274e-07;3.8274e-07;-0.0026371;-0.0012691;-0.0024941
0.09;-2.8162e-07;7.8292e-08;-4.3371e-07;5.659e-08;5.659e-08;-0.00019877;-0.0013227;-0.00093469
0.095;-2.7421e-07;6.6476e-08;-6.0304e-07;-2.5154e-07;-2.5154e-07;0.0022475;5.6666e-05;0.002375
0.1;-2.3136e-07;8.1171e-08;-7.7966e-07;-4.9431e-07;-4.9431e-07;-9.5225e-05;-0.00062085;0.0028785
0.105;-2.1674e-07;4.3773e-08;-1.0024e-06;-6.9256e-07;-6.9256e-07;-0.0040795;-0.0030668;0.00068887
0.11;-2.7303e-07;-8.7842e-08;-1.2924e-06;-8.8412e-07;-8.8412e-07;-0.0034912;-0.0023395;-0.00016871
