T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;-3.5865e-09;-2.7972e-09;-3.8275e-09;-3.0376e-09;-0.00028455;-0.00022193;-0.00030367;-0.000241
0.01;-1.0734e-08;-4.7437e-09;-1.2418e-08;-6.1384e-09;-6.6068e-06;0.00028269;-8.3449e-05;0.00022867
0.015;-9.3063e-09;6.3719e-09;-1.451e-08;3.5683e-09;0.00069329;0.00076731;0.0006035;0.00079993
0.02;1.1862e-08;3.6577e-08;3.1232e-09;3.7321e-08;0.00088971;0.00076063;0.00097706;0.0011231
0.025;5.0673e-08;8.3597e-08;4.5412e-08;1.0289e-07;0.00052389;0.00058538;0.00099661;0.001423
0.03;9.4284e-08;1.345e-07;1.0894e-07;1.9734e-07;-0.00013883;-0.0002695;0.00070451;0.00089347
0.035;1.2612e-07;1.6675e-07;1.831e-07;3.0056e-07;-0.00080406;-0.0012254;0.00014676;-0.00019106
0.04;1.3362e-07;1.6657e-07;2.5364e-07;3.8992e-07;-0.0011444;-0.0013738;-0.0004369;-0.00092085
0.045;1.1627e-07;1.3977e-07;3.1026e-07;4.5502e-07;-0.00084843;-0.00075883;-0.00067888;-0.001024
0.05;8.6958e-08;1.0527e-07;3.5312e-07;5.014e-07;-0.00010906;0.00014217;-0.00042494;-0.00047595
0.055;6.174e-08;8.4432e-08;3.8967e-07;5.4825e-07;0.00043874;0.00095181;-7.8309e-05;0.00051226
0.06;4.5e-08;9.0892e-08;4.2276e-07;6.1799e-07;0.00024416;0.0012358;-0.00019549;0.0013206
0.065;2.538e-08;1.2246e-07;4.4281e-07;7.1947e-07;-0.00047328;0.0007766;-0.0008454;0.0012248
0.07;-8.5455e-09;1.6555e-07;4.3542e-07;8.4253e-07;-0.00067634;0.00014406;-0.0013528;0.00050319
0.075;-4.7968e-08;2.0945e-07;3.9701e-07;9.6966e-07;0.00023077;-8.145e-05;-0.0011324;-0.00017917
0.08;-6.6977e-08;2.4871e-07;3.3781e-07;1.0829e-06;0.001404;-0.00028905;-0.00053204;-0.00093128
0.085;-5.1193e-08;2.7449e-07;2.6698e-07;1.1628e-06;0.0013882;-0.00078745;-0.00039362;-0.0017387
0.09;-1.5738e-08;2.7934e-07;1.8171e-07;1.1988e-06;0.00018949;-0.00089132;-0.00075967;-0.0017706
0.095;7.9398e-09;2.6847e-07;7.2654e-08;1.2026e-06;-0.0011333;-0.00036857;-0.0011448;-0.00081801
0.1;-1.2605e-09;2.5952e-07;-6.4587e-08;1.2051e-06;-0.0015039;0.0005206;-0.0011126;0.00071172
0.105;-3.4639e-08;2.7582e-07;-2.1934e-07;1.2449e-06;-0.00043776;0.0015002;-0.00029311;0.0022808
0.11;-6.2935e-08;3.317e-07;-3.6896e-07;1.3466e-06;0.0008474;0.0016722;0.00070571;0.0026765
0.115;-6.4659e-08;4.2089e-07;-4.9258e-07;1.5052e-06;0.0012834;0.00099493;0.0013754;0.0018786
0.12;-3.9101e-08;5.2404e-07;-5.7661e-07;1.6981e-06;0.00090261;0.00012208;0.0017934;0.00086517
0.125;-2.9608e-09;6.2002e-07;-6.161e-07;1.904e-06;-5.3521e-05;-0.0006964;0.0017718;0.00017246
0.13;1.9319e-08;6.8671e-07;-6.1751e-07;2.1064e-06;-0.0010566;-0.0016453;0.001277;-0.00045083
0.135;8.5195e-09;7.0115e-07;-5.9693e-07;2.2875e-06;-0.0015928;-0.002536;0.00048384;-0.0012547
0.14;-3.9758e-08;6.5434e-07;-5.7451e-07;2.4333e-06;-0.0014094;-0.0023716;-0.00033756;-0.0015762
