T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;-3.702e-09;-2.9525e-09;-3.8156e-09;-2.9964e-09;-0.00029371;-0.00023425;-0.00030273;-0.00023773
0.01;-1.1284e-08;-5.4366e-09;-1.2307e-08;-5.8416e-09;-2.3056e-05;0.00026431;-7.743e-05;0.00024252
0.015;-1.0493e-08;5.5613e-09;-1.4063e-08;4.4958e-09;0.00069345;0.00081872;0.00061641;0.00081618
0.02;1.0353e-08;3.8846e-08;3.9384e-09;3.8744e-08;0.00091475;0.00096466;0.00096697;0.0010964
0.025;5.0586e-08;9.5673e-08;4.5426e-08;1.0341e-07;0.00063779;0.00092005;0.00091342;0.0013374
0.03;1.001e-07;1.6408e-07;1.0569e-07;1.9499e-07;0.00010575;1.2348e-05;0.00058998;0.00082186
0.035;1.4438e-07;2.1783e-07;1.7524e-07;2.948e-07;-0.00052414;-0.0011864;0.00015327;-0.00016382
0.04;1.69e-07;2.3571e-07;2.4401e-07;3.8271e-07;-0.0010502;-0.0016874;-0.00021657;-0.00079045
0.045;1.6634e-07;2.1542e-07;3.0534e-07;4.4955e-07;-0.0011346;-0.0013703;-0.00038018;-0.00089804
0.05;1.4169e-07;1.7302e-07;3.5778e-07;4.9882e-07;-0.00062795;-0.00040105;-0.00033151;-0.00051046
0.055;1.0887e-07;1.3562e-07;4.0095e-07;5.4479e-07;-2.3963e-05;0.00080073;-0.00040889;0.00024563
0.06;7.6845e-08;1.2811e-07;4.2786e-07;6.0594e-07;9.0488e-05;0.0015933;-0.00088931;0.00097004
0.065;4.2915e-08;1.5818e-07;4.255e-07;6.932e-07;-0.00024138;0.0014201;-0.0014533;0.0011222
0.07;1.7617e-09;2.138e-07;3.898e-07;8.0574e-07;-0.00033935;0.00062453;-0.0012198;0.00090145
