T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;-3.3523e-09;-2.6126e-09;-3.828e-09;-3.0546e-09;-0.00026597;-0.00020728;-0.00030371;-0.00024234
0.01;-9.5345e-09;-4.0333e-09;-1.243e-08;-6.2406e-09;3.3381e-05;0.00029556;-8.4264e-05;0.00022457
0.015;-6.7069e-09;7.0086e-09;-1.4599e-08;3.3184e-09;0.00068857;0.00070693;0.00059907;0.00079898
0.02;1.4005e-08;3.4117e-08;2.7775e-09;3.7032e-08;0.00074639;0.00057927;0.0009671;0.0011328
0.025;4.7484e-08;7.2986e-08;4.4591e-08;1.027e-07;0.00027653;0.00036172;0.00098904;0.0014242
0.03;8.0643e-08;1.117e-07;1.0763e-07;1.9688e-07;-0.00030224;-0.00037006;0.00071104;0.00086374
0.035;1.0091e-07;1.321e-07;1.8176e-07;2.9905e-07;-0.00073;-0.0010973;0.00017652;-0.00022494
0.04;1.0139e-07;1.2569e-07;2.5347e-07;3.8746e-07;-0.00085498;-0.0010525;-0.00037035;-0.00087885
0.045;8.4332e-08;1.0047e-07;3.1344e-07;4.5417e-07;-0.0005508;-0.00045415;-0.00057151;-0.00086081
0.05;6.1138e-08;7.3357e-08;3.621e-07;5.0647e-07;5.9343e-05;0.00030261;-0.00033486;-0.00029423
0.055;4.3877e-08;6.1469e-08;4.0418e-07;5.6022e-07;0.00041794;0.00091685;-0.00018978;0.0004105
0.06;3.2766e-08;7.3871e-08;4.3418e-07;6.2627e-07;7.8095e-05;0.0010296;-0.00077118;0.00057734
0.065;1.5477e-08;1.0573e-07;4.3094e-07;6.9824e-07;-0.00057239;0.0005302;-0.0018873;-9.8809e-05
0.07;-1.5893e-08;1.4249e-07;3.72e-07;7.5639e-07;-0.00055965;-0.00013958;-0.0025737;-0.0010076
0.075;-4.8314e-08;1.7304e-07;2.563e-07;7.869e-07;0.00047081;-0.00035952;-0.0019739;-0.0012093
