T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;-3.7277e-09;-2.8948e-09;-3.832e-09;-3.0058e-09;-0.00029575;-0.00022967;-0.00030403;-0.00023848
0.01;-1.1514e-08;-5.1299e-09;-1.2446e-08;-5.9155e-09;-3.5174e-05;0.00027506;-8.4566e-05;0.00023888
0.015;-1.1138e-08;6.0032e-09;-1.4561e-08;4.2441e-09;0.00068837;0.00079916;0.00060461;0.00081073
0.02;1.0236e-08;3.8101e-08;3.209e-09;3.8313e-08;0.00099484;0.00087857;0.0009886;0.0011016
0.025;5.3512e-08;9.1487e-08;4.6019e-08;1.0313e-07;0.00075963;0.00082517;0.001016;0.0013586
0.03;1.0779e-07;1.5556e-07;1.1036e-07;1.9529e-07;0.00012232;3.5893e-05;0.0007081;0.00083516
0.035;1.556e-07;2.0699e-07;1.8496e-07;2.957e-07;-0.00064032;-0.0010496;0.00011413;-0.00017554
0.04;1.7989e-07;2.2673e-07;2.5471e-07;3.8385e-07;-0.0012416;-0.0014894;-0.00050224;-0.00080793
0.045;1.7255e-07;2.129e-07;3.0888e-07;4.5067e-07;-0.0012935;-0.0011994;-0.00074778;-0.00090073
0.05;1.413e-07;1.7881e-07;3.4788e-07;4.9992e-07;-0.0006218;-0.00042385;-0.0004684;-0.00050758
0.055;1.0412e-07;1.467e-07;3.7952e-07;5.4592e-07;0.00014779;0.00058202;-0.00011856;0.00024581
0.06;7.2218e-08;1.3863e-07;4.0643e-07;6.0705e-07;0.00027954;0.0013436;-0.0002565;0.00096643
0.065;4.117e-08;1.6294e-07;4.1964e-07;6.9383e-07;-0.00020917;0.0012523;-0.00083844;0.0010891
0.07;1.7338e-09;2.1092e-07;4.0883e-07;8.0445e-07;-0.00046537;0.00064164;-0.0010869;0.00081937
0.075;-4.1142e-08;2.6985e-07;3.7946e-07;9.3455e-07;0.000185;0.00023229;-0.00040357;0.00073697
0.08;-6.6859e-08;3.2878e-07;3.5381e-07;1.0811e-06;0.0011882;-0.0002298;0.00070151;0.0005842
0.085;-6.092e-08;3.7404e-07;3.5065e-07;1.2369e-06;0.001351;-0.00086466;0.0011035;0.00014764
0.09;-3.1936e-08;3.9635e-07;3.6818e-07;1.3949e-06;0.00049663;-0.00097516;0.00055621;3.0307e-05
0.095;-5.5048e-09;3.9989e-07;3.8752e-07;1.5576e-06;-0.00070065;-0.00052791;-0.00041115;0.00034862
0.1;-5.224e-09;3.9899e-07;3.871e-07;1.7355e-06;-0.0013957;0.00017082;-0.0011715;0.0008621
0.105;-3.4403e-08;4.134e-07;3.5723e-07;1.943e-06;-0.00096757;0.0010543;-0.00119;0.0015024
