T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;-3.6746e-09;-2.9793e-09;-3.8194e-09;-3.0859e-09;-0.00029154;-0.00023637;-0.00030302;-0.00024483
0.01;-1.1201e-08;-5.5809e-09;-1.2428e-08;-6.4565e-09;-2.2929e-05;0.00025917;-8.6151e-05;0.00021482
0.015;-1.0603e-08;5.0044e-09;-1.4895e-08;2.5652e-09;0.00067357;0.00080034;0.00057779;0.00078051
0.02;9.6293e-09;3.7178e-08;1.408e-09;3.5374e-08;0.00090063;0.00092715;0.00092626;0.0011217
0.025;5.0059e-08;9.2352e-08;4.1862e-08;1.0043e-07;0.00071622;0.00091374;0.0010064;0.0014587
0.03;1.0201e-07;1.587e-07;1.0561e-07;1.9565e-07;0.0002076;-1.2753e-05;0.00085884;0.00096119
0.035;1.4911e-07;2.0866e-07;1.8428e-07;3.0136e-07;-0.000595;-0.0012999;0.00033681;-0.00012236
0.04;1.7229e-07;2.2141e-07;2.6162e-07;3.95e-07;-0.0013198;-0.0016837;-0.00044315;-0.0008459
0.045;1.6189e-07;1.9836e-07;3.2237e-07;4.66e-07;-0.0013708;-0.0011828;-0.00088634;-0.00096801
0.05;1.2734e-07;1.5806e-07;3.6366e-07;5.1695e-07;-0.00056587;-0.00019961;-0.00067383;-0.00063797
0.055;9.0025e-08;1.2578e-07;3.9164e-07;5.587e-07;0.00034709;0.0008415;-0.00038978;-9.8421e-05
0.06;6.2591e-08;1.2194e-07;4.0498e-07;6.027e-07;0.00044868;0.0014375;-0.00077655;0.00027945
0.065;3.8256e-08;1.514e-07;3.8589e-07;6.4921e-07;-0.00019831;0.0012314;-0.0018158;-7.3095e-05
0.07;3.9118e-09;2.0359e-07;3.1292e-07;6.8552e-07;-0.00060608;0.00058739;-0.0024988;-0.00074375
0.075;-3.6853e-08;2.6527e-07;1.8669e-07;7.0395e-07;8.5724e-05;0.00016924;-0.0017712;-0.00069252
0.08;-5.9856e-08;3.2511e-07;3.8271e-08;7.1141e-07;0.001335;-0.00031409;-6.7781e-06;-0.00018474
0.085;-4.6496e-08;3.6831e-07;-9.4619e-08;7.1757e-07;0.0015825;-0.0010166;0.0012553;8.2854e-05
0.09;-8.3036e-09;3.8494e-07;-1.9856e-07;7.2728e-07;0.00041026;-0.0011141;0.0010687;0.0002013
0.095;1.8757e-08;3.813e-07;-2.881e-07;7.4388e-07;-0.0013004;-0.00051081;8.4621e-05;0.00034944
0.1;1.5091e-09;3.7353e-07;-3.8068e-07;7.7222e-07;-0.0022508;0.00018265;-0.00033335;0.00058857
0.105;-6.359e-08;3.7436e-07;-4.7096e-07;8.2043e-07;-0.0015864;0.00050709;0.00050985;0.0010002
0.11;-1.5143e-07;3.8346e-07;-5.367e-07;8.9344e-07;-0.0002327;0.00015789;0.0014581;0.00098851
0.115;-2.3328e-07;3.9339e-07;-5.6673e-07;9.856e-07;0.00071486;-9.3831e-05;0.0014038;0.00054428
0.12;-2.9136e-07;4.0814e-07;-5.7026e-07;1.088e-06;0.001189;0.00047454;0.00071829;0.00027423
0.125;-3.1805e-07;4.4328e-07;-5.6281e-07;1.1972e-06;0.0013236;0.0011582;0.00015816;0.00026367
0.13;-3.1268e-07;5.0256e-07;-5.5176e-07;1.31e-06;0.0012421;0.0007812;0.00012607;3.0635e-05
0.135;-2.8141e-07;5.6432e-07;-5.3661e-07;1.4149e-06;0.00083157;-0.00057998;0.00020328;-0.00065717
0.14;-2.3692e-07;6.0106e-07;-5.1892e-07;1.4964e-06;0.00022724;-0.0014281;2.2014e-06;-0.0012225
0.145;-1.9128e-07;6.0722e-07;-5.0255e-07;1.5472e-06;-0.00013792;-0.0010237;-0.0001108;-0.0012321
0.15;-1.487e-07;5.9989e-07;-4.835e-07;1.5736e-06;-0.00010925;-5.7103e-05;0.00032269;-0.00072556
0.155;-1.0455e-07;5.9941e-07;-4.4442e-07;1.5912e-06;0.00023354;0.00060878;0.001278;1.7423e-05
0.16;-5.3078e-08;6.156e-07;-3.6563e-07;1.615e-06;0.00035575;0.0007268;0.0019025;0.0004916
0.165;2.6115e-10;6.4437e-07;-2.4595e-07;1.6466e-06;-0.00020298;0.00028315;0.0013749;0.00012645
0.17;4.0088e-08;6.7401e-07;-1.0548e-07;1.6731e-06;-0.00087954;-0.00021552;0.00028926;-0.00053061
0.175;5.8579e-08;6.9535e-07;3.6969e-08;1.685e-06;-0.00083235;-0.00044952;-0.00013685;-0.00063807
