T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;2.1937e-08;1.0032e-07;2.1481e-08;9.4298e-08;0.0017405;0.0079592;0.0017043;0.0074815
0.01;7.3025e-08;4.2581e-07;7.8267e-08;4.277e-07;0.00062514;0.010147;0.0011484;0.011716
0.015;1.0345e-07;9.1337e-07;1.3215e-07;1.0179e-06;-0.0022855;0.0028351;-0.0013828;0.0088414
0.02;7.8458e-08;1.3913e-06;1.3911e-07;1.7613e-06;-0.0021683;-0.003626;-0.0023829;0.0034281
0.025;-1.3435e-08;1.7293e-06;7.0871e-08;2.5218e-06;-0.003161;-0.0075761;-0.0036231;-0.0020721
0.03;-2.5445e-07;1.8307e-06;-1.5526e-07;3.1735e-06;-0.0087453;-0.011343;-0.0089802;-0.0066287
0.035;-7.5215e-07;1.5989e-06;-6.893e-07;3.5936e-06;-0.011826;-0.015313;-0.01566;-0.011894
0.04;-1.492e-06;9.8499e-07;-1.6263e-06;3.6674e-06;-0.0075859;-0.015296;-0.01662;-0.015835
0.045;-2.3482e-06;7.0183e-08;-2.9359e-06;3.3504e-06;-0.001706;-0.0088038;-0.013195;-0.015443
0.05;-3.2189e-06;-9.493e-07;-4.558e-06;2.6828e-06;0.00056981;0.00042783;-0.011781;-0.012614
0.055;-4.0891e-06;-1.876e-06;-6.4914e-06;1.731e-06;-0.00051916;0.0070181;-0.013111;-0.01012
0.06;-4.9946e-06;-2.6119e-06;-8.7844e-06;5.3736e-07;-0.0023121;0.0082774;-0.015654;-0.009212
0.065;-5.9459e-06;-3.1706e-06;-1.1502e-05;-9.1127e-07;-0.0013714;0.0059017;-0.01836;-0.011173
0.07;-6.8932e-06;-3.6187e-06;-1.4698e-05;-2.6942e-06;0.0016946;0.0029503;-0.019835;-0.015563
0.075;-7.7935e-06;-4.0322e-06;-1.8382e-05;-4.9291e-06;0.0020838;-0.00018045;-0.019237;-0.020592
0.08;-8.6881e-06;-4.519e-06;-2.2495e-05;-7.7354e-06;-0.001613;-0.0056633;-0.015174;-0.025125
0.085;-9.6827e-06;-5.2418e-06;-2.6926e-05;-1.121e-05;-0.0063858;-0.013211;-0.010172;-0.028319
0.09;-1.0865e-05;-6.3568e-06;-3.1613e-05;-1.5408e-05;-0.0086119;-0.018197;-0.010367;-0.029667
0.095;-1.2235e-05;-7.9095e-06;-3.6614e-05;-2.0335e-05;-0.0064655;-0.016852;-0.01467;-0.028519
