T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;1.8696e-08;7.9868e-08;2.1282e-08;9.3817e-08;0.0014833;0.0063367;0.0016885;0.0074434
0.01;6.0794e-08;3.2766e-07;8.0549e-08;4.3104e-07;0.0004184;0.0071781;0.0013764;0.012094
0.015;8.3487e-08;6.8264e-07;1.4642e-07;1.0583e-06;-0.0019795;0.0013985;-0.00084988;0.011116
0.02;4.0027e-08;1.004e-06;1.5961e-07;1.9076e-06;-0.0033159;-0.0040922;-0.003361;0.0066641
0.025;-9.4141e-08;1.1612e-06;4.8956e-08;2.7964e-06;-0.0039446;-0.0090394;-0.0065428;-0.0034677
0.03;-3.2109e-07;1.0827e-06;-2.5871e-07;3.4577e-06;-0.0034846;-0.009857;-0.0092249;-0.014743
0.035;-6.3831e-07;8.0763e-07;-8.2996e-07;3.6577e-06;-0.0037263;-0.0058802;-0.011858;-0.022181
0.04;-1.0572e-06;4.1196e-07;-1.7313e-06;3.2629e-06;-0.0044099;-0.0037428;-0.014549;-0.025428
0.045;-1.5816e-06;-7.1966e-08;-2.9963e-06;2.2583e-06;-0.0040413;-0.0033211;-0.014571;-0.023385
0.05;-2.1889e-06;-6.0386e-07;-4.5839e-06;7.2796e-07;-0.0025892;-0.00053346;-0.011246;-0.01868
0.055;-2.8335e-06;-1.1198e-06;-6.3826e-06;-1.2565e-06;-0.00040337;0.0018241;-0.0056529;-0.017618
0.06;-3.4702e-06;-1.5845e-06;-8.2389e-06;-3.6611e-06;0.0010458;0.0022858;0.0010351;-0.016016
0.065;-4.0724e-06;-2.0077e-06;-9.9933e-06;-6.3282e-06;0.0017182;0.0010355;0.0071309;-0.0050462
0.07;-4.622e-06;-2.4671e-06;-1.1511e-05;-8.9064e-06;0.0024831;-0.0038993;0.011838;0.012151
0.075;-5.105e-06;-3.1044e-06;-1.2698e-05;-1.1041e-05;0.0028529;-0.010345;0.014588;0.023369
0.08;-5.5142e-06;-4.0164e-06;-1.3522e-05;-1.2635e-05;0.003046;-0.01166;0.014444;0.019966
0.085;-5.8469e-06;-5.1509e-06;-1.4024e-05;-1.3928e-05;0.0030842;-0.0061751;0.011379;0.0042
0.09;-6.1018e-06;-6.343e-06;-1.4293e-05;-1.5334e-05;0.0031287;0.0015655;0.0072719;-0.013244
0.095;-6.2626e-06;-7.4283e-06;-1.4413e-05;-1.7185e-05;0.0043926;0.006997;0.0046016;-0.022504
0.1;-6.2851e-06;-8.3208e-06;-1.4412e-05;-1.9569e-05;0.0066734;0.008454;0.0050707;-0.020131
0.105;-6.1143e-06;-9.0028e-06;-1.4235e-05;-2.2311e-05;0.0087902;0.0083839;0.008994;-0.0085314
0.11;-5.7184e-06;-9.4551e-06;-1.3769e-05;-2.5074e-05;0.0092275;0.0099724;0.01415;0.006857
0.115;-5.1184e-06;-9.6312e-06;-1.2897e-05;-2.7475e-05;0.0071174;0.012134;0.018303;0.022056
0.12;-4.3789e-06;-9.5175e-06;-1.1528e-05;-2.9148e-05;0.0040466;0.011071;0.021449;0.036209
0.125;-3.5609e-06;-9.1875e-06;-9.608e-06;-2.9765e-05;0.0022117;0.0062498;0.02271;0.048259
0.13;-2.6902e-06;-8.7708e-06;-7.1588e-06;-2.909e-05;0.0020098;0.00067511;0.019614;0.055172
0.135;-1.7679e-06;-8.367e-06;-4.3222e-06;-2.7052e-05;0.0021115;-0.0017247;0.011396;0.053867
0.14;-8.0687e-07;-7.9499e-06;-1.3472e-06;-2.3797e-05;0.0009973;0.0027517;-0.00030095;0.043617
0.145;1.5117e-07;-7.3368e-06;1.47e-06;-1.9657e-05;-0.0012328;0.012902;-0.012333;0.027112
0.15;1.0473e-06;-6.2923e-06;3.8679e-06;-1.5055e-05;-0.0037204;0.021635;-0.021238;0.0099276
0.155;1.8198e-06;-4.6988e-06;5.6808e-06;-1.0353e-05;-0.0061689;0.022341;-0.025574;-0.0020184
0.16;2.41e-06;-2.658e-06;6.842e-06;-5.75e-06;-0.0084154;0.013483;-0.02658;-0.0059438
0.165;2.7682e-06;-4.5981e-07;7.3522e-06;-1.2771e-06;-0.010153;-0.00087595;-0.025509;-0.0044682
0.17;2.8713e-06;1.563e-06;7.2727e-06;3.0918e-06;-0.010259;-0.013181;-0.021692;-0.003838
0.175;2.7458e-06;3.2023e-06;6.7307e-06;7.3207e-06;-0.0080447;-0.017546;-0.015309;-0.0073323
0.18;2.4621e-06;4.4449e-06;5.8904e-06;1.1308e-05;-0.0046093;-0.014224;-0.0085531;-0.012041
0.185;2.1028e-06;5.4054e-06;4.9064e-06;1.4965e-05;-0.0014367;-0.0083431;-0.0029339;-0.014292
0.19;1.7324e-06;6.1986e-06;3.8993e-06;1.825e-05;0.00055395;-0.0050264;0.0010949;-0.015578
0.195;1.3871e-06;6.8584e-06;2.9513e-06;2.1077e-05;0.0014546;-0.0056188;0.0036411;-0.020952
0.2;1.0876e-06;7.3578e-06;2.1208e-06;2.3238e-05;0.0022163;-0.0072196;0.0057486;-0.032363
0.205;8.5698e-07;7.6845e-06;1.4662e-06;2.4434e-05;0.0032873;-0.0066109;0.0083276;-0.04487
0.21;7.2414e-07;7.8694e-06;1.0578e-06;2.4446e-05;0.0045355;-0.0047351;0.011371;-0.049824
0.215;7.1988e-07;7.922e-06;9.7087e-07;2.3305e-05;0.0057521;-0.0058251;0.014341;-0.042508
0.22;8.6801e-07;7.7506e-06;1.2665e-06;2.1294e-05;0.0064427;-0.012068;0.016276;-0.027119
0.225;1.1753e-06;7.1793e-06;1.9702e-06;1.8772e-05;0.0062947;-0.019924;0.016372;-0.013744
0.23;1.623e-06;6.0764e-06;3.0563e-06;1.5946e-05;0.0049432;-0.022648;0.014244;-0.010508
0.235;2.1587e-06;4.4854e-06;4.4456e-06;1.2774e-05;0.0021089;-0.016444;0.010011;-0.017131
0.24;2.7039e-06;2.6409e-06;6.0124e-06;9.0793e-06;-0.0013559;-0.0038579;0.0042001;-0.024678
0.245;3.1802e-06;8.4589e-07;7.5922e-06;4.7828e-06;-0.0041515;0.007834;-0.0031566;-0.023549
0.25;3.5345e-06;-6.9587e-07;8.9842e-06;4.6421e-08;-0.0056217;0.012473;-0.011857;-0.011686
0.255;3.7467e-06;-1.957e-06;9.9774e-06;-4.7716e-06;-0.005757;0.01001;-0.020059;0.005141
0.26;3.8259e-06;-3.0262e-06;1.041e-05;-9.2874e-06;-0.0048807;0.005335;-0.024799;0.01907
0.265;3.7937e-06;-3.9886e-06;1.0227e-05;-1.3234e-05;-0.0040292;0.0031974;-0.024523;0.026467
0.27;3.6545e-06;-4.8545e-06;9.482e-06;-1.6475e-05;-0.0045195;0.0045058;-0.020389;0.030056
0.275;3.3768e-06;-5.5799e-06;8.2939e-06;-1.8904e-05;-0.0065577;0.0067283;-0.01509;0.034875
0.28;2.9032e-06;-6.133e-06;6.7766e-06;-2.0377e-05;-0.0091156;0.0070825;-0.011232;0.041535
0.285;2.1812e-06;-6.5221e-06;4.9928e-06;-2.0766e-05;-0.01076;0.0060329;-0.010066;0.04531
0.29;1.1933e-06;-6.7441e-06;2.9419e-06;-2.0064e-05;-0.010526;0.0073163;-0.011301;0.041936
0.295;-3.1204e-08;-6.7066e-06;5.7555e-07;-1.8434e-05;-0.0084098;0.013409;-0.013924;0.032361
0.3;-1.4218e-06;-6.235e-06;-2.1691e-06;-1.6126e-05;-0.0048835;0.021332;-0.016345;0.021848
0.305;-2.8778e-06;-5.1993e-06;-5.3212e-06;-1.3354e-05;-0.00035363;0.023832;-0.016272;0.015225
0.31;-4.2796e-06;-3.667e-06;-8.8178e-06;-1.0226e-05;0.0046873;0.015956;-0.01132;0.013303
0.315;-5.5085e-06;-1.93e-06;-1.246e-05;-6.77e-06;0.0091532;0.00044418;-0.00035741;0.012895
0.32;-6.4754e-06;-3.5424e-07;-1.5911e-05;-3.0261e-06;0.011816;-0.013375;0.0156;0.010163
0.325;-7.1389e-06;8.4044e-07;-1.8749e-05;8.883e-07;0.012471;-0.017174;0.033525;0.0034978
0.33;-7.4995e-06;1.6825e-06;-2.0559e-05;4.7628e-06;0.011757;-0.011076;0.048708;-0.0066775
0.335;-7.5754e-06;2.3496e-06;-2.1049e-05;8.3165e-06;0.011027;-0.0029114;0.056838;-0.018977
0.34;-7.3691e-06;2.9728e-06;-2.0131e-05;1.1237e-05;0.011534;-0.00055429;0.055949;-0.031685
0.345;-6.8565e-06;3.5239e-06;-1.7932e-05;1.3227e-05;0.012973;-0.0051917;0.046588;-0.042755
0.35;-6.0099e-06;3.8668e-06;-1.4756e-05;1.4063e-05;0.013753;-0.011462;0.031559;-0.049611
0.355;-4.8381e-06;3.9014e-06;-1.1e-05;1.3662e-05;0.012274;-0.013242;0.014786;-0.049402
0.36;-3.4128e-06;3.6491e-06;-7.0631e-06;1.2132e-05;0.0080246;-0.0097294;-0.00026601;-0.040886
0.365;-1.8654e-06;3.2009e-06;-3.275e-06;9.7593e-06;0.0017427;-0.0059297;-0.011676;-0.026623
0.37;-3.523e-07;2.5982e-06;1.3561e-07;6.9044e-06;-0.0044833;-0.0064088;-0.018543;-0.011922
0.375;9.9547e-07;1.7901e-06;3.0515e-06;3.8788e-06;-0.0087592;-0.010008;-0.021056;-0.0017047
0.38;2.0989e-06;7.1917e-07;5.4458e-06;8.6254e-07;-0.0108;-0.01105;-0.020681;0.0024847
0.385;2.9282e-06;-5.5559e-07;7.341e-06;-2.0808e-06;-0.011138;-0.0052932;-0.01925;0.0033528
0.39;3.4847e-06;-1.8289e-06;8.761e-06;-4.917e-06;-0.010687;0.0053907;-0.018757;0.0052137
0.395;3.7823e-06;-2.8606e-06;9.6927e-06;-7.5634e-06;-0.010023;0.01397;-0.020291;0.0099463
0.4;3.8381e-06;-3.5389e-06;1.0079e-05;-9.8934e-06;-0.0093186;0.014353;-0.023362;0.015378
0.405;3.6647e-06;-3.9517e-06;9.8399e-06;-1.181e-05;-0.0090229;0.0069179;-0.026625;0.017706
