T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;4.0291e-08;3.3769e-08;4.5481e-08;3.7956e-08;0.0031966;0.0026792;0.0036084;0.0030114
0.01;1.3164e-07;1.1356e-07;1.6857e-07;1.4439e-07;0.00095088;0.0010531;0.0026585;0.0025131
0.015;1.7981e-07;1.793e-07;2.9751e-07;2.8337e-07;-0.0044206;-0.0021973;-0.0021972;7.567e-05
0.02;1.2242e-07;2.052e-07;3.542e-07;4.3238e-07;-0.0040618;-0.0010128;-0.0036068;0.00071117
0.025;1.7731e-08;2.25e-07;3.4331e-07;6.0733e-07;0.00026971;0.000537;-0.0018094;0.0013739
0.03;-5.3281e-08;2.4432e-07;3.0349e-07;7.9991e-07;0.0024479;-0.00056196;-0.00049527;4.6888e-05
0.035;-7.8853e-08;2.4327e-07;2.5184e-07;9.8691e-07;0.0012002;-0.0010813;-0.00044739;-0.00050631
0.04;-7.8786e-08;2.317e-07;2.0458e-07;1.1736e-06;0.00083504;0.00023329;0.0007869;0.00048018
0.045;-4.1513e-08;2.312e-07;2.0501e-07;1.3734e-06;0.0021381;0.00066408;0.003028;0.00056884
0.05;4.9199e-08;2.3389e-07;2.8913e-07;1.5678e-06;0.00215;-0.00040394;0.0036802;-0.00098284
0.055;1.6199e-07;2.0685e-07;4.3482e-07;1.7036e-06;-0.00037087;-0.0019738;0.001262;-0.0037029
0.06;2.2322e-07;1.3068e-07;5.5542e-07;1.7222e-06;-0.0037553;-0.0019697;-0.003262;-0.0056844
0.065;1.7794e-07;4.0678e-08;5.5319e-07;1.6135e-06;-0.0047849;0.00084838;-0.0065791;-0.0045172
0.07;4.1529e-08;4.3489e-09;3.9282e-07;1.4285e-06;-0.00252;0.0034569;-0.0060948;-0.0015933
0.075;-1.1196e-07;4.0434e-08;1.2827e-07;1.2208e-06;0.0011518;0.0023596;-0.0022522;-0.00020505
0.08;-2.1762e-07;9.1656e-08;-1.4806e-07;9.9371e-07;0.0026938;-0.0011443;0.0013212;-0.0013351
0.085;-2.6492e-07;9.6513e-08;-3.738e-07;7.1701e-07;0.0019806;-0.002585;0.0027364;-0.00264
0.09;-2.5747e-07;7.0972e-08;-5.1769e-07;3.9275e-07;0.002386;0.00013193;0.0038069;-0.0011834
0.095;-1.7742e-07;8.5025e-08;-5.5853e-07;7.5149e-08;0.0034261;0.0030481;0.0044439;0.0017162
0.1;-4.6992e-08;1.4654e-07;-5.3075e-07;-1.9916e-07;0.00063368;0.0007837;0.0010746;0.001771
0.105;2.9057e-08;1.6644e-07;-5.5948e-07;-4.5587e-07;-0.0049804;-0.0041139;-0.0055874;-0.00036113
0.11;-3.4218e-08;7.7751e-08;-7.6639e-07;-7.2083e-07;-0.0062047;-0.0046094;-0.0087018;-0.00031769
0.115;-1.8664e-07;-7.8348e-08;-1.1384e-06;-9.6854e-07;-0.00095483;-0.00079531;-0.0045438;0.0016937
0.12;-3.0589e-07;-2.1883e-07;-1.5386e-06;-1.1653e-06;0.0036324;0.0020608;0.0022924;0.0023984
0.125;-3.4353e-07;-3.1027e-07;-1.8344e-06;-1.3174e-06;0.0029246;0.0018769;0.0060798;0.001178
0.13;-3.2186e-07;-3.6133e-07;-1.9575e-06;-1.4473e-06;0.0018047;0.001347;0.0077421;0.00058455
0.135;-2.3397e-07;-3.6944e-07;-1.8714e-06;-1.5449e-06;0.0034802;0.0020828;0.0089976;0.0019936
0.14;-6.2093e-08;-3.3135e-07;-1.5831e-06;-1.5835e-06;0.003263;0.0016265;0.0071948;0.0027393
0.145;1.2938e-07;-2.8125e-07;-1.1915e-06;-1.5744e-06;-0.0016722;-0.00065915;0.0010912;0.0010942
0.15;2.263e-07;-2.655e-07;-8.4266e-07;-1.5679e-06;-0.0059131;-0.0021001;-0.0045229;-0.0013124
0.155;1.9388e-07;-2.9476e-07;-6.0789e-07;-1.6097e-06;-0.0044676;-0.0015096;-0.0046418;-0.0025572
0.16;9.0935e-08;-3.3735e-07;-4.4848e-07;-1.6999e-06;-0.0011674;0.0004377;-0.0013915;-0.0013296
0.165;-4.2658e-08;-3.5112e-07;-3.0527e-07;-1.7884e-06;-0.0012608;0.0018757;0.00011349;0.0014606
0.17;-2.0971e-07;-3.2946e-07;-1.554e-07;-1.8234e-06;-0.0014314;0.00097247;0.00041745;0.0028361
0.175;-3.5296e-07;-2.9184e-07;3.543e-08;-1.781e-06;0.0033055;0.00029364;0.0028429;0.0033548
0.18;-3.4893e-07;-2.2082e-07;3.2798e-07;-1.6311e-06;0.0084931;0.0023623;0.0053049;0.0052276
0.185;-1.5348e-07;-9.5511e-08;7.2988e-07;-1.3572e-06;0.0068658;0.0020119;0.0034721;0.0047237
0.19;1.1969e-07;7.8778e-09;1.1451e-06;-1.039e-06;-0.00062946;-0.003741;-0.0023951;-0.0011479
0.195;3.0189e-07;-1.3957e-08;1.4318e-06;-8.037e-07;-0.0066721;-0.0063199;-0.007889;-0.005521
0.2;3.1872e-07;-1.2203e-07;1.5033e-06;-6.6661e-07;-0.0065929;-0.00061969;-0.00936;-0.0023767
0.205;2.2297e-07;-1.6595e-07;1.3756e-06;-5.0817e-07;-0.0024237;0.005773;-0.0065946;0.0040865
0.21;1.1113e-07;-7.963e-08;1.1375e-06;-2.2278e-07;0.0011477;0.004695;-0.0022416;0.0061054
0.215;3.1232e-08;4.7624e-08;8.7708e-07;1.7247e-07;0.0014277;-0.0014109;0.00047696;0.0027047
0.22;-2.0116e-08;1.158e-07;6.4644e-07;5.9417e-07;0.00085024;-0.0033568;0.0019043;-0.00060398
0.225;-1.4847e-08;1.4171e-07;5.0662e-07;9.8547e-07;0.0036547;-4.0398e-05;0.0053445;-0.0018347
0.23;1.2091e-07;1.873e-07;5.4605e-07;1.312e-06;0.006798;0.0016391;0.0090043;-0.0033378
0.235;3.6492e-07;2.4841e-07;7.6394e-07;1.5391e-06;0.0019195;-0.0003825;0.0053278;-0.0046284
0.24;5.2514e-07;2.7811e-07;9.7743e-07;1.6636e-06;-0.0086143;-0.0021428;-0.005656;-0.0035885
0.245;4.4458e-07;2.6225e-07;9.7552e-07;1.7323e-06;-0.010724;-0.0015134;-0.011633;-0.00088862
0.25;2.1987e-07;2.2685e-07;7.5981e-07;1.7988e-06;-0.00085675;-4.9013e-05;-0.0055327;0.00073096
0.255;6.2687e-08;2.0202e-07;5.1062e-07;1.8756e-06;0.0063131;0.00089787;0.0028761;0.00010273
0.26;1.045e-08;2.1265e-07;3.4822e-07;1.9382e-06;0.0021406;0.001936;0.0041127;-0.0012405
0.265;-5.5364e-08;2.7837e-07;2.6438e-07;1.9608e-06;-0.0032551;0.0024775;0.0021682;-0.0019601
0.27;-1.5129e-07;3.9504e-07;2.5538e-07;1.9463e-06;0.00078674;0.001606;0.0037918;-0.0010209
0.275;-1.4448e-07;5.0882e-07;3.6956e-07;1.9125e-06;0.0074498;-0.0018204;0.0060749;-0.000513
0.28;1.4349e-08;5.1669e-07;5.8178e-07;1.8339e-06;0.0047772;-0.0066523;0.0018148;-0.0030527
0.285;1.817e-07;3.576e-07;7.3122e-07;1.6505e-06;-0.0040876;-0.0067444;-0.0068313;-0.0053443
0.29;2.0582e-07;1.1216e-07;6.6282e-07;1.3579e-06;-0.0074215;-0.00019233;-0.01064;-0.0034169
0.295;1.0443e-07;-5.367e-08;3.8712e-07;1.0322e-06;-0.0026526;0.006579;-0.0059844;0.00076087
0.3;9.2201e-10;-5.5986e-08;5.9777e-08;7.5156e-07;0.0025015;0.0065468;0.0018534;0.0028676
0.305;-5.0182e-08;4.1529e-08;-1.7892e-07;5.3747e-07;0.0017278;0.0014518;0.0052746;0.0024642
0.31;-9.2658e-08;1.2472e-07;-3.0582e-07;3.6711e-07;-0.0010454;-0.0026141;0.003687;0.0010373
0.315;-1.4226e-07;1.2549e-07;-3.6308e-07;1.8891e-07;0.00044473;-0.0039912;0.0018748;-0.0016563
0.32;-1.3744e-07;4.3553e-08;-3.7729e-07;-5.7954e-08;0.0039136;-0.0026408;0.0015622;-0.0038467
0.325;-4.8027e-08;-6.4228e-08;-3.6818e-07;-3.921e-07;0.0028882;0.00056807;0.0003158;-0.0031529
0.33;4.376e-08;-1.337e-07;-3.9354e-07;-7.7039e-07;-0.0026835;0.0025107;-0.0030636;-0.00038511
0.335;2.9557e-08;-1.4229e-07;-5.2438e-07;-1.1106e-06;-0.0058256;0.0023679;-0.0053898;0.0034248
0.34;-9.3011e-08;-1.0819e-07;-7.6453e-07;-1.3237e-06;-0.0028744;0.0010522;-0.0033811;0.0067591
0.345;-2.2685e-07;-7.9636e-08;-1.0259e-06;-1.3732e-06;0.0019776;-0.0014892;0.0016736;0.0063501
0.35;-2.9209e-07;-1.0488e-07;-1.1985e-06;-1.3167e-06;0.0035344;-0.0028295;0.0054498;0.0021429
