T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;4.0415e-08;3.3892e-08;4.5483e-08;3.7983e-08;0.0032065;0.002689;0.0036086;0.0030136
0.01;1.3252e-07;1.1447e-07;1.686e-07;1.446e-07;0.00099171;0.0010967;0.00266;0.0025227
0.015;1.8224e-07;1.8204e-07;2.9776e-07;2.841e-07;-0.0043985;-0.0021575;-0.0021821;9.4004e-05
0.02;1.2617e-07;2.0975e-07;3.5578e-07;4.3403e-07;-0.0041013;-0.0010543;-0.0035347;0.00072479
0.025;2.1247e-08;2.297e-07;3.4875e-07;6.0885e-07;0.00018465;0.00044584;-0.0016795;0.0012765
0.03;-5.2322e-08;2.4745e-07;3.1286e-07;7.928e-07;0.0023468;-0.00060896;-0.00061547;-0.00053316
0.035;-8.1682e-08;2.444e-07;2.5009e-07;9.4378e-07;0.0012019;-0.0010686;-0.0015274;-0.0021147
0.04;-8.3871e-08;2.3197e-07;1.4747e-07;1.0399e-06;0.00095632;0.0003122;-0.0016727;-0.0022827
0.045;-4.5594e-08;2.3306e-07;2.5091e-08;1.0746e-06;0.0022783;0.00078116;8.451e-05;-0.0026197
0.05;4.9788e-08;2.4038e-07;-6.6433e-08;1.0348e-06;0.0023026;-0.00027808;0.0023846;-0.0033454
0.055;1.7094e-07;2.2001e-07;-8.5707e-08;9.0023e-07;-0.00022838;-0.0019352;0.0034055;-0.004229
0.06;2.4263e-07;1.4743e-07;-3.6224e-08;6.5995e-07;-0.0037283;-0.0022542;0.0021078;-0.00424
0.065;2.0391e-07;4.814e-08;3.5114e-08;3.4277e-07;-0.0051226;0.00010318;-0.00035813;-0.0019254
0.07;5.8161e-08;-2.1165e-08;7.7353e-08;1.4161e-08;-0.0034533;0.0023065;-0.0019777;0.001015
0.075;-1.3539e-07;-4.7624e-08;6.2684e-08;-2.8069e-07;-0.00037351;0.0011421;-0.0025781;0.0017017
0.08;-3.1644e-07;-8.7171e-08;-3.1726e-08;-5.5322e-07;0.0013868;-0.0021851;-0.0037939;9.2386e-05
0.085;-4.5379e-07;-1.9123e-07;-2.3607e-07;-8.3428e-07;0.0021082;-0.002999;-0.0050055;-0.0007865
0.09;-5.0876e-07;-3.235e-07;-5.4366e-07;-1.1026e-06;0.0044698;0.00071978;-0.0032758;0.0017819
0.095;-4.2635e-07;-3.9116e-07;-8.7886e-07;-1.2809e-06;0.0065311;0.0044632;0.0010593;0.0054278
0.1;-2.2332e-07;-3.7205e-07;-1.1561e-06;-1.3324e-06;0.0031564;0.0025164;0.0035983;0.0047508
0.105;-3.2161e-08;-3.5063e-07;-1.3519e-06;-1.3193e-06;-0.0040982;-0.0023321;0.0029288;0.00042617
0.11;2.0834e-08;-3.9421e-07;-1.4726e-06;-1.3215e-06;-0.0069966;-0.0029031;0.0030655;-0.0016798
0.115;-5.0334e-08;-4.6595e-07;-1.4795e-06;-1.3453e-06;-0.0029667;0.00063898;0.0060268;-5.9644e-05
0.12;-1.4846e-07;-4.9055e-07;-1.3185e-06;-1.3418e-06;0.00083252;0.0031485;0.0074225;0.0022498
0.125;-2.3512e-07;-4.4162e-07;-1.0134e-06;-1.273e-06;0.0001073;0.0027472;0.0041327;0.0029776
0.13;-3.2091e-07;-3.3568e-07;-6.5588e-07;-1.1301e-06;-5.758e-05;0.0018085;4.8484e-05;0.0029517
0.135;-3.6183e-07;-1.851e-07;-3.0951e-07;-9.0463e-07;0.0036278;0.001759;-0.00095729;0.0036544
0.14;-2.8169e-07;-6.6175e-09;1.5678e-08;-5.8355e-07;0.0060806;0.00048612;-0.00073529;0.0039972
0.145;-8.6323e-08;1.5114e-07;3.0821e-07;-1.7323e-07;0.0031671;-0.0021413;-0.0018673;0.0031474
0.15;1.3695e-07;2.4016e-07;5.4702e-07;2.9616e-07;-0.00094473;-0.0033717;-0.0024417;0.0015802
0.155;3.3221e-07;2.5628e-07;7.5402e-07;7.7431e-07;-0.0013207;-0.0024685;-0.00011976;-0.00087335
0.16;4.9944e-07;2.3477e-07;9.8555e-07;1.1964e-06;-0.0009117;-0.00054484;0.0020944;-0.0036144
0.165;6.0503e-07;2.1522e-07;1.2463e-06;1.4996e-06;-0.0039969;0.00070838;0.00026876;-0.0058936
0.17;5.8046e-07;2.0728e-07;1.4746e-06;1.6306e-06;-0.0064372;0.00023084;-0.0028678;-0.0078897
0.175;4.4534e-07;2.1365e-07;1.6389e-06;1.5731e-06;-0.0024458;0.0008977;-0.0022898;-0.0072069
0.18;3.2906e-07;2.8571e-07;1.7775e-06;1.4027e-06;0.0039594;0.0043453;0.0002436;-0.001852
0.185;3.2229e-07;4.5997e-07;1.9123e-06;1.2406e-06;0.0048424;0.0038718;-0.00051545;0.002538
0.19;3.7868e-07;6.3476e-07;1.9803e-06;1.1223e-06;0.00022931;-0.0037976;-0.004827;0.00099792
0.195;3.9426e-07;6.4885e-07;1.8845e-06;1.0002e-06;-0.0035136;-0.009099;-0.0082854;-0.0013133
0.2;3.3074e-07;4.8691e-07;1.5894e-06;8.7236e-07;-0.002839;-0.0050344;-0.007686;0.00082582
0.205;2.3595e-07;2.8662e-07;1.1535e-06;8.028e-07;0.00033292;0.0019758;-0.003596;0.0038472
0.21;1.6946e-07;1.4682e-07;6.7912e-07;8.0133e-07;0.0019478;0.0029083;0.00053523;0.0016375
0.215;1.2409e-07;3.1135e-08;2.2287e-07;7.6055e-07;-0.00023812;-0.00096917;0.00093648;-0.0047727
0.22;3.5254e-08;-1.1132e-07;-2.3505e-07;5.5749e-07;-0.0032455;-0.0012097;-0.0010662;-0.0082406
0.225;-1.1032e-07;-2.3239e-07;-7.0281e-07;1.795e-07;-0.00133;0.0029097;0.000249;-0.0057824
0.23;-2.2982e-07;-2.5863e-07;-1.1029e-06;-2.8676e-07;0.0034163;0.0047029;0.0051581;-0.0012778
0.235;-2.7645e-07;-1.9699e-07;-1.3615e-06;-7.4069e-07;0.0024601;0.002345;0.006193;0.0022717
0.24;-3.4335e-07;-1.1924e-07;-1.5379e-06;-1.1128e-06;-0.0040667;-0.001059;0.00041627;0.0042784
0.245;-5.1623e-07;-9.4949e-08;-1.7477e-06;-1.3714e-06;-0.0044729;-0.0032267;-0.0031277;0.0048145
0.25;-6.9059e-07;-1.6016e-07;-1.9734e-06;-1.5157e-06;0.0043185;-0.0039395;0.0018172;0.0043327
0.255;-7.0071e-07;-3.0998e-07;-2.0888e-06;-1.5591e-06;0.0088804;-0.0028401;0.0070285;0.0037379
0.26;-5.7276e-07;-4.885e-07;-2.06e-06;-1.511e-06;0.0022189;0.00053198;0.0045529;0.0035765
0.265;-4.7192e-07;-6.067e-07;-1.9771e-06;-1.3825e-06;-0.0044233;0.0042989;-0.00023871;0.002862
0.27;-4.3798e-07;-5.9644e-07;-1.8808e-06;-1.2005e-06;-0.00098975;0.0059913;0.0012755;0.0014231
0.275;-3.5232e-07;-4.6808e-07;-1.6833e-06;-1.0129e-06;0.0051462;0.0034831;0.0068096;-0.0009678
0.28;-1.7245e-07;-3.217e-07;-1.3085e-06;-8.8681e-07;0.0024521;-0.0020338;0.0074177;-0.0039573
0.285;-2.8717e-08;-2.4942e-07;-8.1791e-07;-8.551e-07;-0.0053424;-0.0039298;0.0018679;-0.0036188
0.29;-3.4919e-08;-2.2201e-07;-3.4002e-07;-8.4954e-07;-0.0067065;0.00031272;-0.0029041;0.0015057
0.295;-1.2039e-07;-1.3555e-07;6.5666e-08;-7.4042e-07;0.00033076;0.0044303;-0.0028981;0.0067912
0.3;-1.2525e-07;3.4584e-08;4.3154e-07;-4.6255e-07;0.0061513;0.0023033;-0.00029131;0.0067456
0.305;-3.6035e-09;1.9266e-07;7.8879e-07;-6.9743e-08;0.004014;-0.0032652;-0.00037328;0.0024603
0.31;1.5667e-07;2.4316e-07;1.1033e-06;3.371e-07;-0.00093035;-0.0053715;-0.003038;-0.0013486
0.315;2.9318e-07;1.8872e-07;1.3315e-06;6.9139e-07;-0.001007;-0.0030404;-0.0038941;-0.0028676
0.32;4.391e-07;1.1909e-07;1.4855e-06;9.8414e-07;0.0017598;0.0018152;-0.0020462;-0.0020672
0.325;6.0499e-07;1.374e-07;1.6052e-06;1.2422e-06;-0.00012293;0.0052384;-0.0006834;-0.0007026
0.33;6.928e-07;2.6862e-07;1.6929e-06;1.4699e-06;-0.0061154;0.0038221;-0.0018659;-0.0017138
0.335;6.0792e-07;4.4488e-07;1.7134e-06;1.6259e-06;-0.0077418;-0.00021525;-0.0035157;-0.0040206
0.34;4.0241e-07;5.8062e-07;1.6504e-06;1.6752e-06;-0.0019423;-0.0030384;-0.0031824;-0.0045245
0.345;2.3066e-07;6.257e-07;1.5288e-06;1.6262e-06;0.0046587;-0.0042206;-0.0014977;-0.00335
0.35;1.8335e-07;5.7423e-07;1.381e-06;1.5178e-06;0.0053359;-0.003515;-0.00059993;-0.0014084
0.355;2.1912e-07;4.8164e-07;1.2104e-06;1.4121e-06;0.0013237;0.00020856;-0.0012099;0.0016271
0.36;2.5167e-07;4.3407e-07;9.9697e-07;1.369e-06;-0.0015998;0.0034089;-0.0022205;0.0033906
0.365;2.4257e-07;4.2341e-07;7.2115e-07;1.353e-06;-0.0017434;-0.00040851;-0.0027738;-0.0011812
0.37;1.9086e-07;3.0641e-07;3.7935e-07;1.1954e-06;-0.00166;-0.0080991;-0.0025096;-0.010132
0.375;9.3723e-08;3.5989e-10;-4.2201e-09;7.5714e-07;-0.0019741;-0.0070966;-0.00084047;-0.01239
0.38;-3.6966e-08;-3.3604e-07;-3.6843e-07;1.1247e-07;-0.0007231;0.0046272;0.0023823;-0.0041671
